fold,role,SampleID,Site
1,fit,1-1,BSS
1,fit,2-1,BSS
1,fit,3-1,BSS
1,fit,4-1,BSS
1,fit,1-2,BSN
1,fit,2-2,BSN
1,fit,3-2,BSN
1,fit,4-2,BSN
1,fit,1-3,BSI
1,fit,2-3,BSI
1,fit,3-3,BSI
1,fit,4-3,BSI
1,fit,1-4,BSO
1,fit,2-4,BSO
1,fit,3-4,BSO
1,fit,4-4,BSO
1,fit,1-5,BSE
1,fit,2-5,BSE
1,fit,3-5,BSE
1,fit,4-5,BSE
1,fit,1-7,DGD
1,fit,2-7,DGD
1,fit,3-7,DGD
1,fit,4-7,DGD
1,fit,1-10,DGC
1,fit,3-10,DGC
1,fit,4-10,DGC
1,fit,1-13,USY
1,fit,2-13,USY
1,fit,3-13,USY
1,fit,4-13,USY
1,fit,1-16,GCG
1,fit,2-16,GCG
1,fit,3-16,GCG
1,fit,4-16,GCG
1,fit,1-19,ADP
1,fit,2-19,ADP
1,fit,3-19,ADP
1,fit,1-20,YCG
1,fit,2-20,YCG
1,fit,3-20,YCG
1,fit,1-21,YCD
1,fit,2-21,YCD
1,fit,3-21,YCD
1,fit,4-21,YCD
1,fit,1-22,UJG
1,fit,2-22,UJG
1,fit,4-22,UJG
1,fit,1-23,CGS
1,fit,2-23,CGS
1,fit,3-23,CGS
1,fit,4-23,CGS
1,fit,1-24,GHGa
1,fit,2-24,GHGa
1,fit,3-24,GHGa
1,fit,1-25,GHGb
1,fit,2-25,GHGb
1,fit,3-25,GHGb
1,fit,4-25,GHGb
1,fit,1-27,GHJ
1,fit,2-27,GHJ
1,fit,3-27,GHJ
1,fit,4-27,GHJ
1,fit,1-28,MYS
1,fit,2-28,MYS
1,fit,3-28,MYS
1,fit,4-28,MYS
1,fit,1-30,YSD
1,fit,2-30,YSD
1,fit,3-30,YSD
1,fit,4-30,YSD
1,fit,1-32,JJN
1,fit,2-32,JJN
1,fit,3-32,JJN
1,fit,4-32,JJN
1,fit,3-32',JJY
1,fit,4-32',JJY
1,fit,1-33,CWM
1,fit,2-33,CWM
1,fit,3-33,CWM
1,fit,4-33,CWM
1,fit,1-34,CWS
1,fit,2-34,CWS
1,fit,3-34,CWS
1,fit,4-34,CWS
1,validation,1-8,DGJ
1,validation,2-8,DGJ
1,validation,3-8,DGJ
1,validation,4-8,DGJ
1,validation,1-9,DGB
1,validation,2-9,DGB
1,validation,3-9,DGB
1,validation,4-9,DGB
1,validation,1-14,USJ
1,validation,2-14,USJ
1,validation,3-14,USJ
1,validation,4-14,USJ
1,validation,1-18,ADA
1,validation,2-18,ADA
1,validation,3-18,ADA
1,validation,4-18,ADA
1,validation,1-31,YSY
1,validation,2-31,YSY
1,validation,3-31,YSY
1,validation,4-31,YSY
2,fit,1-1,BSS
2,fit,2-1,BSS
2,fit,3-1,BSS
2,fit,4-1,BSS
2,fit,1-3,BSI
2,fit,2-3,BSI
2,fit,3-3,BSI
2,fit,4-3,BSI
2,fit,1-4,BSO
2,fit,2-4,BSO
2,fit,3-4,BSO
2,fit,4-4,BSO
2,fit,1-5,BSE
2,fit,2-5,BSE
2,fit,3-5,BSE
2,fit,4-5,BSE
2,fit,1-7,DGD
2,fit,2-7,DGD
2,fit,3-7,DGD
2,fit,4-7,DGD
2,fit,1-8,DGJ
2,fit,2-8,DGJ
2,fit,3-8,DGJ
2,fit,4-8,DGJ
2,fit,1-9,DGB
2,fit,2-9,DGB
2,fit,3-9,DGB
2,fit,4-9,DGB
2,fit,1-10,DGC
2,fit,3-10,DGC
2,fit,4-10,DGC
2,fit,1-13,USY
2,fit,2-13,USY
2,fit,3-13,USY
2,fit,4-13,USY
2,fit,1-14,USJ
2,fit,2-14,USJ
2,fit,3-14,USJ
2,fit,4-14,USJ
2,fit,1-18,ADA
2,fit,2-18,ADA
2,fit,3-18,ADA
2,fit,4-18,ADA
2,fit,1-19,ADP
2,fit,2-19,ADP
2,fit,3-19,ADP
2,fit,1-20,YCG
2,fit,2-20,YCG
2,fit,3-20,YCG
2,fit,1-21,YCD
2,fit,2-21,YCD
2,fit,3-21,YCD
2,fit,4-21,YCD
2,fit,1-22,UJG
2,fit,2-22,UJG
2,fit,4-22,UJG
2,fit,1-23,CGS
2,fit,2-23,CGS
2,fit,3-23,CGS
2,fit,4-23,CGS
2,fit,1-24,GHGa
2,fit,2-24,GHGa
2,fit,3-24,GHGa
2,fit,1-25,GHGb
2,fit,2-25,GHGb
2,fit,3-25,GHGb
2,fit,4-25,GHGb
2,fit,1-27,GHJ
2,fit,2-27,GHJ
2,fit,3-27,GHJ
2,fit,4-27,GHJ
2,fit,1-31,YSY
2,fit,2-31,YSY
2,fit,3-31,YSY
2,fit,4-31,YSY
2,fit,1-32,JJN
2,fit,2-32,JJN
2,fit,3-32,JJN
2,fit,4-32,JJN
2,fit,3-32',JJY
2,fit,4-32',JJY
2,fit,1-34,CWS
2,fit,2-34,CWS
2,fit,3-34,CWS
2,fit,4-34,CWS
2,validation,1-2,BSN
2,validation,2-2,BSN
2,validation,3-2,BSN
2,validation,4-2,BSN
2,validation,1-16,GCG
2,validation,2-16,GCG
2,validation,3-16,GCG
2,validation,4-16,GCG
2,validation,1-28,MYS
2,validation,2-28,MYS
2,validation,3-28,MYS
2,validation,4-28,MYS
2,validation,1-30,YSD
2,validation,2-30,YSD
2,validation,3-30,YSD
2,validation,4-30,YSD
2,validation,1-33,CWM
2,validation,2-33,CWM
2,validation,3-33,CWM
2,validation,4-33,CWM
3,fit,1-1,BSS
3,fit,2-1,BSS
3,fit,3-1,BSS
3,fit,4-1,BSS
3,fit,1-2,BSN
3,fit,2-2,BSN
3,fit,3-2,BSN
3,fit,4-2,BSN
3,fit,1-4,BSO
3,fit,2-4,BSO
3,fit,3-4,BSO
3,fit,4-4,BSO
3,fit,1-5,BSE
3,fit,2-5,BSE
3,fit,3-5,BSE
3,fit,4-5,BSE
3,fit,1-7,DGD
3,fit,2-7,DGD
3,fit,3-7,DGD
3,fit,4-7,DGD
3,fit,1-8,DGJ
3,fit,2-8,DGJ
3,fit,3-8,DGJ
3,fit,4-8,DGJ
3,fit,1-9,DGB
3,fit,2-9,DGB
3,fit,3-9,DGB
3,fit,4-9,DGB
3,fit,1-10,DGC
3,fit,3-10,DGC
3,fit,4-10,DGC
3,fit,1-13,USY
3,fit,2-13,USY
3,fit,3-13,USY
3,fit,4-13,USY
3,fit,1-14,USJ
3,fit,2-14,USJ
3,fit,3-14,USJ
3,fit,4-14,USJ
3,fit,1-16,GCG
3,fit,2-16,GCG
3,fit,3-16,GCG
3,fit,4-16,GCG
3,fit,1-18,ADA
3,fit,2-18,ADA
3,fit,3-18,ADA
3,fit,4-18,ADA
3,fit,1-19,ADP
3,fit,2-19,ADP
3,fit,3-19,ADP
3,fit,1-22,UJG
3,fit,2-22,UJG
3,fit,4-22,UJG
3,fit,1-23,CGS
3,fit,2-23,CGS
3,fit,3-23,CGS
3,fit,4-23,CGS
3,fit,1-25,GHGb
3,fit,2-25,GHGb
3,fit,3-25,GHGb
3,fit,4-25,GHGb
3,fit,1-27,GHJ
3,fit,2-27,GHJ
3,fit,3-27,GHJ
3,fit,4-27,GHJ
3,fit,1-28,MYS
3,fit,2-28,MYS
3,fit,3-28,MYS
3,fit,4-28,MYS
3,fit,1-30,YSD
3,fit,2-30,YSD
3,fit,3-30,YSD
3,fit,4-30,YSD
3,fit,1-31,YSY
3,fit,2-31,YSY
3,fit,3-31,YSY
3,fit,4-31,YSY
3,fit,3-32',JJY
3,fit,4-32',JJY
3,fit,1-33,CWM
3,fit,2-33,CWM
3,fit,3-33,CWM
3,fit,4-33,CWM
3,validation,1-3,BSI
3,validation,2-3,BSI
3,validation,3-3,BSI
3,validation,4-3,BSI
3,validation,1-20,YCG
3,validation,2-20,YCG
3,validation,3-20,YCG
3,validation,1-21,YCD
3,validation,2-21,YCD
3,validation,3-21,YCD
3,validation,4-21,YCD
3,validation,1-24,GHGa
3,validation,2-24,GHGa
3,validation,3-24,GHGa
3,validation,1-32,JJN
3,validation,2-32,JJN
3,validation,3-32,JJN
3,validation,4-32,JJN
3,validation,1-34,CWS
3,validation,2-34,CWS
3,validation,3-34,CWS
3,validation,4-34,CWS
4,fit,1-2,BSN
4,fit,2-2,BSN
4,fit,3-2,BSN
4,fit,4-2,BSN
4,fit,1-3,BSI
4,fit,2-3,BSI
4,fit,3-3,BSI
4,fit,4-3,BSI
4,fit,1-4,BSO
4,fit,2-4,BSO
4,fit,3-4,BSO
4,fit,4-4,BSO
4,fit,1-7,DGD
4,fit,2-7,DGD
