SampleID,substrate1_Q,substrate1_pH,substrate1_ALK,substrate1_VS,substrate1_COD,substrate1_sCOD,substrate1_TC,substrate1_Protein,substrate1_Lipid,substrate1_TVFAs,substrate1_HAc,substrate1_HPro,substrate2_Q,substrate2_pH,substrate2_ALK,substrate2_VS,substrate2_COD,substrate2_sCOD,substrate2_TC,substrate2_Protein,substrate2_Lipid,substrate2_TVFAs,substrate2_HAc,substrate2_HPro,substrate3_Q,substrate3_pH,substrate3_ALK,substrate3_VS,substrate3_COD,substrate3_sCOD,substrate3_TC,substrate3_Protein,substrate3_Lipid,substrate3_TVFAs,substrate3_HAc,substrate3_HPro,HRT_d,T_C,eff_pH,eff_VS,eff_TC,eff_Lipid,eff_COD,eff_sCOD,eff_CH4,eff_H2S,eff_protein,has_substrate2,has_substrate3,substrate1_name,substrate2_name,substrate3_name,ARC__Halobacterota,ARC__Euryarchaeota,ARC__unidentified,ARC__Thermoplasmatota,ARC__Crenarchaeota,ARC__Nanoarchaeota,ARC__Micrarchaeota,ARC__Asgardarchaeota,ARC__Mollusca,ARC__Vertebrata,BAC__Firmicutes,BAC__Bacteroidota,BAC__Cloacimonadota,BAC__Proteobacteria,BAC__Desulfobacterota,BAC__Chloroflexi,BAC__Spirochaetota,BAC__Thermotogota,BAC__Synergistota,BAC__Actinobacteriota,Site,Season,target
1-1,40179.0,4.38,1.642,24.5,346.61,75.4,73.13,69.657,39.25,7.67,4.36,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3,38.0,7.87,71.5,16.23,8.4,23.05,11.7,60.3,0.05,25.969350000000002,0,0,FW,None,None,95.725,0.159,2.511,1.399,0.204,0.0,0.0,0.0,0.0,0.0,60.914,21.441,8.534,0.473,0.135,0.0,1.949,0.323,1.061,2.929,BSS,Summer,0.010768659487560341
2-1,40179.0,4.48,0.0,28.8,58.82,81.8,57.9,47.374,33.75,4.63,3.96,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3,38.0,8.22,20.7,4.31,5.15,28.48,9.8,60.4,0.045,53.8938671875,0,0,FW,None,None,91.614,0.674,5.971,1.742,0.0,0.0,0.0,0.0,0.0,0.0,64.059,19.316,5.275,4.667,0.03700000000000001,0.0,1.338,0.141,0.842,2.223,BSS,Fall,0.04318037883585698
3-1,40179.0,4.86,0.91,17.7,47.78,10.6,30.16,12.47,5.75,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3,38.0,7.95,8.03,11.18,6.03,118.74,5.7,62.2,0.042,55.53859175,0,0,FW,None,None,9.52,0.0,90.256,0.224,0.0,0.0,0.0,0.0,0.0,0.0,65.363,19.81,8.643,0.451,0.039,0.0,1.593,0.105,0.467,2.66,BSS,Winter,0.002775850104094379
4-1,40179.0,4.86,1.21,174.13,60.31,13.4,84.87,10.57,4.45,0.63,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3,38.0,7.96,76.51,15.93,3.8,149.61,7.2,66.1,0.006,57.0143375,0,0,FW,None,None,99.247,0.063,0.301,0.387,0.0,0.0,0.0,0.0,0.0,0.0,60.36799999999999,18.526,2.703,8.444,0.212,0.127,0.469,0.471,1.068,4.567,BSS,Spring,0.0
1-2,48333.0,5.18,0.394,12.93,23.69,3.5,2.65,5.071,1.4,1.39,0.86,0.24,45386.0,6.71,2.306,24.82,20.79,2.5,4.78,20.151,2.43,1.16,0.63,0.21,31266.0,3.66,,69.63,112.92,67.5,20.19,21.789,7.42,0.07,0.07,0.0,28.0,36.5,7.56,18.67,3.41,1.5,30.13,1.2,58.2,0.003,10.484960625,1,1,1SC,2SC,Fww,86.74900000000001,9.49,1.408,0.994,0.193,1.166,0.0,0.0,0.0,0.0,33.759,33.63,11.439,3.836,3.026,1.965,0.3,5.744,2.847,0.9410000000000001,BSN,Summer,0.0129366106080207
2-2,93719.0,5.98,0.1725,23.15,41.04,2.5,5.83,10.627,3.37,0.8,0.45,0.2,31266.0,4.02,0.0,39.12,112.03,70.3,7.43,15.549,6.77,11.66,9.69,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,36.5,6.69,20.05,5.76,2.67,30.95,0.6,51.6,2.533,13.027319999999998,1,0,MSC,Fww,None,84.20100000000001,12.678,0.418,0.914,0.0,1.789,0.0,0.0,0.0,0.0,32.076,28.731,14.888,6.572,3.25,1.208,0.362,4.551,2.139,1.124,BSN,Fall,0.13578884834083002
3-2,93719.0,6.04,0.675,33.75,64.15,2.0,12.56,17.67,3.87,0.02,0.02,0.0,31266.0,3.57,,51.22,120.02,44.4,18.03,18.06,6.75,4.59,4.07,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,36.5,7.63,17.37,5.6,2.03,31.78,1.1,58.6,1.687,16.0952024375,1,0,MSC,Fww,None,85.156,12.028,0.083,1.464,0.607,0.663,0.0,0.0,0.0,0.0,32.486,20.418,22.348,4.015,3.412,1.917,0.5589999999999999,6.63,2.853,0.829,BSN,Winter,0.003507172167081682
4-2,93719.0,5.78,8.8,24.78,51.73,1.6,22.52,17.67,2.4,1.11,0.25,0.2,31266.0,3.55,,52.75,109.24,40.4,11.77,21.05,5.4,4.12,3.96,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,36.5,7.46,15.88,11.2,1.7,24.13,0.8,56.1,0.917,12.6596875,1,0,MSC,Fww,None,91.524,8.225,0.0,0.0,0.163,0.049,0.038,0.0,0.0,0.0,28.355,25.538,15.025,6.472,4.018,1.003,0.6869999999999999,9.699,2.741,2.108,BSN,Spring,0.0
1-3,326166.0,5.71,,29.12,53.29,0.3,8.68,12.287,4.43,0.75,0.52,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,7.23,20.87,6.65,2.05,26.3,0.3,67.14,7.321,11.54137875,0,0,MSC,None,None,53.749,21.419,23.278,0.5449999999999999,0.663,0.348,0.0,0.0,0.0,0.0,15.366,25.081,17.62,11.596,5.519,1.923,2.915,2.699,6.313,1.963,BSI,Summer,0.002304147465437788
2-3,326166.0,5.79,0.1198,30.37,55.53,1.4,9.11,12.054,4.6,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,7.33,21.22,5.11,2.9,27.46,0.6,66.69,3.022,13.37690875,0,0,MSC,None,None,71.187,27.643,0.149,1.021,0.0,0.0,0.0,0.0,0.0,0.0,14.857,24.745,25.723,9.984,5.415,0.655,2.119,3.613,5.119,1.225,BSI,Fall,0.0
