Phylum,mean_relative_abundance_percent,domain,selected
Halobacterota,76.69673188405798,ARC,True
Euryarchaeota,12.31208695652174,ARC,True
unidentified,5.563275362318841,ARC,True
Thermoplasmatota,4.118702898550725,ARC,True
Crenarchaeota,0.6316739130434786,ARC,True
Nanoarchaeota,0.5608913043478264,ARC,True
Micrarchaeota,0.08672463768115941,ARC,True
Asgardarchaeota,0.00967391304347826,ARC,True
Mollusca,0.009282608695652174,ARC,True
Vertebrata,0.00577536231884058,ARC,True
Aenigmarchaeota,0.0026376811594202897,ARC,False
Cryptomycota,0.0012391304347826087,ARC,False
Holozoa,0.0010869565217391304,ARC,False
Iainarchaeota,7.246376811594203e-05,ARC,False
Hadarchaeota,4.347826086956522e-05,ARC,False
Firmicutes,32.81342857142857,BAC,True
Bacteroidota,23.73007857142857,BAC,True
Cloacimonadota,10.713121428571435,BAC,True
Proteobacteria,9.620042857142856,BAC,True
Desulfobacterota,3.7358642857142845,BAC,True
Chloroflexi,3.114807142857143,BAC,True
Spirochaetota,2.964285714285714,BAC,True
Thermotogota,2.499335714285715,BAC,True
Synergistota,2.1395714285714305,BAC,True
Actinobacteriota,1.86465,BAC,True
Verrucomicrobiota,1.1540071428571426,BAC,False
Acidobacteriota,0.8266642857142861,BAC,False
unidentified,0.5990142857142858,BAC,False
Caldisericota,0.5864214285714284,BAC,False
Caldatribacteriota,0.5848071428571431,BAC,False
Planctomycetota,0.41280000000000017,BAC,False
Acetothermia,0.30959999999999993,BAC,False
Coprothermobacterota,0.27157857142857145,BAC,False
Fermentibacterota,0.23800714285714283,BAC,False
Armatimonadota,0.22785,BAC,False
Campilobacterota,0.20594999999999994,BAC,False
Patescibacteria,0.19443571428571435,BAC,False
Hydrogenedentes,0.14995,BAC,False
Dependentiae,0.13894285714285717,BAC,False
Marinimicrobia_(SAR406_clade),0.11871428571428574,BAC,False
TA06,0.10293571428571427,BAC,False
WS1,0.08746428571428572,BAC,False
Fusobacteriota,0.07814285714285717,BAC,False
Bdellovibrionota,0.06029285714285715,BAC,False
Myxococcota,0.05319285714285714,BAC,False
Deinococcota,0.05008571428571428,BAC,False
Sumerlaeota,0.04655714285714285,BAC,False
Gemmatimonadota,0.04513571428571427,BAC,False
Fibrobacterota,0.04322857142857141,BAC,False
Nitrospirota,0.031107142857142847,BAC,False
CK-2C2-2,0.03005000000000001,BAC,False
Elusimicrobiota,0.03001428571428571,BAC,False
WPS-2,0.01788571428571429,BAC,False
Sva0485,0.017092857142857142,BAC,False
Halanaerobiaeota,0.01655,BAC,False
NKB15,0.012457142857142858,BAC,False
Cyanobacteria,0.010557142857142859,BAC,False
Calditrichota,0.009828571428571428,BAC,False
Dadabacteria,0.00767857142857143,BAC,False
Zixibacteria,0.00707857142857143,BAC,False
Latescibacterota,0.007035714285714287,BAC,False
NB1-j,0.005985714285714286,BAC,False
Hydrothermae,0.00335,BAC,False
LCP-89,0.0022571428571428577,BAC,False
WS4,0.002157142857142857,BAC,False
FCPU426,0.0018500000000000005,BAC,False
MBNT15,0.0017428571428571432,BAC,False
WS2,0.0008857142857142857,BAC,False
WOR-1,0.000792857142857143,BAC,False
PAUC34f,0.0005714285714285715,BAC,False
Methylomirabilota,0.0005214285714285714,BAC,False
Deferrisomatota,0.00032857142857142856,BAC,False
Margulisbacteria,0.00029285714285714283,BAC,False
Abditibacteriota,0.00020714285714285713,BAC,False
Dictyoglomota,0.00018571428571428572,BAC,False
