SampleID,Q_total_Tpy,substrate_avg_pH,substrate_avg_ALK,substrate_avg_VS,substrate_avg_COD,substrate_avg_sCOD,substrate_avg_TC,substrate_avg_Protein,substrate_avg_Lipid,substrate_avg_TVFAs,substrate_avg_HAc,substrate_avg_HPro,HRT_d,T_C,eff_pH,eff_VS,eff_TC,eff_Lipid,eff_COD,eff_sCOD,eff_CH4,eff_H2S,eff_protein,substrate_type,ARC__Phylum__Halobacterota,ARC__Phylum__Euryarchaeota,ARC__Phylum__unidentified,ARC__Phylum__Thermoplasmatota,ARC__Phylum__Crenarchaeota,ARC__Phylum__Nanoarchaeota,ARC__Phylum__Micrarchaeota,ARC__Phylum__Asgardarchaeota,ARC__Phylum__Mollusca,ARC__Phylum__Vertebrata,ARC__Genus__Methanosaeta,ARC__Genus__Methanoculleus,ARC__Genus__Methanospirillum,ARC__Genus__Methanolinea,ARC__Genus__Candidatus_Methanofastidiosum,ARC__Genus__unidentified,ARC__Genus__Methanosarcina,ARC__Genus__Methanomassiliicoccus,ARC__Genus__Candidatus_Methanoplasma,ARC__Genus__Methanosphaerula,ARC__Genus__Methanoregula,ARC__Genus__Methanomethylovorans,ARC__Genus__Methanimicrococcus,ARC__Genus__RumEn_M2,ARC__Genus__Woesearchaeales,ARC__Genus__Bathyarchaeia,BAC__Phylum__Firmicutes,BAC__Phylum__Bacteroidota,BAC__Phylum__Cloacimonadota,BAC__Phylum__Proteobacteria,BAC__Phylum__Desulfobacterota,BAC__Phylum__Chloroflexi,BAC__Phylum__Spirochaetota,BAC__Phylum__Thermotogota,BAC__Phylum__Synergistota,BAC__Phylum__Actinobacteriota,BAC__Genus__unidentified,BAC__Genus__Fastidiosipila,BAC__Genus__Candidatus_Cloacimonas,BAC__Genus__ST-12K33,BAC__Genus__Sedimentibacter,BAC__Genus__Bacteroidetes_vadinHA17,BAC__Genus__DTU014,BAC__Genus__SBR1031,BAC__Genus__Smithella,BAC__Genus__W5,BAC__Genus__Mesotoga,BAC__Genus__Proteiniphilum,BAC__Genus__W27,BAC__Genus__Syntrophomonas,BAC__Genus__Thermovirga,BAC__Genus__Lentimicrobium,Site,Season,target
1-1,40179.0,4.38,1.6419999999999997,24.5,346.61,75.4,73.13,69.657,39.25,7.67,4.36,0.3,36.3,38.0,7.87,71.5,16.23,8.4,23.05,11.7,60.3,0.05,25.969350000000002,FW,95.725,0.159,2.511,1.399,0.204,0.0,0.0,0.0,0.0,0.0,0.34,92.99499999999999,0.136,0.0,0.159,2.526,2.239,1.316,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.204,60.914,21.441,8.534,0.473,0.135,0.0,1.949,0.323,1.061,2.929,20.724,24.994,0.0,0.0,0.199,0.0,2.068,0.0,0.0,0.0,0.0,5.417000000000001,8.534,1.013,0.0,1.357,BSS,Summer,0.010768659487560341
2-1,40179.0,4.48,0.0,28.799999999999997,58.81999999999999,81.8,57.900000000000006,47.374,33.75,4.63,3.96,0.32,36.3,38.0,8.22,20.7,4.31,5.15,28.48,9.8,60.4,0.045,53.8938671875,FW,91.614,0.674,5.971,1.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.659,0.0,0.0,0.674,5.971,6.772,1.742,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,64.059,19.316,5.275,4.667,0.03700000000000001,0.0,1.338,0.141,0.842,2.223,24.842,27.213,0.0,0.134,0.145,0.0,1.222,0.0,0.02,0.0,0.0,4.618,5.275,1.085,0.0,0.243,BSS,Fall,0.04318037883585698
3-1,40179.0,4.86,0.91,17.7,47.78,10.6,30.159999999999997,12.47,5.75,0.21,0.2,0.0,36.3,38.0,7.95,8.03,11.18,6.03,118.74,5.7,62.2,0.042,55.53859175,FW,9.52,0.0,90.256,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.425,0.0,0.0,0.0,90.256,1.095,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.363,19.81,8.643,0.451,0.039,0.0,1.593,0.105,0.467,2.66,19.773,20.408,0.0,0.1,0.276,0.047,2.233,0.0,0.0,0.0,0.0,2.265,8.643,1.512,0.0,1.905,BSS,Winter,0.002775850104094379
4-1,40179.0,4.86,1.21,174.13,60.31,13.399999999999999,84.87,10.57,4.45,0.63,0.59,0.0,36.3,38.0,7.96,76.51,15.93,3.8,149.61,7.2,66.1,0.006,57.0143375,FW,99.247,0.063,0.301,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.5650000000000001,56.764,0.045,0.283,0.063,0.301,41.59,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.36799999999999,18.526,2.703,8.444,0.212,0.127,0.469,0.471,1.068,4.567,20.355,36.588,0.023,0.018,0.334,0.052,0.888,0.05,0.0,0.0,0.016,10.776,2.68,0.7080000000000001,0.0,0.086,BSS,Spring,0.0
1-2,124985.0,5.355351122134657,,31.431594111293357,44.958518462215466,19.146981637796536,7.811241909029084,14.72916592391087,3.279976797215666,0.9762711525383044,0.5788549025883105,0.16906812817538105,28.0,36.5,7.56,18.67,3.41,1.5,30.13,1.2,58.2,0.003,10.484960625,1SC/2SC/Fww,86.74900000000001,9.49,1.408,0.994,0.193,1.166,0.0,0.0,0.0,0.0,40.099,1.073,5.449,38.497,9.49,1.723,0.057,0.679,0.0,0.222,0.0,1.352,0.0,0.0,0.043,0.193,33.759,33.63,11.439,3.836,3.026,1.965,0.3,5.744,2.847,0.9410000000000001,32.081,11.667,9.165999999999999,8.557,4.765,3.518,0.716,0.9750000000000001,1.665,1.248,4.076000000000001,0.17,1.025,1.217,1.221,0.0,BSN,Summer,0.0129366106080207
2-2,124985.0,5.48969028283394,0.12934774172900745,27.14502356282754,58.79871776613194,19.460713685642276,6.230252830339641,11.85827776933232,4.220537264471736,3.516716085930312,2.761460095211425,0.6052559907188862,28.0,36.5,6.69,20.05,5.76,2.67,30.95,0.6,51.6,2.533,13.027319999999998,MSC/Fww,84.20100000000001,12.678,0.418,0.914,0.0,1.789,0.0,0.0,0.0,0.0,37.655,0.418,6.097,34.939,12.678,0.418,0.0,0.914,0.0,1.776,0.0,3.316,0.0,0.0,0.0,0.0,32.076,28.731,14.888,6.572,3.25,1.208,0.362,4.551,2.139,1.124,30.575,10.084,10.836,4.43,6.325,3.301,0.6,0.29,1.227,3.35,4.023,0.536,0.658,1.264,0.9510000000000001,0.226,BSN,Fall,0.13578884834083002
3-2,124985.0,5.42210969316318,,38.12026059127095,78.12632851942233,12.60670000400048,13.928364363723647,17.767561627395292,4.590455094611354,1.163222146657599,1.0331399767972158,0.13008216986038323,28.0,36.5,7.63,17.37,5.6,2.03,31.78,1.1,58.6,1.687,16.0952024375,MSC/Fww,85.156,12.028,0.083,1.464,0.607,0.663,0.0,0.0,0.0,0.0,37.834,0.0,10.225,35.036,12.028,0.433,0.0,1.114,0.0,0.0,0.0,2.061,0.0,0.0,0.0,0.607,32.486,20.418,22.348,4.015,3.412,1.917,0.5589999999999999,6.63,2.853,0.829,24.957,8.572000000000001,14.795,3.118,5.591,3.352,0.653,0.266,1.7,6.159,6.352,0.601,1.313,0.714,1.096,0.0,BSN,Winter,0.003507172167081682
4-2,124985.0,5.222147617714127,,31.776919790374848,66.11658767052046,11.306131135736287,19.830801296155535,18.51553410409249,3.1504740568868264,1.8629756370764492,1.178086250350042,0.19249525943113174,28.0,36.5,7.46,15.88,11.2,1.7,24.13,0.8,56.1,0.917,12.6596875,MSC/Fww,91.524,8.225,0.0,0.0,0.163,0.049,0.038,0.0,0.0,0.0,50.609,0.021,3.42,37.183,8.225,0.017,0.0,0.0,0.0,0.0,0.0,0.274,0.0,0.0,0.0,0.163,28.355,25.538,15.025,6.472,4.018,1.003,0.6869999999999999,9.699,2.741,2.108,31.462,2.009,6.604,3.944,5.109,5.244,0.202,0.269,1.336,7.898,7.394,0.991,0.486,1.538,1.187,0.128,BSN,Spring,0.0
1-3,326166.0,5.71,,29.12,53.29,0.3,8.68,12.287,4.43,0.75,0.52,0.1,25.0,35.0,7.23,20.87,6.65,2.05,26.3,0.3,67.14,7.321,11.54137875,MSC,53.749,21.419,23.278,0.5449999999999999,0.663,0.348,0.0,0.0,0.0,0.0,34.61,1.897,8.375,7.218,21.419,23.299,0.267,0.307,0.238,1.09,0.026,0.187,0.0,0.0,0.0,0.663,15.366,25.081,17.62,11.596,5.519,1.923,2.915,2.699,6.313,1.963,29.539,0.182,16.192,4.222,1.388,5.125999999999999,3.131,0.043,2.361,0.819,1.864,0.0,0.161,1.465,4.312,0.308,BSI,Summer,0.002304147465437788
2-3,326166.0,5.79,0.1198,30.37,55.53,1.4,9.11,12.054,4.6,0.07,0.07,0.0,25.0,35.0,7.33,21.22,5.11,2.9,27.46,0.6,66.69,3.022,13.37690875,MSC,71.187,27.643,0.149,1.021,0.0,0.0,0.0,0.0,0.0,0.0,34.95,0.0,14.05,21.762,27.643,0.351,0.425,0.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.857,24.745,25.723,9.984,5.415,0.655,2.119,3.613,5.119,1.225,30.758,0.284,24.808,2.802,1.196,5.417,4.327,0.118,2.069,0.406,2.576,0.031,0.0,0.5409999999999999,3.721,0.312,BSI,Fall,0.0
3-3,326166.0,5.7,1.4717,21.18,81.4,4.8,28.98,34.77,3.92,0.04,0.04,0.0,25.0,35.0,7.51,18.65,8.37,3.2,30.38,0.8,67.3,5.763,16.746886875,MSC,68.68599999999999,24.799,4.723,1.011,0.513,0.213,0.055,0.0,0.0,0.0,35.595,1.572,13.837,16.893,24.799,5.773,0.0,0.0,0.0,0.584,0.0,0.166,0.0,0.0,0.0,0.513,15.01,23.636,17.619,12.909,6.66,1.147,2.008,3.502,8.109,2.072,35.158,0.257,16.736,1.108,1.189,5.434,4.244,0.106,3.197,0.362,2.871,0.0,0.167,0.122,5.885,0.232,BSI,Winter,0.004112433944029774
4-3,326166.0,5.55,0.9925,31.349999999999998,54.34,3.2,15.340000000000002,16.11,4.05,0.4,0.22,0.1,25.0,35.0,7.32,22.35,6.31,3.4,34.36,0.9,66.4,0.204,18.6395625,MSC,73.902,24.844,0.303,0.395,0.269,0.217,0.069,0.0,0.0,0.0,24.867,0.681,17.435,30.037,24.844,0.343,0.132,0.395,0.0,0.601,0.0,0.069,0.0,0.0,0.011,0.269,16.941,24.888,10.101,21.093,4.294,1.136,2.182,2.632,6.016,3.833,34.745,0.167,9.471,1.348,1.063,3.187,3.824,0.0,2.34,0.241,1.625,0.088,0.147,1.527,3.42,0.1,BSI,Spring,0.0
1-4,559071.0,4.44,,34.07,49.9,8.8,10.84,14.123,4.43,0.01,0.01,0.0,18.0,37.3,7.38,11.42,3.31,1.03,21.63,0.0,61.2,0.297,6.001783125,MSC+Fww,70.014,21.259,2.222,5.255,0.55,0.671,0.03,0.0,0.0,0.0,36.493,3.333,20.929,4.755,21.259,5.024999999999999,0.28,3.553,0.0,0.871,1.041,1.211,0.0,0.0,0.0,0.5,22.615,27.865,8.251000000000001,15.263,4.683,6.306999999999999,5.427,0.996,0.77,1.035,40.08,0.045,6.632,0.038,4.635,4.594,4.546,3.87,2.822,1.101,0.28,0.0,0.0,1.511,0.0,0.458,BSO,Summer,0.0
