Site,Season,split,n
ADA,Fall,train,1
ADA,Spring,train,1
ADA,Summer,train,1
ADA,Winter,train,1
ADP,Fall,train,1
ADP,Summer,train,1
ADP,Winter,train,1
BSE,Fall,train,1
BSE,Spring,train,1
BSE,Summer,train,1
BSE,Winter,train,1
BSI,Fall,train,1
BSI,Spring,train,1
BSI,Summer,train,1
BSI,Winter,train,1
BSN,Fall,train,1
BSN,Spring,train,1
BSN,Summer,train,1
BSN,Winter,train,1
BSO,Fall,train,1
BSO,Spring,train,1
BSO,Summer,train,1
BSO,Winter,train,1
BSS,Fall,train,1
BSS,Spring,train,1
BSS,Summer,train,1
BSS,Winter,train,1
CGS,Fall,train,1
CGS,Spring,train,1
CGS,Summer,train,1
CGS,Winter,train,1
CWM,Fall,train,1
CWM,Spring,train,1
CWM,Summer,train,1
CWM,Winter,train,1
CWS,Fall,train,1
CWS,Spring,train,1
CWS,Summer,train,1
CWS,Winter,train,1
DGB,Fall,train,1
DGB,Spring,train,1
DGB,Summer,train,1
DGB,Winter,train,1
DGC,Spring,train,1
DGC,Summer,train,1
DGC,Winter,train,1
DGD,Fall,train,1
DGD,Spring,train,1
DGD,Summer,train,1
DGD,Winter,train,1
DGG,Fall,test,1
DGG,Spring,test,1
DGG,Summer,test,1
DGG,Winter,test,1
DGJ,Fall,train,1
DGJ,Spring,train,1
DGJ,Summer,train,1
DGJ,Winter,train,1
DGY,Fall,test,1
DGY,Spring,test,1
DGY,Summer,test,1
DGY,Winter,test,1
GCG,Fall,train,1
GCG,Spring,train,1
GCG,Summer,train,1
GCG,Winter,train,1
GHGa,Fall,train,1
GHGa,Summer,train,1
GHGa,Winter,train,1
GHGb,Fall,train,1
GHGb,Spring,train,1
GHGb,Summer,train,1
GHGb,Winter,train,1
GHH,Fall,test,1
GHH,Spring,test,1
GHH,Summer,test,1
GHH,Winter,test,1
GHJ,Fall,train,1
GHJ,Spring,train,1
GHJ,Summer,train,1
GHJ,Winter,train,1
GSG,Fall,test,1
GSG,Spring,test,1
GSG,Summer,test,1
GSG,Winter,test,1
JJN,Fall,train,1
JJN,Spring,train,1
JJN,Summer,train,1
JJN,Winter,train,1
JJY,Spring,train,1
JJY,Winter,train,1
MGY,Fall,test,1
MGY,Spring,test,1
MGY,Summer,test,1
MGY,Winter,test,1
MYS,Fall,train,1
MYS,Spring,train,1
MYS,Summer,train,1
MYS,Winter,train,1
SCH,Fall,test,1
SCH,Spring,test,1
SCH,Summer,test,1
SCH,Winter,test,1
UJG,Fall,train,1
UJG,Spring,train,1
UJG,Summer,train,1
USJ,Fall,train,1
USJ,Spring,train,1
USJ,Summer,train,1
USJ,Winter,train,1
USO,Fall,test,1
USO,Spring,test,1
USO,Summer,test,1
USO,Winter,test,1
USY,Fall,train,1
USY,Spring,train,1
USY,Summer,train,1
USY,Winter,train,1
YCD,Fall,train,1
YCD,Spring,train,1
YCD,Summer,train,1
YCD,Winter,train,1
YCG,Fall,train,1
YCG,Summer,train,1
YCG,Winter,train,1
YSD,Fall,train,1
YSD,Spring,train,1
YSD,Summer,train,1
YSD,Winter,train,1
YSY,Fall,train,1
YSY,Spring,train,1
YSY,Summer,train,1
YSY,Winter,train,1
