SampleID,Site,Season,split
1-1,BSS,Summer,train
2-1,BSS,Fall,train
3-1,BSS,Winter,train
4-1,BSS,Spring,train
1-2,BSN,Summer,train
2-2,BSN,Fall,train
3-2,BSN,Winter,train
4-2,BSN,Spring,train
1-3,BSI,Summer,train
2-3,BSI,Fall,train
3-3,BSI,Winter,train
4-3,BSI,Spring,train
1-4,BSO,Summer,train
2-4,BSO,Fall,train
3-4,BSO,Winter,train
4-4,BSO,Spring,train
1-5,BSE,Summer,train
2-5,BSE,Fall,train
3-5,BSE,Winter,train
4-5,BSE,Spring,train
1-6,DGG,Summer,test
2-6,DGG,Fall,test
3-6,DGG,Winter,test
4-6,DGG,Spring,test
1-7,DGD,Summer,train
2-7,DGD,Fall,train
3-7,DGD,Winter,train
4-7,DGD,Spring,train
1-8,DGJ,Summer,train
2-8,DGJ,Fall,train
3-8,DGJ,Winter,train
4-8,DGJ,Spring,train
1-9,DGB,Summer,train
2-9,DGB,Fall,train
3-9,DGB,Winter,train
4-9,DGB,Spring,train
1-10,DGC,Summer,train
3-10,DGC,Winter,train
4-10,DGC,Spring,train
1-11,DGY,Summer,test
2-11,DGY,Fall,test
3-11,DGY,Winter,test
4-11,DGY,Spring,test
1-12,USO,Summer,test
2-12,USO,Fall,test
3-12,USO,Winter,test
4-12,USO,Spring,test
1-13,USY,Summer,train
2-13,USY,Fall,train
3-13,USY,Winter,train
4-13,USY,Spring,train
1-14,USJ,Summer,train
2-14,USJ,Fall,train
3-14,USJ,Winter,train
4-14,USJ,Spring,train
1-15,GSG,Summer,test
2-15,GSG,Fall,test
3-15,GSG,Winter,test
4-15,GSG,Spring,test
1-16,GCG,Summer,train
2-16,GCG,Fall,train
3-16,GCG,Winter,train
4-16,GCG,Spring,train
1-17,MGY,Summer,test
2-17,MGY,Fall,test
3-17,MGY,Winter,test
4-17,MGY,Spring,test
1-18,ADA,Summer,train
2-18,ADA,Fall,train
3-18,ADA,Winter,train
4-18,ADA,Spring,train
1-19,ADP,Summer,train
2-19,ADP,Fall,train
3-19,ADP,Winter,train
1-20,YCG,Summer,train
2-20,YCG,Fall,train
3-20,YCG,Winter,train
1-21,YCD,Summer,train
2-21,YCD,Fall,train
3-21,YCD,Winter,train
4-21,YCD,Spring,train
1-22,UJG,Summer,train
2-22,UJG,Fall,train
4-22,UJG,Spring,train
1-23,CGS,Summer,train
2-23,CGS,Fall,train
3-23,CGS,Winter,train
4-23,CGS,Spring,train
1-24,GHGa,Summer,train
2-24,GHGa,Fall,train
3-24,GHGa,Winter,train
1-25,GHGb,Summer,train
2-25,GHGb,Fall,train
3-25,GHGb,Winter,train
4-25,GHGb,Spring,train
1-26,GHH,Summer,test
2-26,GHH,Fall,test
3-26,GHH,Winter,test
4-26,GHH,Spring,test
1-27,GHJ,Summer,train
2-27,GHJ,Fall,train
3-27,GHJ,Winter,train
4-27,GHJ,Spring,train
1-28,MYS,Summer,train
2-28,MYS,Fall,train
3-28,MYS,Winter,train
4-28,MYS,Spring,train
1-29,SCH,Summer,test
2-29,SCH,Fall,test
3-29,SCH,Winter,test
4-29,SCH,Spring,test
1-30,YSD,Summer,train
2-30,YSD,Fall,train
3-30,YSD,Winter,train
4-30,YSD,Spring,train
1-31,YSY,Summer,train
2-31,YSY,Fall,train
3-31,YSY,Winter,train
4-31,YSY,Spring,train
1-32,JJN,Summer,train
2-32,JJN,Fall,train
3-32,JJN,Winter,train
4-32,JJN,Spring,train
3-32',JJY,Winter,train
4-32',JJY,Spring,train
1-33,CWM,Summer,train
2-33,CWM,Fall,train
3-33,CWM,Winter,train
4-33,CWM,Spring,train
1-34,CWS,Summer,train
2-34,CWS,Fall,train
3-34,CWS,Winter,train
4-34,CWS,Spring,train
