SampleID,BAC_C::ABY1,BAC_C::Acetothermiia,BAC_C::Acidimicrobiia,BAC_C::Acidobacteriae,BAC_C::Actinobacteria,BAC_C::Alphaproteobacteria,BAC_C::Aminicenantia,BAC_C::Anaerolineae,BAC_C::BRH-c20a,BAC_C::Babeliae,BAC_C::Bacilli,BAC_C::Bacteroidia,BAC_C::Bdellovibrionia,BAC_C::Berkelbacteria,BAC_C::Blastocatellia,BAC_C::Brachyspirae,BAC_C::CK-2C2-2,BAC_C::Caldatribacteriia,BAC_C::Caldisericia,BAC_C::Calditrichia,BAC_C::Campylobacteria,BAC_C::Chlamydiae,BAC_C::Chthonomonadetes,BAC_C::Cloacimonadia,BAC_C::Clostridia,BAC_C::Coprothermobacteria,BAC_C::Coriobacteriia,BAC_C::D8A-2,BAC_C::Dadabacteriia,BAC_C::Deinococci,BAC_C::Desulfitobacteriia,BAC_C::Desulfobacteria,BAC_C::Desulfobulbia,BAC_C::Desulfotomaculia,BAC_C::Desulfovibrionia,BAC_C::Desulfuromonadia,BAC_C::Dethiobacteria,BAC_C::Elusimicrobia,BAC_C::Endomicrobia,BAC_C::Fermentibacteria,BAC_C::Fibrobacteria,BAC_C::Fimbriimonadia,BAC_C::Fusobacteriia,BAC_C::Gammaproteobacteria,BAC_C::Gemmatimonadetes,BAC_C::Gracilibacteria,BAC_C::Halanaerobiia,BAC_C::Holophagae,BAC_C::Hydrogenedentia,BAC_C::Hydrothermae,BAC_C::Ignavibacteria,BAC_C::Incertae_Sedis,BAC_C::JS1,BAC_C::KD4-96,BAC_C::Kapabacteria,BAC_C::Kiritimatiellae,BAC_C::LCP-89,BAC_C::Latescibacteria,BAC_C::Latescibacterota,BAC_C::Lentisphaeria,BAC_C::Leptospirae,BAC_C::Limnochordia,BAC_C::MBNT15,BAC_C::MD2902-B12,BAC_C::MVP-15,BAC_C::Marinimicrobia_(SAR406_clade),BAC_C::Microgenomatia,BAC_C::Moorellia,BAC_C::Myxococcia,BAC_C::NB1-j,BAC_C::NKB15,BAC_C::Negativicutes,BAC_C::Nitrospiria,BAC_C::OLB14,BAC_C::OM190,BAC_C::Oligoflexia,BAC_C::Omnitrophia,BAC_C::Parcubacteria,BAC_C::Phycisphaerae,BAC_C::Pla3_lineage,BAC_C::Planctomycetes,BAC_C::Polyangia,BAC_C::RBG-16-55-12,BAC_C::Rubrobacteria,BAC_C::SJA-28,BAC_C::Saccharimonadia,BAC_C::Spirochaetia,BAC_C::Sumerlaeia,BAC_C::Sva0485,BAC_C::Symbiobacteriia,BAC_C::Synergistia,BAC_C::Syntrophia,BAC_C::Syntrophobacteria,BAC_C::Syntrophomonadia,BAC_C::Syntrophorhabdia,BAC_C::TA06,BAC_C::Thermacetogenia,BAC_C::Thermoanaerobacteria,BAC_C::Thermoanaerobaculia,BAC_C::Thermoleophilia,BAC_C::Thermotogae,BAC_C::Thermovenabulia,BAC_C::Vampirivibrionia,BAC_C::Verrucomicrobiae,BAC_C::Vicinamibacteria,BAC_C::WCHB1-81,BAC_C::WPS-2,BAC_C::WS1,BAC_C::WWE3,BAC_C::Zixibacteria,BAC_C::c5LKS83,BAC_C::unidentified,ARC_C::Actinopterygii,ARC_C::Aenigmarchaeia,ARC_C::Bathyarchaeia,ARC_C::Bivalvia,ARC_C::Ichthyosporea,ARC_C::LKM11,ARC_C::Lokiarchaeia,ARC_C::Methanomethylicia,ARC_C::Methanomicrobia,ARC_C::Methanosarcinia,ARC_C::Micrarchaeia,ARC_C::Nanoarchaeia,ARC_C::Nitrososphaeria,ARC_C::Odinarchaeia,ARC_C::Thermococci,ARC_C::Thermoplasmata,ARC_C::unidentified
1-1,0.0,0.0,0.0,0.0,2.929,0.0,0.0,0.0,0.0,0.0,8.798,21.414,0.0,0.0,0.0,0.0,0.0,0.872,0.0,0.0,0.0,0.0,0.0,8.534,44.076,0.0,0.0,0.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.003,0.0,0.0,0.0,0.215,0.0,0.0,0.425,0.0,0.135,0.0,0.0,0.0,0.0,0.0,2.068,0.0,0.0,0.0,0.517,0.0,0.0,0.0,0.35,0.0,1.69,0.0,0.0,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.497,0.0,0.0,0.0,1.061,0.0,0.0,1.024,0.0,0.0,0.318,0.0,0.0,0.0,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,93.131,2.594,0.0,0.0,0.0,0.0,0.159,1.399,2.511
2-1,0.0,0.0,0.0,0.0,2.21,0.29,0.0,0.0,0.0,0.0,7.266999999999999,19.288,0.0,0.0,0.0,0.0,0.0,1.277,0.0,0.0,0.0,0.0,0.0,5.275,48.819,0.0,0.0,1.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.045,0.0,0.0,0.0,0.0,0.0,0.0,4.377000000000001,0.0,0.104,0.0,0.0,0.0,0.0,0.0,1.332,0.0,0.0,0.0,0.271,0.0,0.0,0.0,0.222,0.0,1.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.314,0.0,0.0,0.0,0.842,0.0,0.0,1.317,0.0,0.0,0.372,0.0,0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.659,6.955,0.0,0.0,0.0,0.0,0.674,1.742,5.971
3-1,0.0,0.0,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.0,16.662,19.76,0.0,0.0,0.0,0.0,0.0,0.223,0.0,0.0,0.0,0.0,0.0,8.643,39.975,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.233,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.152,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.593,0.0,0.0,0.0,0.467,0.0,0.0,1.693,0.0,0.0,0.21,0.0,0.0,0.0,0.105,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.425,1.095,0.0,0.0,0.0,0.0,0.0,0.224,90.256
4-1,0.0,0.0,0.0,0.0,4.535,0.797,0.0,0.127,0.0,0.0,5.104,18.512,0.0,0.0,0.0,0.0,0.0,2.468,0.0,0.0,0.0,0.0,0.0,2.703,48.47199999999999,0.0,0.0,1.673,0.0,0.0,0.0,0.0,0.0,0.131,0.108,0.0,2.218,0.0,0.0,0.0,0.0,0.0,0.0,7.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.162,0.0,0.0,0.0,0.0,0.0,0.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.0,0.0,0.0,1.068,0.0,0.0,0.891,0.0,0.0,0.151,0.0,0.0,0.0,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.092,42.155,0.0,0.0,0.0,0.0,0.0,0.387,0.301
1-2,0.0,0.0,0.0,0.0,0.289,0.997,0.0,1.965,0.0,0.0,0.6739999999999999,33.414,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.0,0.0,0.0,0.0,11.439,28.091,0.0,0.405,0.201,0.0,0.0,0.0,0.0,0.0,2.647,0.181,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716,0.362,0.0,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.216,0.0,0.3,0.0,0.0,0.0,2.847,2.189,0.0,1.221,0.443,0.0,0.0,0.0,0.0,0.112,5.744,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.0,0.0,0.0,1.121,0.0,0.0,0.193,0.0,0.0,0.0,0.0,0.0,45.241,41.508,0.0,1.166,0.0,0.0,9.49,0.994,1.408
2-2,0.0,0.0,0.262,0.0,0.515,2.108,0.0,1.131,0.0,0.151,1.063,28.247,0.0,0.0,0.0,0.0,0.0,0.111,0.342,0.0,0.0,0.0,0.0,14.888,27.144,0.0,0.101,0.119,0.0,0.0,0.0,0.0,0.127,1.662,0.324,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.464,0.282,0.0,0.0,0.0,0.124,0.0,0.0,0.6,0.523,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.0,0.0,0.264,0.0,0.353,0.143,0.0,0.0,0.412,0.277,0.256,0.0,0.0,0.0,2.139,1.779,0.184,1.292,0.624,0.0,0.0,0.0,0.246,0.176,4.551,0.0,0.0,0.347,0.0,0.0,0.0,0.187,0.0,0.0,0.0,1.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.23,40.971,0.0,1.789,0.0,0.0,12.678,0.914,0.418
3-2,0.0,0.0,0.0,0.0,0.33,0.954,0.129,1.917,0.0,0.0,2.058,20.237,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.0,0.0,0.0,0.0,22.348,26.927,0.0,0.415,0.0,0.0,0.0,0.0,0.0,0.0,1.805,0.0,0.113,0.0,0.0,0.834,0.0,0.0,0.0,0.0,3.061,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.653,0.257,0.0,0.0,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.0,0.434,0.0,0.0,0.0,2.853,2.377,0.141,0.722,0.628,0.0,0.0,0.0,0.0,0.0,6.63,0.0,0.0,0.343,0.0,0.0,0.0,0.173,0.0,0.0,0.0,1.091,0.0,0.0,0.607,0.0,0.0,0.0,0.0,0.0,45.261,39.895,0.0,0.663,0.0,0.0,12.028,1.464,0.0
4-2,0.0,0.0,0.122,0.0,0.681,1.454,0.419,1.003,0.0,0.0,1.474,25.137,0.0,0.0,0.0,0.0,0.0,0.141,0.523,0.0,0.0,0.0,0.0,15.025,23.967,0.0,1.064,0.0,0.0,0.0,0.0,0.0,0.15,0.908,0.248,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.018000000000001,0.0,0.0,0.0,0.0,0.165,0.0,0.0,0.202,0.404,0.0,0.0,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284,0.0,0.0,0.0,0.401,0.0,0.375,0.0,0.0,0.0,2.741,2.314,0.254,1.562,0.884,0.0,0.0,0.0,0.0,0.186,9.699,0.0,0.0,0.279,0.0,0.0,0.0,0.273,0.0,0.0,0.0,1.065,0.0,0.0,0.163,0.0,0.0,0.0,0.0,0.0,40.634,50.883,0.0,0.0,0.0,0.0,8.225,0.0,0.0
1-3,0.0,0.0,0.158,0.0,1.398,2.231,0.166,1.813,0.0,2.1,1.006,24.615,0.0,0.0,0.0,0.0,0.0,0.136,0.742,0.0,0.0,0.0,0.0,17.62,9.211,0.0,0.0,0.218,0.0,0.0,0.0,0.0,0.259,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.0,9.365,0.0,0.0,0.0,0.0,0.42,0.0,0.0,3.131,0.197,0.0,0.0,0.407,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.124,0.0,0.0,0.0,0.279,0.136,2.071,0.0,0.0,0.0,6.313,3.567,0.169,1.465,1.239,0.0,0.0,0.0,0.23,0.35,2.699,0.0,0.0,1.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.239,0.0,0.0,0.663,0.0,0.0,0.0,0.0,0.0,18.666,35.071,0.0,0.348,0.0,0.0,21.419,0.5449999999999999,23.29
2-3,0.0,0.0,0.0,0.0,0.692,1.358,0.107,0.527,0.0,0.739,0.312,24.544,0.0,0.0,0.0,0.0,0.0,0.153,0.864,0.0,0.0,0.0,0.0,25.723,9.054,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.0,8.626,0.0,0.0,0.0,0.0,0.159,0.0,0.0,4.327,0.166,0.0,0.0,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.542,0.0,0.0,0.0,0.121,0.128,1.758,0.0,0.0,0.0,5.119,3.885,0.0,0.5409999999999999,1.415,0.0,0.0,0.0,0.121,0.371,3.613,0.0,0.0,1.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.812,35.375,0.0,0.0,0.0,0.0,27.643,1.021,0.149
