fold,block,feature,training_samples_above_0_1_percent
1,BAC_C,BAC_C::ABY1,0
1,BAC_C,BAC_C::Acetothermiia,4
1,BAC_C,BAC_C::Acidimicrobiia,34
1,BAC_C,BAC_C::Acidobacteriae,7
1,BAC_C,BAC_C::Actinobacteria,63
1,BAC_C,BAC_C::Alphaproteobacteria,57
1,BAC_C,BAC_C::Aminicenantia,28
1,BAC_C,BAC_C::Anaerolineae,55
1,BAC_C,BAC_C::BRH-c20a,6
1,BAC_C,BAC_C::Babeliae,20
1,BAC_C,BAC_C::Bacilli,78
1,BAC_C,BAC_C::Bacteroidia,85
1,BAC_C,BAC_C::Bdellovibrionia,1
1,BAC_C,BAC_C::Berkelbacteria,0
1,BAC_C,BAC_C::Blastocatellia,17
1,BAC_C,BAC_C::Brachyspirae,14
1,BAC_C,BAC_C::CK-2C2-2,5
1,BAC_C,BAC_C::Caldatribacteriia,51
1,BAC_C,BAC_C::Caldisericia,48
1,BAC_C,BAC_C::Calditrichia,0
1,BAC_C,BAC_C::Campylobacteria,12
1,BAC_C,BAC_C::Chlamydiae,16
1,BAC_C,BAC_C::Chthonomonadetes,7
1,BAC_C,BAC_C::Cloacimonadia,80
1,BAC_C,BAC_C::Clostridia,85
1,BAC_C,BAC_C::Coprothermobacteria,5
1,BAC_C,BAC_C::Coriobacteriia,25
1,BAC_C,BAC_C::D8A-2,70
1,BAC_C,BAC_C::Dadabacteriia,0
1,BAC_C,BAC_C::Deinococci,3
1,BAC_C,BAC_C::Desulfitobacteriia,3
1,BAC_C,BAC_C::Desulfobacteria,0
1,BAC_C,BAC_C::Desulfobulbia,22
1,BAC_C,BAC_C::Desulfotomaculia,53
1,BAC_C,BAC_C::Desulfovibrionia,30
1,BAC_C,BAC_C::Desulfuromonadia,9
1,BAC_C,BAC_C::Dethiobacteria,34
1,BAC_C,BAC_C::Elusimicrobia,0
1,BAC_C,BAC_C::Endomicrobia,5
1,BAC_C,BAC_C::Fermentibacteria,5
1,BAC_C,BAC_C::Fibrobacteria,8
1,BAC_C,BAC_C::Fimbriimonadia,10
1,BAC_C,BAC_C::Fusobacteriia,11
1,BAC_C,BAC_C::Gammaproteobacteria,70
1,BAC_C,BAC_C::Gemmatimonadetes,9
1,BAC_C,BAC_C::Gracilibacteria,13
1,BAC_C,BAC_C::Halanaerobiia,2
1,BAC_C,BAC_C::Holophagae,15
1,BAC_C,BAC_C::Hydrogenedentia,35
1,BAC_C,BAC_C::Hydrothermae,1
1,BAC_C,BAC_C::Ignavibacteria,11
1,BAC_C,BAC_C::Incertae_Sedis,82
1,BAC_C,BAC_C::JS1,38
1,BAC_C,BAC_C::KD4-96,0
1,BAC_C,BAC_C::Kapabacteria,20
1,BAC_C,BAC_C::Kiritimatiellae,65
1,BAC_C,BAC_C::LCP-89,0
1,BAC_C,BAC_C::Latescibacteria,0
1,BAC_C,BAC_C::Latescibacterota,0
1,BAC_C,BAC_C::Lentisphaeria,8
1,BAC_C,BAC_C::Leptospirae,34
1,BAC_C,BAC_C::Limnochordia,49
1,BAC_C,BAC_C::MBNT15,0
1,BAC_C,BAC_C::MD2902-B12,0
1,BAC_C,BAC_C::MVP-15,27
1,BAC_C,BAC_C::Marinimicrobia_(SAR406_clade),20
1,BAC_C,BAC_C::Microgenomatia,0
1,BAC_C,BAC_C::Moorellia,7
