block,taxon,feature,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_C,ABY1,BAC_C::ABY1,2,1,True
BAC_C,Acetothermiia,BAC_C::Acetothermiia,12,4,True
BAC_C,Acidimicrobiia,BAC_C::Acidimicrobiia,59,44,True
BAC_C,Acidobacteriae,BAC_C::Acidobacteriae,11,11,True
BAC_C,Actinobacteria,BAC_C::Actinobacteria,112,85,True
BAC_C,Alphaproteobacteria,BAC_C::Alphaproteobacteria,95,73,True
BAC_C,Aminicenantia,BAC_C::Aminicenantia,61,41,True
BAC_C,Anaerolineae,BAC_C::Anaerolineae,98,75,True
BAC_C,BRH-c20a,BAC_C::BRH-c20a,8,6,True
BAC_C,Babeliae,BAC_C::Babeliae,34,25,True
BAC_C,Bacilli,BAC_C::Bacilli,126,102,True
BAC_C,Bacteroidia,BAC_C::Bacteroidia,138,109,True
BAC_C,Bdellovibrionia,BAC_C::Bdellovibrionia,3,2,True
BAC_C,Berkelbacteria,BAC_C::Berkelbacteria,1,0,True
BAC_C,Blastocatellia,BAC_C::Blastocatellia,33,25,True
BAC_C,Brachyspirae,BAC_C::Brachyspirae,36,24,True
BAC_C,CK-2C2-2,BAC_C::CK-2C2-2,9,7,True
BAC_C,Caldatribacteriia,BAC_C::Caldatribacteriia,83,68,True
BAC_C,Caldisericia,BAC_C::Caldisericia,84,64,True
BAC_C,Calditrichia,BAC_C::Calditrichia,1,0,True
BAC_C,Campylobacteria,BAC_C::Campylobacteria,26,16,True
BAC_C,Chlamydiae,BAC_C::Chlamydiae,26,17,True
BAC_C,Chthonomonadetes,BAC_C::Chthonomonadetes,16,14,True
BAC_C,Cloacimonadia,BAC_C::Cloacimonadia,133,104,True
BAC_C,Clostridia,BAC_C::Clostridia,138,109,True
BAC_C,Coprothermobacteria,BAC_C::Coprothermobacteria,8,8,True
BAC_C,Coriobacteriia,BAC_C::Coriobacteriia,29,25,True
BAC_C,D8A-2,BAC_C::D8A-2,103,89,True
BAC_C,Dadabacteriia,BAC_C::Dadabacteriia,3,0,True
BAC_C,Deinococci,BAC_C::Deinococci,6,3,True
BAC_C,Desulfitobacteriia,BAC_C::Desulfitobacteriia,3,3,True
BAC_C,Desulfobacteria,BAC_C::Desulfobacteria,2,0,True
BAC_C,Desulfobulbia,BAC_C::Desulfobulbia,37,27,True
BAC_C,Desulfotomaculia,BAC_C::Desulfotomaculia,83,70,True
BAC_C,Desulfovibrionia,BAC_C::Desulfovibrionia,51,40,True
BAC_C,Desulfuromonadia,BAC_C::Desulfuromonadia,24,21,True
BAC_C,Dethiobacteria,BAC_C::Dethiobacteria,47,41,True
BAC_C,Elusimicrobia,BAC_C::Elusimicrobia,1,0,True
BAC_C,Endomicrobia,BAC_C::Endomicrobia,7,7,True
BAC_C,Fermentibacteria,BAC_C::Fermentibacteria,16,11,True
BAC_C,Fibrobacteria,BAC_C::Fibrobacteria,16,13,True
BAC_C,Fimbriimonadia,BAC_C::Fimbriimonadia,23,15,True
BAC_C,Fusobacteriia,BAC_C::Fusobacteriia,21,14,True
BAC_C,Gammaproteobacteria,BAC_C::Gammaproteobacteria,120,91,True
BAC_C,Gemmatimonadetes,BAC_C::Gemmatimonadetes,16,11,True
BAC_C,Gracilibacteria,BAC_C::Gracilibacteria,19,16,True
BAC_C,Halanaerobiia,BAC_C::Halanaerobiia,2,2,True
BAC_C,Holophagae,BAC_C::Holophagae,36,25,True
BAC_C,Hydrogenedentia,BAC_C::Hydrogenedentia,65,49,True
BAC_C,Hydrothermae,BAC_C::Hydrothermae,1,1,True
BAC_C,Ignavibacteria,BAC_C::Ignavibacteria,29,20,True
BAC_C,Incertae_Sedis,BAC_C::Incertae_Sedis,124,103,True
BAC_C,JS1,BAC_C::JS1,64,46,True
BAC_C,KD4-96,BAC_C::KD4-96,4,0,True
BAC_C,Kapabacteria,BAC_C::Kapabacteria,44,33,True
BAC_C,Kiritimatiellae,BAC_C::Kiritimatiellae,107,84,True
BAC_C,LCP-89,BAC_C::LCP-89,1,0,True
BAC_C,Latescibacteria,BAC_C::Latescibacteria,1,0,True
BAC_C,Latescibacterota,BAC_C::Latescibacterota,2,0,True
BAC_C,Lentisphaeria,BAC_C::Lentisphaeria,16,11,True
BAC_C,Leptospirae,BAC_C::Leptospirae,66,50,True
BAC_C,Limnochordia,BAC_C::Limnochordia,66,57,True
BAC_C,MBNT15,BAC_C::MBNT15,1,0,True
BAC_C,MD2902-B12,BAC_C::MD2902-B12,2,0,True
BAC_C,MVP-15,BAC_C::MVP-15,55,41,True
BAC_C,Marinimicrobia_(SAR406_clade),BAC_C::Marinimicrobia_(SAR406_clade),30,24,True
BAC_C,Microgenomatia,BAC_C::Microgenomatia,2,1,True
BAC_C,Moorellia,BAC_C::Moorellia,7,7,True
BAC_C,Myxococcia,BAC_C::Myxococcia,1,1,True
BAC_C,NB1-j,BAC_C::NB1-j,2,0,True
BAC_C,NKB15,BAC_C::NKB15,6,6,True
BAC_C,Negativicutes,BAC_C::Negativicutes,45,37,True
BAC_C,Nitrospiria,BAC_C::Nitrospiria,15,7,True
BAC_C,OLB14,BAC_C::OLB14,14,10,True
BAC_C,OM190,BAC_C::OM190,1,0,True
BAC_C,Oligoflexia,BAC_C::Oligoflexia,16,12,True
BAC_C,Omnitrophia,BAC_C::Omnitrophia,11,5,True
BAC_C,Parcubacteria,BAC_C::Parcubacteria,8,6,True
BAC_C,Phycisphaerae,BAC_C::Phycisphaerae,24,16,True
BAC_C,Pla3_lineage,BAC_C::Pla3_lineage,6,5,True
BAC_C,Planctomycetes,BAC_C::Planctomycetes,81,62,True
BAC_C,Polyangia,BAC_C::Polyangia,15,8,True
BAC_C,RBG-16-55-12,BAC_C::RBG-16-55-12,8,5,True
BAC_C,Rubrobacteria,BAC_C::Rubrobacteria,1,0,True
BAC_C,SJA-28,BAC_C::SJA-28,70,53,True
BAC_C,Saccharimonadia,BAC_C::Saccharimonadia,43,32,True
BAC_C,Spirochaetia,BAC_C::Spirochaetia,128,101,True
BAC_C,Sumerlaeia,BAC_C::Sumerlaeia,22,15,True
BAC_C,Sva0485,BAC_C::Sva0485,8,2,True
BAC_C,Symbiobacteriia,BAC_C::Symbiobacteriia,4,4,True
BAC_C,Synergistia,BAC_C::Synergistia,136,107,True
BAC_C,Syntrophia,BAC_C::Syntrophia,91,67,True
BAC_C,Syntrophobacteria,BAC_C::Syntrophobacteria,45,29,True
BAC_C,Syntrophomonadia,BAC_C::Syntrophomonadia,129,103,True
BAC_C,Syntrophorhabdia,BAC_C::Syntrophorhabdia,80,60,True
BAC_C,TA06,BAC_C::TA06,8,4,True
BAC_C,Thermacetogenia,BAC_C::Thermacetogenia,27,27,True
BAC_C,Thermoanaerobacteria,BAC_C::Thermoanaerobacteria,14,13,True
BAC_C,Thermoanaerobaculia,BAC_C::Thermoanaerobaculia,35,26,True
BAC_C,Thermoleophilia,BAC_C::Thermoleophilia,58,44,True
BAC_C,Thermotogae,BAC_C::Thermotogae,105,85,True
BAC_C,Thermovenabulia,BAC_C::Thermovenabulia,23,23,True
BAC_C,Vampirivibrionia,BAC_C::Vampirivibrionia,2,2,True
BAC_C,Verrucomicrobiae,BAC_C::Verrucomicrobiae,96,70,True
BAC_C,Vicinamibacteria,BAC_C::Vicinamibacteria,2,2,True
BAC_C,WCHB1-81,BAC_C::WCHB1-81,39,27,True
BAC_C,WPS-2,BAC_C::WPS-2,4,3,True
BAC_C,WS1,BAC_C::WS1,47,37,True
BAC_C,WWE3,BAC_C::WWE3,3,2,True
BAC_C,Zixibacteria,BAC_C::Zixibacteria,5,3,True
BAC_C,c5LKS83,BAC_C::c5LKS83,11,3,True
BAC_C,unidentified,BAC_C::unidentified,117,92,True
ARC_C,Actinopterygii,ARC_C::Actinopterygii,1,1,True
ARC_C,Aenigmarchaeia,ARC_C::Aenigmarchaeia,2,2,True
ARC_C,Bathyarchaeia,ARC_C::Bathyarchaeia,67,51,True
ARC_C,Bivalvia,ARC_C::Bivalvia,2,2,True
ARC_C,Ichthyosporea,ARC_C::Ichthyosporea,1,1,True
ARC_C,LKM11,ARC_C::LKM11,1,0,True
ARC_C,Lokiarchaeia,ARC_C::Lokiarchaeia,2,1,True
ARC_C,Methanomethylicia,ARC_C::Methanomethylicia,20,12,True
ARC_C,Methanomicrobia,ARC_C::Methanomicrobia,138,109,True
ARC_C,Methanosarcinia,ARC_C::Methanosarcinia,135,106,True
ARC_C,Micrarchaeia,ARC_C::Micrarchaeia,18,13,True
ARC_C,Nanoarchaeia,ARC_C::Nanoarchaeia,52,40,True
ARC_C,Nitrososphaeria,ARC_C::Nitrososphaeria,13,10,True
ARC_C,Odinarchaeia,ARC_C::Odinarchaeia,1,0,True
ARC_C,Thermococci,ARC_C::Thermococci,127,98,True
ARC_C,Thermoplasmata,ARC_C::Thermoplasmata,132,104,True
ARC_C,unidentified,ARC_C::unidentified,115,93,True
