Site,SiteGroup,metadata_samples,matched_samples,missing_metadata_seasons,missing_matched_seasons
ADA,ADA,4,4,,
ADP,ADP,3,3,Spring,Spring
BSE,BSE,4,4,,
BSI,BSI,4,4,,
BSIb,BSI,1,1,Fall;Spring;Winter,Fall;Spring;Winter
BSN,BSN,4,4,,
BSO,BSO,4,4,,
BSS,BSS,4,4,,
CGS,CGS,4,4,,
CWM,CWM,4,4,,
CWS,CWS,4,4,,
DGB,DGB,4,4,,
DGC,DGC,4,4,,
DGD,DGD,4,4,,
DGG,DGG,4,4,,
DGJ,DGJ,4,4,,
DGY,DGY,4,4,,
DGYb,DGY,1,1,Fall;Spring;Winter,Fall;Spring;Winter
GCG,GCG,4,4,,
GHGa,GHGa,4,3,,Spring
GHGb,GHGb,4,4,,
GHH,GHH,4,4,,
GHJ,GHJ,4,4,,
GSG,GSG,4,4,,
JJN,JJN,4,4,,
JJY,JJY,4,3,,Summer
MGY,MGY,4,4,,
MYS,MYS,4,4,,
SCH,SCH,4,4,,
UJG,UJG,4,4,,
USJ,USJ,4,4,,
USO,USO,4,4,,
USY,USY,4,4,,
YCD,YCD,4,4,,
YCG,YCG,3,3,Spring,Spring
YSD,YSD,4,4,,
YSY,YSY,4,4,,
