fold,feature
1,BAC_C::Acetothermiia
1,BAC_C::Acidimicrobiia
1,BAC_C::Acidobacteriae
1,BAC_C::Actinobacteria
1,BAC_C::Alphaproteobacteria
1,BAC_C::Aminicenantia
1,BAC_C::Anaerolineae
1,BAC_C::BRH-c20a
1,BAC_C::Babeliae
1,BAC_C::Bacilli
1,BAC_C::Bacteroidia
1,BAC_C::Bdellovibrionia
1,BAC_C::Blastocatellia
1,BAC_C::Brachyspirae
1,BAC_C::CK-2C2-2
1,BAC_C::Caldatribacteriia
1,BAC_C::Caldisericia
1,BAC_C::Campylobacteria
1,BAC_C::Chlamydiae
1,BAC_C::Chthonomonadetes
1,BAC_C::Cloacimonadia
1,BAC_C::Clostridia
1,BAC_C::Coprothermobacteria
1,BAC_C::Coriobacteriia
1,BAC_C::D8A-2
1,BAC_C::Deinococci
1,BAC_C::Desulfitobacteriia
1,BAC_C::Desulfobulbia
1,BAC_C::Desulfotomaculia
1,BAC_C::Desulfovibrionia
1,BAC_C::Desulfuromonadia
1,BAC_C::Dethiobacteria
1,BAC_C::Endomicrobia
1,BAC_C::Fermentibacteria
1,BAC_C::Fibrobacteria
1,BAC_C::Fimbriimonadia
1,BAC_C::Fusobacteriia
1,BAC_C::Gammaproteobacteria
1,BAC_C::Gemmatimonadetes
1,BAC_C::Gracilibacteria
1,BAC_C::Halanaerobiia
1,BAC_C::Holophagae
1,BAC_C::Hydrogenedentia
1,BAC_C::Hydrothermae
1,BAC_C::Ignavibacteria
1,BAC_C::Incertae_Sedis
1,BAC_C::JS1
1,BAC_C::Kapabacteria
1,BAC_C::Kiritimatiellae
1,BAC_C::Lentisphaeria
1,BAC_C::Leptospirae
1,BAC_C::Limnochordia
1,BAC_C::MVP-15
1,BAC_C::Marinimicrobia_(SAR406_clade)
1,BAC_C::Moorellia
1,BAC_C::Myxococcia
1,BAC_C::NKB15
1,BAC_C::Negativicutes
1,BAC_C::Nitrospiria
1,BAC_C::OLB14
1,BAC_C::Oligoflexia
1,BAC_C::Omnitrophia
1,BAC_C::Parcubacteria
1,BAC_C::Phycisphaerae
1,BAC_C::Pla3_lineage
1,BAC_C::Planctomycetes
1,BAC_C::Polyangia
1,BAC_C::RBG-16-55-12
1,BAC_C::SJA-28
1,BAC_C::Saccharimonadia
1,BAC_C::Spirochaetia
1,BAC_C::Sumerlaeia
1,BAC_C::Sva0485
1,BAC_C::Symbiobacteriia
1,BAC_C::Synergistia
1,BAC_C::Syntrophia
1,BAC_C::Syntrophobacteria
1,BAC_C::Syntrophomonadia
1,BAC_C::Syntrophorhabdia
1,BAC_C::TA06
1,BAC_C::Thermacetogenia
1,BAC_C::Thermoanaerobacteria
1,BAC_C::Thermoanaerobaculia
1,BAC_C::Thermoleophilia
1,BAC_C::Thermotogae
1,BAC_C::Thermovenabulia
1,BAC_C::Vampirivibrionia
1,BAC_C::Verrucomicrobiae
1,BAC_C::Vicinamibacteria
1,BAC_C::WCHB1-81
1,BAC_C::WPS-2
1,BAC_C::WS1
1,BAC_C::WWE3
1,BAC_C::Zixibacteria
1,BAC_C::c5LKS83
1,BAC_C::unidentified
1,ARC_C::Actinopterygii
1,ARC_C::Aenigmarchaeia
1,ARC_C::Bathyarchaeia
1,ARC_C::Bivalvia
1,ARC_C::Ichthyosporea
1,ARC_C::Lokiarchaeia
1,ARC_C::Methanomethylicia
1,ARC_C::Methanomicrobia
1,ARC_C::Methanosarcinia
1,ARC_C::Micrarchaeia
1,ARC_C::Nanoarchaeia
1,ARC_C::Nitrososphaeria
1,ARC_C::Thermococci
1,ARC_C::Thermoplasmata
1,ARC_C::unidentified
2,BAC_C::ABY1
2,BAC_C::Acetothermiia
2,BAC_C::Acidimicrobiia
2,BAC_C::Acidobacteriae
2,BAC_C::Actinobacteria
2,BAC_C::Alphaproteobacteria
2,BAC_C::Aminicenantia
2,BAC_C::Anaerolineae
2,BAC_C::BRH-c20a
2,BAC_C::Babeliae
2,BAC_C::Bacilli
2,BAC_C::Bacteroidia
2,BAC_C::Bdellovibrionia
2,BAC_C::Blastocatellia
2,BAC_C::Brachyspirae
2,BAC_C::CK-2C2-2
2,BAC_C::Caldatribacteriia
2,BAC_C::Caldisericia
2,BAC_C::Campylobacteria
2,BAC_C::Chlamydiae
2,BAC_C::Chthonomonadetes
2,BAC_C::Cloacimonadia
2,BAC_C::Clostridia
2,BAC_C::Coprothermobacteria
2,BAC_C::Coriobacteriia
2,BAC_C::D8A-2
2,BAC_C::Desulfitobacteriia
2,BAC_C::Desulfobulbia
2,BAC_C::Desulfotomaculia
2,BAC_C::Desulfovibrionia
2,BAC_C::Desulfuromonadia
2,BAC_C::Dethiobacteria
2,BAC_C::Endomicrobia
2,BAC_C::Fermentibacteria
2,BAC_C::Fibrobacteria
2,BAC_C::Fimbriimonadia
2,BAC_C::Fusobacteriia
2,BAC_C::Gammaproteobacteria
2,BAC_C::Gemmatimonadetes
2,BAC_C::Gracilibacteria
2,BAC_C::Halanaerobiia
2,BAC_C::Holophagae
2,BAC_C::Hydrogenedentia
2,BAC_C::Hydrothermae
2,BAC_C::Ignavibacteria
2,BAC_C::Incertae_Sedis
2,BAC_C::JS1
2,BAC_C::Kapabacteria
2,BAC_C::Kiritimatiellae
2,BAC_C::Lentisphaeria
2,BAC_C::Leptospirae
2,BAC_C::Limnochordia
2,BAC_C::MVP-15
2,BAC_C::Marinimicrobia_(SAR406_clade)
2,BAC_C::Microgenomatia
2,BAC_C::Moorellia
2,BAC_C::Myxococcia
2,BAC_C::NKB15
2,BAC_C::Negativicutes
2,BAC_C::Nitrospiria
2,BAC_C::OLB14
2,BAC_C::Oligoflexia
2,BAC_C::Omnitrophia
2,BAC_C::Parcubacteria
2,BAC_C::Phycisphaerae
2,BAC_C::Pla3_lineage
2,BAC_C::Planctomycetes
2,BAC_C::Polyangia
2,BAC_C::RBG-16-55-12
2,BAC_C::SJA-28
2,BAC_C::Saccharimonadia
2,BAC_C::Spirochaetia
2,BAC_C::Sumerlaeia
2,BAC_C::Sva0485
2,BAC_C::Symbiobacteriia
2,BAC_C::Synergistia
2,BAC_C::Syntrophia
2,BAC_C::Syntrophobacteria
2,BAC_C::Syntrophomonadia
2,BAC_C::Syntrophorhabdia
2,BAC_C::TA06
2,BAC_C::Thermacetogenia
2,BAC_C::Thermoanaerobacteria
2,BAC_C::Thermoanaerobaculia
2,BAC_C::Thermoleophilia
2,BAC_C::Thermotogae
2,BAC_C::Thermovenabulia
2,BAC_C::Vampirivibrionia
2,BAC_C::Verrucomicrobiae
2,BAC_C::Vicinamibacteria
2,BAC_C::WCHB1-81
2,BAC_C::WPS-2
2,BAC_C::WS1
2,BAC_C::WWE3
2,BAC_C::Zixibacteria
2,BAC_C::c5LKS83
2,BAC_C::unidentified
2,ARC_C::Aenigmarchaeia
2,ARC_C::Bathyarchaeia
2,ARC_C::Ichthyosporea
2,ARC_C::Lokiarchaeia
2,ARC_C::Methanomethylicia
