Model,target,feature,importance,domain,taxonomic_level
RandomForest,warning_acid_base_balance,BAC_C::ABY1,0.0,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Acetothermiia,0.0,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Acidimicrobiia,0.0111416511010901,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Acidobacteriae,0.0,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Actinobacteria,0.0061105535900397,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Alphaproteobacteria,0.0146643437976838,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Aminicenantia,0.0063763335264843,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Anaerolineae,0.0167707762864525,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::BRH-c20a,0.0,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Babeliae,0.0027518259083633,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Bacilli,0.0292879551295718,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Bacteroidia,0.0130922305501999,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Bdellovibrionia,0.0,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Blastocatellia,0.0025485852816445,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Brachyspirae,0.0009834427470652,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::CK-2C2-2,0.0,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Caldatribacteriia,0.0038260442053497,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Caldisericia,0.0431424128716175,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Campylobacteria,0.0,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Chlamydiae,4.332957615626465e-17,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Chthonomonadetes,4.0816036529248085e-17,Bacteria,Class
RandomForest,warning_acid_base_balance,BAC_C::Cloacimonadia,0.0432639867515625,Bacteria,Class
