,missing,missing_percent
BAC_C::ABY1,0,0.0
BAC_C::Abditibacteria,0,0.0
BAC_C::Acetothermiia,0,0.0
BAC_C::Acidimicrobiia,0,0.0
BAC_C::Acidobacteriae,0,0.0
BAC_C::Actinobacteria,0,0.0
BAC_C::Alphaproteobacteria,0,0.0
BAC_C::Aminicenantia,0,0.0
BAC_C::Anaerolineae,0,0.0
BAC_C::BD7-11,0,0.0
BAC_C::BRH-c20a,0,0.0
BAC_C::Babeliae,0,0.0
BAC_C::Bacilli,0,0.0
BAC_C::Bacteroidia,0,0.0
BAC_C::Bdellovibrionia,0,0.0
BAC_C::Berkelbacteria,0,0.0
BAC_C::Blastocatellia,0,0.0
BAC_C::Brachyspirae,0,0.0
BAC_C::Brevinematia,0,0.0
BAC_C::CK-2C2-2,0,0.0
BAC_C::CPR2,0,0.0
BAC_C::Caldatribacteriia,0,0.0
BAC_C::Caldisericia,0,0.0
BAC_C::Calditrichia,0,0.0
BAC_C::Campylobacteria,0,0.0
BAC_C::Chitinivibrionia,0,0.0
BAC_C::Chlamydiae,0,0.0
BAC_C::Chlorobia,0,0.0
BAC_C::Chloroflexia,0,0.0
BAC_C::Chthonomonadetes,0,0.0
BAC_C::Cloacimonadia,0,0.0
BAC_C::Clostridia,0,0.0
BAC_C::Coprothermobacteria,0,0.0
BAC_C::Coriobacteriia,0,0.0
BAC_C::Cyanobacteriia,0,0.0
BAC_C::D8A-2,0,0.0
BAC_C::DG-56,0,0.0
BAC_C::Dadabacteriia,0,0.0
BAC_C::Defferrisomatia,0,0.0
BAC_C::Dehalococcoidia,0,0.0
BAC_C::Deinococci,0,0.0
BAC_C::Desulfitobacteriia,0,0.0
BAC_C::Desulfobacteria,0,0.0
BAC_C::Desulfobulbia,0,0.0
BAC_C::Desulfomonilia,0,0.0
BAC_C::Desulfotomaculia,0,0.0
BAC_C::Desulfovibrionia,0,0.0
BAC_C::Desulfurellia,0,0.0
BAC_C::Desulfuromonadia,0,0.0
BAC_C::Dethiobacteria,0,0.0
BAC_C::Dictyoglomia,0,0.0
BAC_C::Elusimicrobia,0,0.0
BAC_C::Endomicrobia,0,0.0
BAC_C::FCPU426,0,0.0
BAC_C::Fermentibacteria,0,0.0
BAC_C::Fibrobacteria,0,0.0
BAC_C::Fimbriimonadia,0,0.0
BAC_C::Fusobacteriia,0,0.0
BAC_C::Gammaproteobacteria,0,0.0
BAC_C::Gemmatimonadetes,0,0.0
BAC_C::Gitt-GS-136,0,0.0
BAC_C::Gracilibacteria,0,0.0
BAC_C::Halanaerobiia,0,0.0
BAC_C::Holophagae,0,0.0
BAC_C::Hydrogenedentia,0,0.0
BAC_C::Hydrothermae,0,0.0
BAC_C::Ignavibacteria,0,0.0
BAC_C::Incertae_Sedis,0,0.0
BAC_C::JG30-KF-CM66,0,0.0
BAC_C::JS1,0,0.0
BAC_C::KD4-96,0,0.0
BAC_C::Kapabacteria,0,0.0
BAC_C::Kiritimatiellae,0,0.0
BAC_C::Kryptonia,0,0.0
BAC_C::LCP-89,0,0.0
BAC_C::Latescibacteria,0,0.0
BAC_C::Latescibacterota,0,0.0
BAC_C::Lentisphaeria,0,0.0
BAC_C::Leptospirae,0,0.0
BAC_C::Limnochordia,0,0.0
