feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_C::ABY1,ABY1,Bacteria,Class,2,1,True
BAC_C::Acetothermiia,Acetothermiia,Bacteria,Class,12,4,True
BAC_C::Acidimicrobiia,Acidimicrobiia,Bacteria,Class,59,44,True
BAC_C::Acidobacteriae,Acidobacteriae,Bacteria,Class,11,11,True
BAC_C::Actinobacteria,Actinobacteria,Bacteria,Class,112,85,True
BAC_C::Alphaproteobacteria,Alphaproteobacteria,Bacteria,Class,95,73,True
BAC_C::Aminicenantia,Aminicenantia,Bacteria,Class,61,41,True
BAC_C::Anaerolineae,Anaerolineae,Bacteria,Class,98,75,True
BAC_C::BRH-c20a,BRH-c20a,Bacteria,Class,8,6,True
BAC_C::Babeliae,Babeliae,Bacteria,Class,34,25,True
BAC_C::Bacilli,Bacilli,Bacteria,Class,126,102,True
BAC_C::Bacteroidia,Bacteroidia,Bacteria,Class,138,109,True
BAC_C::Bdellovibrionia,Bdellovibrionia,Bacteria,Class,3,2,True
BAC_C::Blastocatellia,Blastocatellia,Bacteria,Class,33,25,True
BAC_C::Brachyspirae,Brachyspirae,Bacteria,Class,36,24,True
BAC_C::CK-2C2-2,CK-2C2-2,Bacteria,Class,9,7,True
BAC_C::Caldatribacteriia,Caldatribacteriia,Bacteria,Class,83,68,True
BAC_C::Caldisericia,Caldisericia,Bacteria,Class,84,64,True
BAC_C::Campylobacteria,Campylobacteria,Bacteria,Class,26,16,True
BAC_C::Chlamydiae,Chlamydiae,Bacteria,Class,26,17,True
BAC_C::Chthonomonadetes,Chthonomonadetes,Bacteria,Class,16,14,True
BAC_C::Cloacimonadia,Cloacimonadia,Bacteria,Class,133,104,True
BAC_C::Clostridia,Clostridia,Bacteria,Class,138,109,True
BAC_C::Coprothermobacteria,Coprothermobacteria,Bacteria,Class,8,8,True
BAC_C::Coriobacteriia,Coriobacteriia,Bacteria,Class,29,25,True
BAC_C::D8A-2,D8A-2,Bacteria,Class,103,89,True
BAC_C::Deinococci,Deinococci,Bacteria,Class,6,3,True
BAC_C::Desulfitobacteriia,Desulfitobacteriia,Bacteria,Class,3,3,True
BAC_C::Desulfobulbia,Desulfobulbia,Bacteria,Class,37,27,True
BAC_C::Desulfotomaculia,Desulfotomaculia,Bacteria,Class,83,70,True
BAC_C::Desulfovibrionia,Desulfovibrionia,Bacteria,Class,51,40,True
BAC_C::Desulfuromonadia,Desulfuromonadia,Bacteria,Class,24,21,True
BAC_C::Dethiobacteria,Dethiobacteria,Bacteria,Class,47,41,True
BAC_C::Endomicrobia,Endomicrobia,Bacteria,Class,7,7,True
BAC_C::Fermentibacteria,Fermentibacteria,Bacteria,Class,16,11,True
BAC_C::Fibrobacteria,Fibrobacteria,Bacteria,Class,16,13,True
BAC_C::Fimbriimonadia,Fimbriimonadia,Bacteria,Class,23,15,True
BAC_C::Fusobacteriia,Fusobacteriia,Bacteria,Class,21,14,True
BAC_C::Gammaproteobacteria,Gammaproteobacteria,Bacteria,Class,120,91,True
BAC_C::Gemmatimonadetes,Gemmatimonadetes,Bacteria,Class,16,11,True
BAC_C::Gracilibacteria,Gracilibacteria,Bacteria,Class,19,16,True
BAC_C::Halanaerobiia,Halanaerobiia,Bacteria,Class,2,2,True
BAC_C::Holophagae,Holophagae,Bacteria,Class,36,25,True
BAC_C::Hydrogenedentia,Hydrogenedentia,Bacteria,Class,65,49,True
BAC_C::Hydrothermae,Hydrothermae,Bacteria,Class,1,1,True
