feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_C::ABY1,ABY1,Bacteria,Class,2,1,True
BAC_C::Abditibacteria,Abditibacteria,Bacteria,Class,0,0,False
BAC_C::Acetothermiia,Acetothermiia,Bacteria,Class,12,4,True
BAC_C::Acidimicrobiia,Acidimicrobiia,Bacteria,Class,59,44,True
BAC_C::Acidobacteriae,Acidobacteriae,Bacteria,Class,11,11,True
BAC_C::Actinobacteria,Actinobacteria,Bacteria,Class,112,85,True
BAC_C::Alphaproteobacteria,Alphaproteobacteria,Bacteria,Class,95,73,True
BAC_C::Aminicenantia,Aminicenantia,Bacteria,Class,61,41,True
BAC_C::Anaerolineae,Anaerolineae,Bacteria,Class,98,75,True
BAC_C::BD7-11,BD7-11,Bacteria,Class,0,0,False
BAC_C::BRH-c20a,BRH-c20a,Bacteria,Class,8,6,True
BAC_C::Babeliae,Babeliae,Bacteria,Class,34,25,True
BAC_C::Bacilli,Bacilli,Bacteria,Class,126,102,True
BAC_C::Bacteroidia,Bacteroidia,Bacteria,Class,138,109,True
BAC_C::Bdellovibrionia,Bdellovibrionia,Bacteria,Class,3,2,True
BAC_C::Berkelbacteria,Berkelbacteria,Bacteria,Class,1,0,False
BAC_C::Blastocatellia,Blastocatellia,Bacteria,Class,33,25,True
BAC_C::Brachyspirae,Brachyspirae,Bacteria,Class,36,24,True
BAC_C::Brevinematia,Brevinematia,Bacteria,Class,0,0,False
BAC_C::CK-2C2-2,CK-2C2-2,Bacteria,Class,9,7,True
BAC_C::CPR2,CPR2,Bacteria,Class,0,0,False
BAC_C::Caldatribacteriia,Caldatribacteriia,Bacteria,Class,83,68,True
BAC_C::Caldisericia,Caldisericia,Bacteria,Class,84,64,True
BAC_C::Calditrichia,Calditrichia,Bacteria,Class,1,0,False
BAC_C::Campylobacteria,Campylobacteria,Bacteria,Class,26,16,True
BAC_C::Chitinivibrionia,Chitinivibrionia,Bacteria,Class,0,0,False
BAC_C::Chlamydiae,Chlamydiae,Bacteria,Class,26,17,True
BAC_C::Chlorobia,Chlorobia,Bacteria,Class,0,0,False
BAC_C::Chloroflexia,Chloroflexia,Bacteria,Class,0,0,False
BAC_C::Chthonomonadetes,Chthonomonadetes,Bacteria,Class,16,14,True
BAC_C::Cloacimonadia,Cloacimonadia,Bacteria,Class,133,104,True
BAC_C::Clostridia,Clostridia,Bacteria,Class,138,109,True
BAC_C::Coprothermobacteria,Coprothermobacteria,Bacteria,Class,8,8,True
BAC_C::Coriobacteriia,Coriobacteriia,Bacteria,Class,29,25,True
BAC_C::Cyanobacteriia,Cyanobacteriia,Bacteria,Class,0,0,False
BAC_C::D8A-2,D8A-2,Bacteria,Class,103,89,True
BAC_C::DG-56,DG-56,Bacteria,Class,0,0,False
BAC_C::Dadabacteriia,Dadabacteriia,Bacteria,Class,3,0,False
BAC_C::Defferrisomatia,Defferrisomatia,Bacteria,Class,0,0,False
BAC_C::Dehalococcoidia,Dehalococcoidia,Bacteria,Class,0,0,False
BAC_C::Deinococci,Deinococci,Bacteria,Class,6,3,True
BAC_C::Desulfitobacteriia,Desulfitobacteriia,Bacteria,Class,3,3,True
BAC_C::Desulfobacteria,Desulfobacteria,Bacteria,Class,2,0,False
BAC_C::Desulfobulbia,Desulfobulbia,Bacteria,Class,37,27,True
BAC_C::Desulfomonilia,Desulfomonilia,Bacteria,Class,0,0,False
BAC_C::Desulfotomaculia,Desulfotomaculia,Bacteria,Class,83,70,True
BAC_C::Desulfovibrionia,Desulfovibrionia,Bacteria,Class,51,40,True
BAC_C::Desulfurellia,Desulfurellia,Bacteria,Class,0,0,False
BAC_C::Desulfuromonadia,Desulfuromonadia,Bacteria,Class,24,21,True
BAC_C::Dethiobacteria,Dethiobacteria,Bacteria,Class,47,41,True
BAC_C::Dictyoglomia,Dictyoglomia,Bacteria,Class,0,0,False
BAC_C::Elusimicrobia,Elusimicrobia,Bacteria,Class,1,0,False
BAC_C::Endomicrobia,Endomicrobia,Bacteria,Class,7,7,True
BAC_C::FCPU426,FCPU426,Bacteria,Class,0,0,False
BAC_C::Fermentibacteria,Fermentibacteria,Bacteria,Class,16,11,True
BAC_C::Fibrobacteria,Fibrobacteria,Bacteria,Class,16,13,True
BAC_C::Fimbriimonadia,Fimbriimonadia,Bacteria,Class,23,15,True
BAC_C::Fusobacteriia,Fusobacteriia,Bacteria,Class,21,14,True
BAC_C::Gammaproteobacteria,Gammaproteobacteria,Bacteria,Class,120,91,True
BAC_C::Gemmatimonadetes,Gemmatimonadetes,Bacteria,Class,16,11,True
BAC_C::Gitt-GS-136,Gitt-GS-136,Bacteria,Class,0,0,False
BAC_C::Gracilibacteria,Gracilibacteria,Bacteria,Class,19,16,True
BAC_C::Halanaerobiia,Halanaerobiia,Bacteria,Class,2,2,True
BAC_C::Holophagae,Holophagae,Bacteria,Class,36,25,True
BAC_C::Hydrogenedentia,Hydrogenedentia,Bacteria,Class,65,49,True
BAC_C::Hydrothermae,Hydrothermae,Bacteria,Class,1,1,True
BAC_C::Ignavibacteria,Ignavibacteria,Bacteria,Class,29,20,True
BAC_C::Incertae_Sedis,Incertae_Sedis,Bacteria,Class,124,103,True
BAC_C::JG30-KF-CM66,JG30-KF-CM66,Bacteria,Class,0,0,False
BAC_C::JS1,JS1,Bacteria,Class,64,46,True
BAC_C::KD4-96,KD4-96,Bacteria,Class,4,0,False
BAC_C::Kapabacteria,Kapabacteria,Bacteria,Class,44,33,True
BAC_C::Kiritimatiellae,Kiritimatiellae,Bacteria,Class,107,84,True
BAC_C::Kryptonia,Kryptonia,Bacteria,Class,0,0,False
BAC_C::LCP-89,LCP-89,Bacteria,Class,1,0,False
BAC_C::Latescibacteria,Latescibacteria,Bacteria,Class,1,0,False
BAC_C::Latescibacterota,Latescibacterota,Bacteria,Class,2,0,False
BAC_C::Lentisphaeria,Lentisphaeria,Bacteria,Class,16,11,True
BAC_C::Leptospirae,Leptospirae,Bacteria,Class,66,50,True
BAC_C::Limnochordia,Limnochordia,Bacteria,Class,66,57,True
BAC_C::Lineage_IIa,Lineage_IIa,Bacteria,Class,0,0,False
BAC_C::Longimicrobia,Longimicrobia,Bacteria,Class,0,0,False
BAC_C::MBNT15,MBNT15,Bacteria,Class,1,0,False
BAC_C::MD2902-B12,MD2902-B12,Bacteria,Class,2,0,False
BAC_C::MVP-15,MVP-15,Bacteria,Class,55,41,True
BAC_C::Margulisbacteria,Margulisbacteria,Bacteria,Class,0,0,False
BAC_C::Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Bacteria,Class,30,24,True
BAC_C::Methylomirabilia,Methylomirabilia,Bacteria,Class,0,0,False
BAC_C::Microgenomatia,Microgenomatia,Bacteria,Class,2,1,True
BAC_C::Moorellia,Moorellia,Bacteria,Class,7,7,True
BAC_C::Myxococcia,Myxococcia,Bacteria,Class,1,1,True
BAC_C::NB1-j,NB1-j,Bacteria,Class,2,0,False
BAC_C::NKB15,NKB15,Bacteria,Class,6,6,True
BAC_C::Negativicutes,Negativicutes,Bacteria,Class,45,37,True
BAC_C::Nitrospiria,Nitrospiria,Bacteria,Class,15,7,True
BAC_C::OC31,OC31,Bacteria,Class,0,0,False
BAC_C::OLB14,OLB14,Bacteria,Class,14,10,True
BAC_C::OM190,OM190,Bacteria,Class,1,0,False
BAC_C::Oligoflexia,Oligoflexia,Bacteria,Class,16,12,True
BAC_C::Omnitrophia,Omnitrophia,Bacteria,Class,11,5,True
BAC_C::PAUC34f,PAUC34f,Bacteria,Class,0,0,False
BAC_C::Parcubacteria,Parcubacteria,Bacteria,Class,8,6,True
BAC_C::Phycisphaerae,Phycisphaerae,Bacteria,Class,24,16,True
BAC_C::Pla3_lineage,Pla3_lineage,Bacteria,Class,6,5,True
BAC_C::Pla4_lineage,Pla4_lineage,Bacteria,Class,0,0,False
BAC_C::Planctomycetes,Planctomycetes,Bacteria,Class,81,62,True
BAC_C::Polyangia,Polyangia,Bacteria,Class,15,8,True
BAC_C::RBG-16-55-12,RBG-16-55-12,Bacteria,Class,8,5,True
BAC_C::Rhodothermia,Rhodothermia,Bacteria,Class,0,0,False
BAC_C::Rs-M47,Rs-M47,Bacteria,Class,0,0,False
BAC_C::Rubrobacteria,Rubrobacteria,Bacteria,Class,1,0,False
BAC_C::SGST604,SGST604,Bacteria,Class,0,0,False
BAC_C::SHA-26,SHA-26,Bacteria,Class,0,0,False
BAC_C::SJA-28,SJA-28,Bacteria,Class,70,53,True
BAC_C::Saccharimonadia,Saccharimonadia,Bacteria,Class,43,32,True
BAC_C::Sericytochromatia,Sericytochromatia,Bacteria,Class,0,0,False
BAC_C::Spirochaetia,Spirochaetia,Bacteria,Class,128,101,True
