Model,target,threshold
RandomForest,warning_acid_base_balance,0.34
RandomForest,warning_buffer_capacity,0.15000000000000002
RandomForest,warning_acid_accumulation,0.01
RandomForest,warning_ammonia_toxicity,0.53
RandomForest,warning_biogas_quality,0.060000000000000005
KNN,warning_acid_base_balance,0.09999999999999999
KNN,warning_buffer_capacity,0.09999999999999999
KNN,warning_acid_accumulation,0.78
KNN,warning_ammonia_toxicity,0.56
KNN,warning_biogas_quality,0.89
SVM,warning_acid_base_balance,0.15000000000000002
SVM,warning_buffer_capacity,0.06999999999999999
SVM,warning_acid_accumulation,0.5
SVM,warning_ammonia_toxicity,0.25
SVM,warning_biogas_quality,0.5
NNET,warning_acid_base_balance,0.03
NNET,warning_buffer_capacity,0.04
NNET,warning_acid_accumulation,0.8300000000000001
NNET,warning_ammonia_toxicity,0.89
NNET,warning_biogas_quality,0.93
XGBoost,warning_acid_base_balance,0.24000000000000002
XGBoost,warning_buffer_capacity,0.05
XGBoost,warning_acid_accumulation,0.8400000000000001
XGBoost,warning_ammonia_toxicity,0.29000000000000004
XGBoost,warning_biogas_quality,0.18000000000000002
GLMNET,warning_acid_base_balance,0.35000000000000003
GLMNET,warning_buffer_capacity,0.6900000000000001
GLMNET,warning_acid_accumulation,0.9400000000000001
GLMNET,warning_ammonia_toxicity,0.5800000000000001
GLMNET,warning_biogas_quality,0.99
