file,sheet,data_rows,columns,leading_columns
Dat_BAC.xlsx,OTUs,2925,148,Feature ID|Domain|Phylum|Class|Order|Family|Genus|Species
Dat_BAC.xlsx,P_read,60,141,Phylum|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,P(%),60,141,Phylum|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,P_rank(%),30,141,Phylum|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,C_read,150,141,Class|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,C(%),150,141,Class|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,C_rank(%),59,141,Class|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,O_read,323,141,Order|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,O(%),323,141,Order|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,O_rank(%),98,141,Order|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,F_read,542,141,Family|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,F(%),542,141,Family|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,F_rank(%),137,141,Family|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,G_read,938,141,Genus|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,G(%),938,141,Genus|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,G_rank(%),179,141,Genus|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,S_read,351,141,Species|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,S(%),351,141,Species|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_BAC.xlsx,S_rank(%),34,141,Species|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
Dat_ARC.xlsx,OTUs,111,146,Feature ID|Domain|Phylum|Class|Order|Family|Genus|Species
Dat_ARC.xlsx,P_read,15,139,Phylum|1-1-BSSG|1-10-DGDC|1-11-DGYSa|1-11b-DGYSb|1-12-USOS|1-13-USYY|1-14-USYJ
