SampleID,Season,substrate_type,HRT_d,T_C,Q_total_Tpy,substrate_avg_pH,substrate_avg_ALK,substrate_avg_VS,substrate_avg_COD,substrate_avg_sCOD,substrate_avg_TC,substrate_avg_Protein,substrate_avg_Lipid,substrate_avg_TVFAs,substrate_avg_HAc,substrate_avg_HPro,BAC_F::009E01-B-SD-P15,BAC_F::Acholeplasmataceae,BAC_F::Aminicenantales,BAC_F::Anaerolineaceae,BAC_F::Anaerovoracaceae,BAC_F::Atopobiaceae,BAC_F::Bacteroidales_UCG-001,BAC_F::Bacteroidetes_vadinHA17,BAC_F::Brachyspirales_Incertae_Sedis,BAC_F::Caldatribacteriaceae,BAC_F::Caldicoprobacteraceae,BAC_F::Chitinophagaceae,BAC_F::Christensenellaceae,BAC_F::Cloacimonadaceae,BAC_F::Comamonadaceae,BAC_F::Competibacteraceae,BAC_F::Coprothermobacteraceae,BAC_F::D8A-2,BAC_F::DTU014,BAC_F::Desulfotomaculales,BAC_F::Dethiobacteraceae,BAC_F::Dysgonomonadaceae,BAC_F::Fermentibacteraceae,BAC_F::Gracilibacteraceae,BAC_F::Hungateiclostridiaceae,BAC_F::Incertae_Sedis,BAC_F::Intrasporangiaceae,BAC_F::Kosmotogaceae,BAC_F::LD1-PA32,BAC_F::Lachnospiraceae,BAC_F::Lactobacillaceae,BAC_F::Lentimicrobiaceae,BAC_F::MBA03,BAC_F::Marinilabiliaceae,BAC_F::Methylophilaceae,BAC_F::Paludibacteraceae,BAC_F::Pedosphaeraceae,BAC_F::Peptostreptococcales-Tissierellales,BAC_F::Petrotogaceae,BAC_F::Prevotellaceae,BAC_F::Prolixibacteraceae,BAC_F::Rhodanobacteraceae,BAC_F::Rhodobacteraceae,BAC_F::Rhodocyclaceae,BAC_F::Rikenellaceae,BAC_F::Ruminococcaceae,BAC_F::SBR1031,BAC_F::SC-I-84,BAC_F::SJA-15,BAC_F::SJA-28,BAC_F::ST-12K33,BAC_F::Saprospiraceae,BAC_F::Sedimentibacteraceae,BAC_F::Smithellaceae,BAC_F::Spirochaetaceae,BAC_F::Synergistaceae,BAC_F::Syntrophomonadaceae,BAC_F::Syntrophorhabdaceae,BAC_F::Thermacetogeniaceae,BAC_F::UCG-010,BAC_F::W27,BAC_F::Williamwhitmaniaceae,BAC_F::Xanthomonadaceae,BAC_F::unidentified,ARC_F::Bathyarchaeia,ARC_F::Methanofastidiosaceae,ARC_F::Methanomassiliicoccaceae,ARC_F::Methanomethylophilaceae,ARC_F::Methanomicrobiaceae,ARC_F::Methanomicrobiales,ARC_F::Methanoregulaceae,ARC_F::Methanosaetaceae,ARC_F::Methanosarcinaceae,ARC_F::Methanospirillaceae,ARC_F::SCGC_AAA011-D5,ARC_F::unidentified
1-1,Summer,FW,36.3,38.0,40179.0,4.38,1.642,24.5,346.61,75.4,73.13,69.657,39.25,7.67,4.36,0.3,0.0,1.4955097878218009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1991351604726255,0.0,1.1896550876264966,1.7308890528702479,0.0,0.0,2.254853121728446,0.0,0.0,0.0,0.0,1.0706136786706202,1.0867015143721503,1.1357296166268105,1.0212290813074103,1.0030551072763867,0.0,0.0,0.0,1.8467102896784322,0.0,0.0,0.0,0.0,0.0,0.0,1.676744325062601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1061054450214483,1.0148500741602358,1.0057122301747259,0.0,0.0,0.0,1.7091990701991828,0.0,0.0,1.373002459294201,0.0,0.0,1.0711188479026816,0.0,3.105380487137792,0.0,0.0,0.0,1.223272681707001,0.0,0.0,1.2607731928085086
2-1,Fall,FW,36.3,38.0,40179.0,4.48,0.0,28.8,58.82,81.8,57.9,47.374,33.75,4.63,3.96,0.32,0.0,1.2561522876430984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0629315017207148,0.0,0.0,1.047917922660006,0.0,1.3951483842113943,0.0,0.0,1.086141851670047,1.051532178762456,0.0,1.1959497262823413,1.709282482184229,0.0,0.0,2.294722261112847,0.0,0.0,0.0,0.0,0.0,1.2098274131202404,0.0,0.0,1.006809667022721,0.0,0.0,0.0,1.7924896359028966,0.0,0.0,0.0,0.0,0.0,0.0,1.6974398165097038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0705844904161055,0.0,1.0713408204465404,0.0,0.0,0.0,1.515505239374161,0.0,0.0,1.3190047668728038,0.0,0.0,1.1488568693843455,0.0,3.033316908021449,0.0,0.0,0.0,1.623909430230264,0.0,0.0,1.5631754890664304
3-1,Winter,FW,36.3,38.0,40179.0,4.86,0.91,17.7,47.78,10.6,30.16,12.47,5.75,0.21,0.2,0.0,0.0,1.5769737371940622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0621112273562374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.222410171842351,0.0,0.0,1.6040351378882962,0.0,0.0,2.1469849897520867,0.0,0.0,0.0,0.0,1.0538020268189519,0.0,1.2029159623517307,1.2256294218199115,1.2379135705176703,0.0,0.0,0.0,1.7013132904901338,0.0,0.0,0.0,0.0,0.0,0.0,1.637316253739068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1233930631465596,0.0,1.1405766954041066,0.0,0.0,0.0,1.714610440025679,0.0,0.0,1.3253677400252861,0.0,0.0,0.0,0.0,1.7037105993260975,0.0,0.0,0.0,1.0229768703535502,0.0,0.0,3.082256480931798
4-1,Spring,FW,36.3,38.0,40179.0,4.86,1.21,174.13,60.31,13.4,84.87,10.57,4.45,0.63,0.59,0.0,0.0,1.267246409273666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2534531122663641,0.0,0.0,0.0,0.0,1.613570406833788,0.0,0.0,1.1372489369289747,0.0,0.0,1.2204032002652194,1.887895900055654,0.0,0.0,2.4720225224707955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5947301323418963,0.0,0.0,0.0,0.0,0.0,0.0,1.4669140661904063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0167148073541858,0.0,0.0,0.0,0.0,1.2795286860171822,0.0,0.0,1.2100399039532872,0.0,0.0,0.0,0.0,2.744858586634931,0.0,0.0,0.0,2.539500101517592,0.0,0.0,0.0
1-2,Summer,1SC/2SC/Fww,28.0,36.5,124985.0,4.241433359819136,,31.43159411129336,44.958518462215466,19.146981637796536,7.811241909029084,14.72916592391087,3.279976797215666,0.9762711525383044,0.5788549025883105,0.169068128175381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3695144511778459,0.0,0.0,0.0,0.0,1.6532684469188736,1.7964305678211439,1.059463167833466,0.0,0.0,0.0,0.0,1.2755224568147012,0.0,1.419240571439125,0.0,0.0,1.8764864591645685,0.0,0.0,1.4209223383084595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136503817922338,0.0,1.8821462405229283,0.0,0.0,0.0,1.1078809998159482,0.0,0.0,0.0,0.0,0.0,1.7103542240787644,0.0,1.477547154385915,1.1358470688368412,0.0,1.2990026424561782,1.051268715399019,0.0,0.0,0.0,1.0061652965522576,1.0889856101770612,0.0,1.347225993667784,0.0,1.7551637524771577,0.0,0.0,1.0177069148320657,0.0,2.4944768248591593,2.516416647435128,1.0894729883818004,1.5278779152542579,1.0293778612795546,1.0894729883818004
2-2,Fall,MSC/Fww,28.0,36.5,124985.0,4.607741319921299,0.1293477417290074,27.14502356282754,58.79871776613194,19.46071368564228,6.230252830339641,11.85827776933232,4.220537264471736,3.516716085930312,2.761460095211425,0.6052559907188862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3479172588360755,0.0,0.0,0.0,0.0,1.5246364562441337,1.9407116503897053,0.0,0.0,0.0,0.0,0.0,1.1354537394025566,0.0,1.2500103561264782,0.0,0.0,1.8140850907318746,0.0,0.0,1.4162777798668231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0068929836986296,0.0,1.1800655778729991,0.0,0.0,1.8665197457415326,0.0,0.0,0.0,1.0075264492423264,0.0,0.0,0.0,0.0,0.0,1.4507687436764187,0.0,1.5858662425980572,1.0525197970502966,0.0,1.2092906631442495,1.0661316204472606,0.0,0.0,0.0,0.0,0.0,1.190942908093501,1.3832415958698807,0.0,1.8869560724836052,0.0,0.0,0.0,0.0,2.4615621857489685,2.477169913446881,1.3494767662611096,1.5713980242442958,1.1564773314196777,0.0
3-2,Winter,MSC/Fww,28.0,36.5,124985.0,4.167396795169511,,38.12026059127095,78.12632851942233,12.60670000400048,13.928364363723649,17.767561627395292,4.590455094611354,1.163222146657599,1.0331399767972158,0.1300821698603832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3530197742323298,0.0,0.0,0.0,0.0,1.7192467032844811,2.139517776335239,1.09583222845166,0.0,0.0,0.0,0.0,1.1590250320326425,0.0,1.4452082310689185,0.0,0.0,1.7540431696505565,0.0,0.0,1.5875639758469535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0240330513181228,0.0,0.0,0.0,0.0,1.3236161425048354,0.0,0.0,0.0,1.2121727303048482,0.0,0.0,0.0,1.0458332003963497,0.0,1.3287967352201897,0.0,1.5376966873444957,1.1418299360352142,0.0,1.29951598693988,0.0,0.0,0.0,0.0,1.070477916104104,0.0,1.0183595197274304,1.3689968015391936,0.0,1.8623078406158877,1.0998459398063138,0.0,0.0,0.0,2.432922607533522,2.480101437215943,1.198242113893731,1.7881794086557676,0.0,0.0
4-2,Spring,MSC/Fww,28.0,36.5,124985.0,4.144186949990515,,31.776919790374848,66.11658767052046,11.306131135736289,19.83080129615553,18.51553410409249,3.1504740568868264,1.8629756370764488,1.178086250350042,0.1924952594311317,0.0,0.0,0.0,0.0,0.0,1.015643451337607,0.0,1.5132563072520753,0.0,0.0,0.0,0.0,1.860308003535395,1.9514604000350435,1.1932318681560603,0.0,0.0,0.0,0.0,0.0,0.0,1.4711642166808472,0.0,0.0,1.351148508360507,0.0,0.0,1.6489615756383558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0299316784508885,0.0,0.0,1.23222296386512,0.0,1.4363367434170622,0.0,0.0,0.0,1.0645321551624105,0.0,0.0,0.0,0.0,0.0,1.4092689689956535,0.0,1.5034554859339726,1.0751444586297156,0.0,1.286540505321154,1.118025442298217,0.0,0.0,0.0,0.0,1.2663258155829973,1.2419135367476886,1.4301052006354151,0.0,1.6935162700833237,0.0,0.0,0.0,0.0,2.4693652817391367,2.6672129930876083,0.0,1.3599006013770212,0.0,0.0
1-3,Summer,MSC,25.0,35.0,326166.0,5.71,,29.12,53.29,0.3,8.68,12.287,4.43,0.75,0.52,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5046990189103526,0.0,0.0,0.0,0.0,1.3935877054313912,2.0309116247490624,1.3647982071590696,0.0,0.0,0.0,1.3302713376795898,0.0,0.0,0.0,0.0,0.0,1.0793258706823783,0.0,0.0,1.1684670345669317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3779526146811893,1.1044031905455576,0.0,0.0,1.3781972144271641,0.0,0.0,0.0,0.0,0.0,1.4334705778513788,1.1301041704224888,1.0853840648273574,1.239556564872801,1.1996947267575802,1.5850313279722816,1.10010117037348,1.0551032479300497,0.0,0.0,0.0,1.18496712253837,1.0736814725326986,1.4742892952083841,0.0,2.1512933433550487,0.0,0.0,1.173553846877538,0.0,1.6991870036808696,2.425492355838425,0.0,1.7011412185301678,0.0,2.1967932331844797
2-3,Fall,MSC,25.0,35.0,326166.0,5.79,0.1198,30.37,55.53,1.4,9.11,12.054,4.6,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5255192026678182,0.0,0.0,0.0,0.0,1.4953358190473653,2.2408402099083244,1.3766938116093683,0.0,0.0,0.0,1.4422849365628234,0.0,0.0,0.0,0.0,0.0,1.0525633329256041,0.0,0.0,1.266906676371811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.043527618692687,0.0,1.0090558822455826,0.0,1.3140806919733925,0.0,0.0,0.0,1.5323102350063051,0.0,0.0,0.0,0.0,0.0,1.2937496984015087,1.2113518904469733,1.0458085669856256,1.1994744573179035,1.151461472491854,1.5040733308779597,0.0,1.090592388045195,0.0,0.0,0.0,1.218122184581539,1.29454954403757,1.5458623544015087,0.0,2.2929601557693813,1.005223762988397,0.0,0.0,0.0,2.159838834443775,2.4314303200163256,0.0,1.9360681597780645,0.0,0.0
