,missing,missing_percent
Season,0,0.0
substrate_type,1,0.7246376811594203
HRT_d,0,0.0
T_C,0,0.0
Q_total_Tpy,1,0.7246376811594203
substrate_avg_pH,1,0.7246376811594203
substrate_avg_ALK,33,23.91304347826087
substrate_avg_VS,2,1.4492753623188406
substrate_avg_COD,4,2.898550724637681
substrate_avg_sCOD,4,2.898550724637681
substrate_avg_TC,4,2.898550724637681
substrate_avg_Protein,4,2.898550724637681
substrate_avg_Lipid,4,2.898550724637681
substrate_avg_TVFAs,4,2.898550724637681
substrate_avg_HAc,4,2.898550724637681
substrate_avg_HPro,4,2.898550724637681
BAC_F::009E01-B-SD-P15,0,0.0
BAC_F::0319-6G20,0,0.0
BAC_F::053A03-B-DI-P58,0,0.0
BAC_F::1-20,0,0.0
BAC_F::1013-28-CG33,0,0.0
BAC_F::11-24,0,0.0
BAC_F::113B434,0,0.0
BAC_F::32-520,0,0.0
BAC_F::37-13,0,0.0
BAC_F::4572-13,0,0.0
BAC_F::67-14,0,0.0
BAC_F::A0839,0,0.0
BAC_F::A21b,0,0.0
BAC_F::A4b,0,0.0
BAC_F::AB1,0,0.0
BAC_F::ADurb.Bin180,0,0.0
BAC_F::ADurb.Bin408,0,0.0
BAC_F::AKIW659,0,0.0
BAC_F::AKYG1722,0,0.0
BAC_F::AKYH767,0,0.0
BAC_F::Abditibacteriaceae,0,0.0
BAC_F::Absconditabacteriales_(SR1),0,0.0
BAC_F::Acetobacteraceae,0,0.0
BAC_F::Acetobacterales,0,0.0
BAC_F::Acetothermiia,0,0.0
BAC_F::Acholeplasmataceae,0,0.0
BAC_F::Acidaminobacteraceae,0,0.0
BAC_F::Acidaminococcaceae,0,0.0
BAC_F::Acidobacteriae,0,0.0
BAC_F::Actinomarinales,0,0.0
BAC_F::Actinomycetaceae,0,0.0
BAC_F::Aerococcaceae,0,0.0
BAC_F::Aeromonadaceae,0,0.0
BAC_F::Alcaligenaceae,0,0.0
BAC_F::Alcanivoracaceae,0,0.0
BAC_F::Alicyclobacillaceae,0,0.0
BAC_F::Alteromonadaceae,0,0.0
BAC_F::Amb-16S-1323,0,0.0
BAC_F::Aminicenantales,0,0.0
BAC_F::Anaerofustaceae,0,0.0
BAC_F::Anaerolineaceae,0,0.0
BAC_F::Anaeromyxobacteraceae,0,0.0
BAC_F::Anaerovoracaceae,0,0.0
BAC_F::Aquaspirillaceae,0,0.0
BAC_F::Arcobacteraceae,0,0.0
BAC_F::Ardenticatenaceae,0,0.0
BAC_F::Arenicellaceae,0,0.0
BAC_F::Atopobiaceae,0,0.0
BAC_F::Azospirillaceae,0,0.0
BAC_F::Azospirillales_Incertae_Sedis,0,0.0
BAC_F::B1-7BS,0,0.0
BAC_F::B122,0,0.0
BAC_F::B5-096,0,0.0
BAC_F::B55-F-B-G02,0,0.0
BAC_F::BD7-11,0,0.0
BAC_F::BIrii41,0,0.0
BAC_F::BRH-c20a,0,0.0
BAC_F::BSV26,0,0.0
BAC_F::Babeliaceae,0,0.0
BAC_F::Babeliales,0,0.0
BAC_F::Bacillaceae,0,0.0
BAC_F::Bacteriovoracaceae,0,0.0
BAC_F::Bacteroidaceae,0,0.0
BAC_F::Bacteroidales_UCG-001,0,0.0
BAC_F::Bacteroidetes_BD2-2,0,0.0
BAC_F::Bacteroidetes_VC2.1_Bac22,0,0.0
BAC_F::Bacteroidetes_vadinHA17,0,0.0
BAC_F::Balneolaceae,0,0.0
BAC_F::Barnesiellaceae,0,0.0
BAC_F::Bdellovibrionaceae,0,0.0
BAC_F::Beijerinckiaceae,0,0.0
BAC_F::Berkelbacteria,0,0.0
BAC_F::Bifidobacteriaceae,0,0.0
BAC_F::Blastocatellaceae,0,0.0
BAC_F::Blfdi19,0,0.0
BAC_F::Bogoriellaceae,0,0.0
BAC_F::Brachyspirales_Incertae_Sedis,0,0.0
BAC_F::Bradymonadales,0,0.0
BAC_F::Brevinemataceae,0,0.0
BAC_F::Bryobacteraceae,0,0.0
BAC_F::Burkholderiaceae,0,0.0
BAC_F::Butyricicoccaceae,0,0.0
BAC_F::C10-SB1A,0,0.0
BAC_F::CCD24,0,0.0
BAC_F::CCM11a,0,0.0
BAC_F::CCM19a,0,0.0
BAC_F::CK-2C2-2,0,0.0
BAC_F::CMW-169,0,0.0
BAC_F::CPR2,0,0.0
BAC_F::Caedibacteraceae,0,0.0
BAC_F::Caldalkalibacillaceae,0,0.0
BAC_F::Caldatribacteriaceae,0,0.0
