SampleID,column,original,parsed
1-2,T_C,35~38,36.5
2-2,T_C,35~38,36.5
3-2,T_C,35~38,36.5
4-2,T_C,35~38,36.5
1-12,T_C,35~38,36.5
2-12,T_C,35~38,36.5
3-12,T_C,35~38,36.5
4-12,T_C,35~38,36.5
1-13,T_C,36~43,39.5
2-13,T_C,36~43,39.5
3-13,T_C,36~43,39.5
4-13,T_C,36~43,39.5
1-14,T_C,35~40,37.5
2-14,T_C,35~40,37.5
3-14,T_C,35~40,37.5
4-14,T_C,35~40,37.5
1-19,T_C,37~39,38.0
2-19,T_C,37~39,38.0
3-19,T_C,37~39,38.0
1-21,T_C,30~38,34.0
2-21,T_C,30~38,34.0
3-21,T_C,30~38,34.0
4-21,T_C,30~38,34.0
1-22,T_C,25-37,31.0
2-22,T_C,25-37,31.0
3-22,T_C,25-37,31.0
4-22,T_C,25-37,31.0
1-24,T_C,35~37,36.0
2-24,T_C,35~37,36.0
3-24,T_C,35~37,36.0
1-25,T_C,35~37,36.0
2-25,T_C,35~37,36.0
3-25,T_C,35~37,36.0
4-25,T_C,35~37,36.0
1-26,T_C,35~37,36.0
2-26,T_C,35~37,36.0
3-26,T_C,35~37,36.0
4-26,T_C,35~37,36.0
1-30,T_C,35±2,35.0
2-30,T_C,35±2,35.0
3-30,T_C,35±2,35.0
4-30,T_C,35±2,35.0
2-32',T_C,25~34,29.5
3-32',T_C,25~34,29.5
4-32',T_C,25~34,29.5
