fold,block,feature,training_samples_above_1_percent
1,BAC_F,BAC_F::009E01-B-SD-P15,6
1,BAC_F,BAC_F::Acholeplasmataceae,26
1,BAC_F,BAC_F::Aminicenantales,5
1,BAC_F,BAC_F::Anaerolineaceae,6
1,BAC_F,BAC_F::Anaerovoracaceae,19
1,BAC_F,BAC_F::Atopobiaceae,7
1,BAC_F,BAC_F::Babeliales,5
1,BAC_F,BAC_F::Bacteroidales_UCG-001,7
1,BAC_F,BAC_F::Bacteroidetes_vadinHA17,47
1,BAC_F,BAC_F::Brachyspirales_Incertae_Sedis,6
1,BAC_F,BAC_F::Caldatribacteriaceae,7
1,BAC_F,BAC_F::Caldicoprobacteraceae,23
1,BAC_F,BAC_F::Christensenellaceae,64
1,BAC_F,BAC_F::Cloacimonadaceae,55
1,BAC_F,BAC_F::Comamonadaceae,49
1,BAC_F,BAC_F::Competibacteraceae,6
1,BAC_F,BAC_F::Coprothermobacteraceae,5
1,BAC_F,BAC_F::D8A-2,10
1,BAC_F,BAC_F::DTU014,54
1,BAC_F,BAC_F::Desulfotomaculales,7
1,BAC_F,BAC_F::Dethiobacteraceae,15
1,BAC_F,BAC_F::Dysgonomonadaceae,57
1,BAC_F,BAC_F::Gracilibacteraceae,9
1,BAC_F,BAC_F::Hungateiclostridiaceae,72
1,BAC_F,BAC_F::Intrasporangiaceae,11
1,BAC_F,BAC_F::JS1,5
1,BAC_F,BAC_F::Kosmotogaceae,18
1,BAC_F,BAC_F::LD1-PA32,6
1,BAC_F,BAC_F::Lachnospiraceae,20
1,BAC_F,BAC_F::Lactobacillaceae,6
1,BAC_F,BAC_F::Lentimicrobiaceae,25
1,BAC_F,BAC_F::MBA03,15
1,BAC_F,BAC_F::Marinilabiliaceae,9
1,BAC_F,BAC_F::Paludibacteraceae,31
1,BAC_F,BAC_F::Pedosphaeraceae,8
1,BAC_F,BAC_F::Peptostreptococcales-Tissierellales,36
1,BAC_F,BAC_F::Petrotogaceae,24
1,BAC_F,BAC_F::Prevotellaceae,6
1,BAC_F,BAC_F::Prolixibacteraceae,40
1,BAC_F,BAC_F::Rhodobacteraceae,6
1,BAC_F,BAC_F::Rhodocyclaceae,31
1,BAC_F,BAC_F::Rikenellaceae,51
1,BAC_F,BAC_F::Ruminococcaceae,11
1,BAC_F,BAC_F::SBR1031,14
1,BAC_F,BAC_F::SC-I-84,6
1,BAC_F,BAC_F::ST-12K33,39
1,BAC_F,BAC_F::Saprospiraceae,15
1,BAC_F,BAC_F::Sedimentibacteraceae,55
1,BAC_F,BAC_F::Smithellaceae,35
1,BAC_F,BAC_F::Spirochaetaceae,49
1,BAC_F,BAC_F::Synergistaceae,65
1,BAC_F,BAC_F::Syntrophomonadaceae,57
1,BAC_F,BAC_F::Syntrophorhabdaceae,21
1,BAC_F,BAC_F::Thermacetogeniaceae,9
1,BAC_F,BAC_F::Thermoanaerobaculaceae,5
1,BAC_F,BAC_F::UCG-010,7
1,BAC_F,BAC_F::W27,26
1,BAC_F,BAC_F::WCHB1-02,5
1,BAC_F,BAC_F::Williamwhitmaniaceae,23
1,BAC_F,BAC_F::Xanthomonadaceae,12
1,BAC_F,BAC_F::unidentified,76
1,ARC_F,ARC_F::Bathyarchaeia,6
1,ARC_F,ARC_F::Methanofastidiosaceae,59
1,ARC_F,ARC_F::Methanomassiliicoccaceae,54
1,ARC_F,ARC_F::Methanomethylophilaceae,24
1,ARC_F,ARC_F::Methanomicrobiaceae,68
1,ARC_F,ARC_F::Methanomicrobiales,8
1,ARC_F,ARC_F::Methanoregulaceae,54
1,ARC_F,ARC_F::Methanosaetaceae,76
1,ARC_F,ARC_F::Methanosarcinaceae,36
1,ARC_F,ARC_F::Methanospirillaceae,67
1,ARC_F,ARC_F::SCGC_AAA011-D5,10
1,ARC_F,ARC_F::unidentified,55
2,BAC_F,BAC_F::009E01-B-SD-P15,10
2,BAC_F,BAC_F::Acholeplasmataceae,24
2,BAC_F,BAC_F::Aminicenantales,7
2,BAC_F,BAC_F::Anaerolineaceae,6
2,BAC_F,BAC_F::Anaerovoracaceae,18
2,BAC_F,BAC_F::Babeliales,5
2,BAC_F,BAC_F::Bacteroidales_UCG-001,11
2,BAC_F,BAC_F::Bacteroidetes_vadinHA17,53
2,BAC_F,BAC_F::Brachyspirales_Incertae_Sedis,5
2,BAC_F,BAC_F::Caldicoprobacteraceae,28
2,BAC_F,BAC_F::Chitinophagaceae,6
2,BAC_F,BAC_F::Christensenellaceae,72
2,BAC_F,BAC_F::Cloacimonadaceae,62
2,BAC_F,BAC_F::Comamonadaceae,54
2,BAC_F,BAC_F::Competibacteraceae,7
2,BAC_F,BAC_F::DTU014,60
2,BAC_F,BAC_F::Desulfotomaculales,8
2,BAC_F,BAC_F::Dethiobacteraceae,16
2,BAC_F,BAC_F::Dysgonomonadaceae,59
2,BAC_F,BAC_F::Fermentibacteraceae,7
2,BAC_F,BAC_F::Gracilibacteraceae,11
2,BAC_F,BAC_F::Hungateiclostridiaceae,76
2,BAC_F,BAC_F::Incertae_Sedis,9
2,BAC_F,BAC_F::Intrasporangiaceae,11
2,BAC_F,BAC_F::JS1,5
2,BAC_F,BAC_F::Kosmotogaceae,20
2,BAC_F,BAC_F::LD1-PA32,6
2,BAC_F,BAC_F::Lachnospiraceae,17
2,BAC_F,BAC_F::Lentimicrobiaceae,24
2,BAC_F,BAC_F::MBA03,15
2,BAC_F,BAC_F::Marinilabiliaceae,8
2,BAC_F,BAC_F::Methylophilaceae,8
2,BAC_F,BAC_F::Paludibacteraceae,38
2,BAC_F,BAC_F::Pedosphaeraceae,9
2,BAC_F,BAC_F::Peptostreptococcales-Tissierellales,36
2,BAC_F,BAC_F::Petrotogaceae,30
2,BAC_F,BAC_F::Prevotellaceae,6
2,BAC_F,BAC_F::Prolixibacteraceae,44
2,BAC_F,BAC_F::Rhodanobacteraceae,7
2,BAC_F,BAC_F::Rhodobacteraceae,7
2,BAC_F,BAC_F::Rhodocyclaceae,40
2,BAC_F,BAC_F::Rikenellaceae,49
2,BAC_F,BAC_F::Ruminococcaceae,11
2,BAC_F,BAC_F::SBR1031,21
2,BAC_F,BAC_F::SC-I-84,5
2,BAC_F,BAC_F::SJA-15,5
2,BAC_F,BAC_F::SJA-28,5
2,BAC_F,BAC_F::ST-12K33,46
2,BAC_F,BAC_F::Saprospiraceae,22
2,BAC_F,BAC_F::Sedimentibacteraceae,66
2,BAC_F,BAC_F::Smithellaceae,44
2,BAC_F,BAC_F::Spirochaetaceae,55
2,BAC_F,BAC_F::Synergistaceae,71
2,BAC_F,BAC_F::Syntrophomonadaceae,63
2,BAC_F,BAC_F::Syntrophorhabdaceae,23
2,BAC_F,BAC_F::Thermacetogeniaceae,13
2,BAC_F,BAC_F::UCG-010,8
2,BAC_F,BAC_F::W27,24
2,BAC_F,BAC_F::WCHB1-02,5
2,BAC_F,BAC_F::Williamwhitmaniaceae,33
2,BAC_F,BAC_F::Xanthomonadaceae,10
2,BAC_F,BAC_F::unidentified,84
2,ARC_F,ARC_F::Bathyarchaeia,6
2,ARC_F,ARC_F::Methanofastidiosaceae,66
