Model,FPR,TPR
RandomForest,0.0,0.0
RandomForest,0.0,0.07692307692307693
RandomForest,0.0,0.15384615384615385
RandomForest,0.022727272727272728,0.15384615384615385
RandomForest,0.022727272727272728,0.3076923076923077
RandomForest,0.03787878787878788,0.3076923076923077
RandomForest,0.03787878787878788,0.38461538461538464
RandomForest,0.05303030303030303,0.38461538461538464
RandomForest,0.05303030303030303,0.46153846153846156
RandomForest,0.06060606060606061,0.46153846153846156
RandomForest,0.06060606060606061,0.5384615384615384
RandomForest,0.09848484848484848,0.5384615384615384
RandomForest,0.09848484848484848,0.6923076923076923
RandomForest,0.12878787878787878,0.6923076923076923
RandomForest,0.12878787878787878,0.7692307692307693
RandomForest,0.17424242424242425,0.7692307692307693
RandomForest,0.17424242424242425,0.8461538461538461
RandomForest,0.3787878787878788,0.8461538461538461
RandomForest,0.3787878787878788,0.9230769230769231
RandomForest,0.3939393939393939,0.9230769230769231
RandomForest,0.3939393939393939,1.0
RandomForest,0.8712121212121212,1.0
RandomForest,0.9015151515151515,1.0
RandomForest,0.9393939393939394,1.0
RandomForest,1.0,1.0
KNN,0.0,0.0
KNN,0.007575757575757576,0.23076923076923078
KNN,0.022727272727272728,0.23076923076923078
KNN,0.022727272727272728,0.3076923076923077
KNN,0.030303030303030304,0.38461538461538464
KNN,0.05303030303030303,0.46153846153846156
KNN,0.06818181818181818,0.46153846153846156
KNN,0.09848484848484848,0.46153846153846156
KNN,0.11363636363636363,0.46153846153846156
KNN,0.13636363636363635,0.46153846153846156
KNN,0.14393939393939395,0.5384615384615384
KNN,0.17424242424242425,0.5384615384615384
KNN,0.18181818181818182,0.6923076923076923
KNN,0.19696969696969696,0.6923076923076923
KNN,1.0,1.0
SVM,0.0,0.0
SVM,0.0,0.07692307692307693
SVM,0.0,0.23076923076923078
SVM,0.007575757575757576,0.23076923076923078
SVM,0.007575757575757576,0.3076923076923077
SVM,0.03787878787878788,0.3076923076923077
SVM,0.03787878787878788,0.6923076923076923
SVM,0.14393939393939395,0.6923076923076923
SVM,0.14393939393939395,0.7692307692307693
SVM,0.44696969696969696,0.7692307692307693
SVM,0.44696969696969696,0.8461538461538461
SVM,0.6439393939393939,0.8461538461538461
SVM,0.6439393939393939,0.9230769230769231
SVM,0.9848484848484849,0.9230769230769231
SVM,0.9848484848484849,1.0
SVM,1.0,1.0
NNET,0.0,0.0
NNET,0.0,0.07692307692307693
NNET,0.0,0.23076923076923078
NNET,0.015151515151515152,0.23076923076923078
NNET,0.015151515151515152,0.3076923076923077
NNET,0.030303030303030304,0.3076923076923077
NNET,0.030303030303030304,0.46153846153846156
NNET,0.045454545454545456,0.46153846153846156
NNET,0.045454545454545456,0.5384615384615384
NNET,0.09848484848484848,0.5384615384615384
NNET,0.09848484848484848,0.6153846153846154
NNET,0.1590909090909091,0.6153846153846154
NNET,0.1590909090909091,0.6923076923076923
NNET,0.17424242424242425,0.6923076923076923
NNET,0.17424242424242425,0.7692307692307693
NNET,0.29545454545454547,0.7692307692307693
NNET,0.29545454545454547,0.8461538461538461
NNET,0.4015151515151515,0.8461538461538461
NNET,0.4015151515151515,0.9230769230769231
NNET,0.6439393939393939,0.9230769230769231
NNET,0.6439393939393939,1.0
NNET,1.0,1.0
XGBoost,0.0,0.0
