SampleID,Site,SiteGroup,Season,split,cv_validation_fold
1-1,BSS,BSS,Summer,train,2
2-1,BSS,BSS,Fall,train,2
3-1,BSS,BSS,Winter,train,2
4-1,BSS,BSS,Spring,train,2
1-2,BSN,BSN,Summer,train,3
2-2,BSN,BSN,Fall,train,3
3-2,BSN,BSN,Winter,train,3
4-2,BSN,BSN,Spring,train,3
1-3,BSI,BSI,Summer,train,4
2-3,BSI,BSI,Fall,train,4
3-3,BSI,BSI,Winter,train,4
4-3,BSI,BSI,Spring,train,4
1-3b,BSIb,BSI,Summer,train,4
1-4,BSO,BSO,Summer,train,1
2-4,BSO,BSO,Fall,train,1
3-4,BSO,BSO,Winter,train,1
4-4,BSO,BSO,Spring,train,1
1-5,BSE,BSE,Summer,train,5
2-5,BSE,BSE,Fall,train,5
3-5,BSE,BSE,Winter,train,5
4-5,BSE,BSE,Spring,train,5
1-6,DGG,DGG,Summer,train,1
2-6,DGG,DGG,Fall,train,1
3-6,DGG,DGG,Winter,train,1
4-6,DGG,DGG,Spring,train,1
1-7,DGD,DGD,Summer,train,2
2-7,DGD,DGD,Fall,train,2
3-7,DGD,DGD,Winter,train,2
4-7,DGD,DGD,Spring,train,2
1-8,DGJ,DGJ,Summer,train,1
2-8,DGJ,DGJ,Fall,train,1
3-8,DGJ,DGJ,Winter,train,1
4-8,DGJ,DGJ,Spring,train,1
1-9,DGB,DGB,Summer,train,5
2-9,DGB,DGB,Fall,train,5
3-9,DGB,DGB,Winter,train,5
4-9,DGB,DGB,Spring,train,5
1-10,DGC,DGC,Summer,train,5
2-10,DGC,DGC,Fall,train,5
3-10,DGC,DGC,Winter,train,5
4-10,DGC,DGC,Spring,train,5
1-11,DGY,DGY,Summer,test,
2-11,DGY,DGY,Fall,test,
3-11,DGY,DGY,Winter,test,
4-11,DGY,DGY,Spring,test,
1-11b,DGYb,DGY,Summer,test,
1-12,USO,USO,Summer,train,3
2-12,USO,USO,Fall,train,3
3-12,USO,USO,Winter,train,3
4-12,USO,USO,Spring,train,3
1-13,USY,USY,Summer,train,3
2-13,USY,USY,Fall,train,3
3-13,USY,USY,Winter,train,3
4-13,USY,USY,Spring,train,3
1-14,USJ,USJ,Summer,train,1
2-14,USJ,USJ,Fall,train,1
3-14,USJ,USJ,Winter,train,1
4-14,USJ,USJ,Spring,train,1
1-15,GSG,GSG,Summer,train,1
2-15,GSG,GSG,Fall,train,1
3-15,GSG,GSG,Winter,train,1
4-15,GSG,GSG,Spring,train,1
1-16,GCG,GCG,Summer,train,1
2-16,GCG,GCG,Fall,train,1
3-16,GCG,GCG,Winter,train,1
4-16,GCG,GCG,Spring,train,1
1-17,MGY,MGY,Summer,train,3
2-17,MGY,MGY,Fall,train,3
3-17,MGY,MGY,Winter,train,3
4-17,MGY,MGY,Spring,train,3
1-18,ADA,ADA,Summer,train,4
2-18,ADA,ADA,Fall,train,4
3-18,ADA,ADA,Winter,train,4
4-18,ADA,ADA,Spring,train,4
1-19,ADP,ADP,Summer,train,5
2-19,ADP,ADP,Fall,train,5
3-19,ADP,ADP,Winter,train,5
1-20,YCG,YCG,Summer,train,4
2-20,YCG,YCG,Fall,train,4
3-20,YCG,YCG,Winter,train,4
1-21,YCD,YCD,Summer,test,
2-21,YCD,YCD,Fall,test,
3-21,YCD,YCD,Winter,test,
4-21,YCD,YCD,Spring,test,
1-22,UJG,UJG,Summer,test,
2-22,UJG,UJG,Fall,test,
3-22,UJG,UJG,Winter,test,
4-22,UJG,UJG,Spring,test,
1-23,CGS,CGS,Summer,train,5
2-23,CGS,CGS,Fall,train,5
3-23,CGS,CGS,Winter,train,5
4-23,CGS,CGS,Spring,train,5
1-24,GHGa,GHGa,Summer,train,3
2-24,GHGa,GHGa,Fall,train,3
3-24,GHGa,GHGa,Winter,train,3
1-25,GHGb,GHGb,Summer,train,3
2-25,GHGb,GHGb,Fall,train,3
3-25,GHGb,GHGb,Winter,train,3
4-25,GHGb,GHGb,Spring,train,3
1-26,GHH,GHH,Summer,train,2
2-26,GHH,GHH,Fall,train,2
3-26,GHH,GHH,Winter,train,2
4-26,GHH,GHH,Spring,train,2
1-27,GHJ,GHJ,Summer,train,5
2-27,GHJ,GHJ,Fall,train,5
3-27,GHJ,GHJ,Winter,train,5
4-27,GHJ,GHJ,Spring,train,5
1-28,MYS,MYS,Summer,test,
2-28,MYS,MYS,Fall,test,
3-28,MYS,MYS,Winter,test,
4-28,MYS,MYS,Spring,test,
1-29,SCH,SCH,Summer,test,
2-29,SCH,SCH,Fall,test,
3-29,SCH,SCH,Winter,test,
4-29,SCH,SCH,Spring,test,
1-30,YSD,YSD,Summer,test,
2-30,YSD,YSD,Fall,test,
3-30,YSD,YSD,Winter,test,
4-30,YSD,YSD,Spring,test,
1-31,YSY,YSY,Summer,train,4
2-31,YSY,YSY,Fall,train,4
3-31,YSY,YSY,Winter,train,4
4-31,YSY,YSY,Spring,train,4
1-32,JJN,JJN,Summer,train,4
2-32,JJN,JJN,Fall,train,4
3-32,JJN,JJN,Winter,train,4
4-32,JJN,JJN,Spring,train,4
2-32',JJY,JJY,Fall,train,2
3-32',JJY,JJY,Winter,train,2
4-32',JJY,JJY,Spring,train,2
1-33,CWM,CWM,Summer,test,
2-33,CWM,CWM,Fall,test,
3-33,CWM,CWM,Winter,test,
4-33,CWM,CWM,Spring,test,
1-34,CWS,CWS,Summer,train,2
2-34,CWS,CWS,Fall,train,2
3-34,CWS,CWS,Winter,train,2
4-34,CWS,CWS,Spring,train,2
