block,taxon,feature,samples_above_1_percent,training_samples_above_1_percent,all_samples_percent_above_1,training_percent_above_1,domain,included_in_final_matrix
BAC_F,009E01-B-SD-P15,BAC_F::009E01-B-SD-P15,15,10,10.869565217391305,9.174311926605505,Bacteria,True
BAC_F,0319-6G20,BAC_F::0319-6G20,0,0,0.0,0.0,Bacteria,False
BAC_F,053A03-B-DI-P58,BAC_F::053A03-B-DI-P58,0,0,0.0,0.0,Bacteria,False
BAC_F,1-20,BAC_F::1-20,0,0,0.0,0.0,Bacteria,False
BAC_F,1013-28-CG33,BAC_F::1013-28-CG33,0,0,0.0,0.0,Bacteria,False
BAC_F,11-24,BAC_F::11-24,0,0,0.0,0.0,Bacteria,False
BAC_F,113B434,BAC_F::113B434,0,0,0.0,0.0,Bacteria,False
BAC_F,32-520,BAC_F::32-520,0,0,0.0,0.0,Bacteria,False
BAC_F,37-13,BAC_F::37-13,0,0,0.0,0.0,Bacteria,False
BAC_F,4572-13,BAC_F::4572-13,0,0,0.0,0.0,Bacteria,False
BAC_F,67-14,BAC_F::67-14,0,0,0.0,0.0,Bacteria,False
BAC_F,A0839,BAC_F::A0839,0,0,0.0,0.0,Bacteria,False
BAC_F,A21b,BAC_F::A21b,0,0,0.0,0.0,Bacteria,False
BAC_F,A4b,BAC_F::A4b,0,0,0.0,0.0,Bacteria,False
BAC_F,AB1,BAC_F::AB1,0,0,0.0,0.0,Bacteria,False
BAC_F,ADurb.Bin180,BAC_F::ADurb.Bin180,0,0,0.0,0.0,Bacteria,False
BAC_F,ADurb.Bin408,BAC_F::ADurb.Bin408,0,0,0.0,0.0,Bacteria,False
BAC_F,AKIW659,BAC_F::AKIW659,0,0,0.0,0.0,Bacteria,False
BAC_F,AKYG1722,BAC_F::AKYG1722,0,0,0.0,0.0,Bacteria,False
BAC_F,AKYH767,BAC_F::AKYH767,3,2,2.1739130434782608,1.834862385321101,Bacteria,False
BAC_F,Abditibacteriaceae,BAC_F::Abditibacteriaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Absconditabacteriales_(SR1),BAC_F::Absconditabacteriales_(SR1),0,0,0.0,0.0,Bacteria,False
BAC_F,Acetobacteraceae,BAC_F::Acetobacteraceae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,False
BAC_F,Acetobacterales,BAC_F::Acetobacterales,0,0,0.0,0.0,Bacteria,False
BAC_F,Acetothermiia,BAC_F::Acetothermiia,8,1,5.797101449275362,0.9174311926605505,Bacteria,False
BAC_F,Acholeplasmataceae,BAC_F::Acholeplasmataceae,36,29,26.08695652173913,26.605504587155963,Bacteria,True
BAC_F,Acidaminobacteraceae,BAC_F::Acidaminobacteraceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Acidaminococcaceae,BAC_F::Acidaminococcaceae,3,2,2.1739130434782608,1.834862385321101,Bacteria,False
BAC_F,Acidobacteriae,BAC_F::Acidobacteriae,0,0,0.0,0.0,Bacteria,False
BAC_F,Actinomarinales,BAC_F::Actinomarinales,0,0,0.0,0.0,Bacteria,False
BAC_F,Actinomycetaceae,BAC_F::Actinomycetaceae,4,4,2.898550724637681,3.669724770642202,Bacteria,False
BAC_F,Aerococcaceae,BAC_F::Aerococcaceae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,False
BAC_F,Aeromonadaceae,BAC_F::Aeromonadaceae,2,1,1.4492753623188406,0.9174311926605505,Bacteria,False
BAC_F,Alcaligenaceae,BAC_F::Alcaligenaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Alcanivoracaceae,BAC_F::Alcanivoracaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Alicyclobacillaceae,BAC_F::Alicyclobacillaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Alteromonadaceae,BAC_F::Alteromonadaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Amb-16S-1323,BAC_F::Amb-16S-1323,0,0,0.0,0.0,Bacteria,False
BAC_F,Aminicenantales,BAC_F::Aminicenantales,11,8,7.971014492753623,7.339449541284404,Bacteria,True
BAC_F,Anaerofustaceae,BAC_F::Anaerofustaceae,2,2,1.4492753623188406,1.834862385321101,Bacteria,False
BAC_F,Anaerolineaceae,BAC_F::Anaerolineaceae,13,10,9.420289855072463,9.174311926605505,Bacteria,True
BAC_F,Anaeromyxobacteraceae,BAC_F::Anaeromyxobacteraceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Anaerovoracaceae,BAC_F::Anaerovoracaceae,23,21,16.666666666666668,19.26605504587156,Bacteria,True
BAC_F,Aquaspirillaceae,BAC_F::Aquaspirillaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Arcobacteraceae,BAC_F::Arcobacteraceae,1,0,0.7246376811594203,0.0,Bacteria,False
BAC_F,Ardenticatenaceae,BAC_F::Ardenticatenaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Arenicellaceae,BAC_F::Arenicellaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Atopobiaceae,BAC_F::Atopobiaceae,7,7,5.072463768115942,6.422018348623853,Bacteria,True
BAC_F,Azospirillaceae,BAC_F::Azospirillaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Azospirillales_Incertae_Sedis,BAC_F::Azospirillales_Incertae_Sedis,0,0,0.0,0.0,Bacteria,False
BAC_F,B1-7BS,BAC_F::B1-7BS,0,0,0.0,0.0,Bacteria,False
BAC_F,B122,BAC_F::B122,0,0,0.0,0.0,Bacteria,False
BAC_F,B5-096,BAC_F::B5-096,0,0,0.0,0.0,Bacteria,False
BAC_F,B55-F-B-G02,BAC_F::B55-F-B-G02,0,0,0.0,0.0,Bacteria,False
BAC_F,BD7-11,BAC_F::BD7-11,0,0,0.0,0.0,Bacteria,False
BAC_F,BIrii41,BAC_F::BIrii41,0,0,0.0,0.0,Bacteria,False
BAC_F,BRH-c20a,BAC_F::BRH-c20a,1,1,0.7246376811594203,0.9174311926605505,Bacteria,False
BAC_F,BSV26,BAC_F::BSV26,0,0,0.0,0.0,Bacteria,False
BAC_F,Babeliaceae,BAC_F::Babeliaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Babeliales,BAC_F::Babeliales,6,5,4.3478260869565215,4.587155963302752,Bacteria,False
BAC_F,Bacillaceae,BAC_F::Bacillaceae,2,2,1.4492753623188406,1.834862385321101,Bacteria,False
BAC_F,Bacteriovoracaceae,BAC_F::Bacteriovoracaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Bacteroidaceae,BAC_F::Bacteroidaceae,6,2,4.3478260869565215,1.834862385321101,Bacteria,False
BAC_F,Bacteroidales_UCG-001,BAC_F::Bacteroidales_UCG-001,13,11,9.420289855072463,10.091743119266056,Bacteria,True
BAC_F,Bacteroidetes_BD2-2,BAC_F::Bacteroidetes_BD2-2,0,0,0.0,0.0,Bacteria,False
BAC_F,Bacteroidetes_VC2.1_Bac22,BAC_F::Bacteroidetes_VC2.1_Bac22,4,4,2.898550724637681,3.669724770642202,Bacteria,False
BAC_F,Bacteroidetes_vadinHA17,BAC_F::Bacteroidetes_vadinHA17,83,61,60.14492753623188,55.96330275229358,Bacteria,True
BAC_F,Balneolaceae,BAC_F::Balneolaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Barnesiellaceae,BAC_F::Barnesiellaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Bdellovibrionaceae,BAC_F::Bdellovibrionaceae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,False
BAC_F,Beijerinckiaceae,BAC_F::Beijerinckiaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Berkelbacteria,BAC_F::Berkelbacteria,0,0,0.0,0.0,Bacteria,False
BAC_F,Bifidobacteriaceae,BAC_F::Bifidobacteriaceae,2,2,1.4492753623188406,1.834862385321101,Bacteria,False
BAC_F,Blastocatellaceae,BAC_F::Blastocatellaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Blfdi19,BAC_F::Blfdi19,0,0,0.0,0.0,Bacteria,False
BAC_F,Bogoriellaceae,BAC_F::Bogoriellaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Brachyspirales_Incertae_Sedis,BAC_F::Brachyspirales_Incertae_Sedis,12,8,8.695652173913043,7.339449541284404,Bacteria,True
BAC_F,Bradymonadales,BAC_F::Bradymonadales,0,0,0.0,0.0,Bacteria,False
BAC_F,Brevinemataceae,BAC_F::Brevinemataceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Bryobacteraceae,BAC_F::Bryobacteraceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Burkholderiaceae,BAC_F::Burkholderiaceae,3,0,2.1739130434782608,0.0,Bacteria,False
BAC_F,Butyricicoccaceae,BAC_F::Butyricicoccaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,C10-SB1A,BAC_F::C10-SB1A,0,0,0.0,0.0,Bacteria,False
BAC_F,CCD24,BAC_F::CCD24,0,0,0.0,0.0,Bacteria,False
BAC_F,CCM11a,BAC_F::CCM11a,0,0,0.0,0.0,Bacteria,False
