fold,feature
1,BAC_F::009E01-B-SD-P15
1,BAC_F::0319-6G20
1,BAC_F::1-20
1,BAC_F::113B434
1,BAC_F::67-14
1,BAC_F::A0839
1,BAC_F::A21b
1,BAC_F::AKYH767
1,BAC_F::Absconditabacteriales_(SR1)
1,BAC_F::Acetobacteraceae
1,BAC_F::Acetothermiia
1,BAC_F::Acholeplasmataceae
1,BAC_F::Acidaminococcaceae
1,BAC_F::Acidobacteriae
1,BAC_F::Actinomycetaceae
1,BAC_F::Aerococcaceae
1,BAC_F::Aeromonadaceae
1,BAC_F::Alcaligenaceae
1,BAC_F::Aminicenantales
1,BAC_F::Anaerofustaceae
1,BAC_F::Anaerolineaceae
1,BAC_F::Anaeromyxobacteraceae
1,BAC_F::Anaerovoracaceae
1,BAC_F::Aquaspirillaceae
1,BAC_F::Arcobacteraceae
1,BAC_F::Ardenticatenaceae
1,BAC_F::Arenicellaceae
1,BAC_F::Atopobiaceae
1,BAC_F::B1-7BS
1,BAC_F::B55-F-B-G02
1,BAC_F::BRH-c20a
1,BAC_F::Babeliales
1,BAC_F::Bacillaceae
1,BAC_F::Bacteroidaceae
1,BAC_F::Bacteroidales_UCG-001
1,BAC_F::Bacteroidetes_BD2-2
1,BAC_F::Bacteroidetes_VC2.1_Bac22
1,BAC_F::Bacteroidetes_vadinHA17
1,BAC_F::Bdellovibrionaceae
1,BAC_F::Beijerinckiaceae
1,BAC_F::Bifidobacteriaceae
1,BAC_F::Blastocatellaceae
1,BAC_F::Bogoriellaceae
1,BAC_F::Brachyspirales_Incertae_Sedis
1,BAC_F::Burkholderiaceae
1,BAC_F::Butyricicoccaceae
1,BAC_F::CK-2C2-2
1,BAC_F::Caldatribacteriaceae
1,BAC_F::Caldicoprobacteraceae
1,BAC_F::Caldilineaceae
1,BAC_F::Caldisericaceae
1,BAC_F::Caloramatoraceae
1,BAC_F::Candidatus_Peregrinibacteria
1,BAC_F::Carnobacteriaceae
1,BAC_F::Caulobacteraceae
1,BAC_F::Chitinophagaceae
1,BAC_F::Christensenellaceae
1,BAC_F::Chromobacteriaceae
1,BAC_F::Chthonomonadales
1,BAC_F::Cloacimonadaceae
1,BAC_F::Cloacimonadales
1,BAC_F::Clostridia_UCG-014
1,BAC_F::Clostridiaceae
1,BAC_F::Comamonadaceae
1,BAC_F::Competibacteraceae
1,BAC_F::Coprothermobacteraceae
1,BAC_F::Coriobacteriales_Incertae_Sedis
1,BAC_F::Corynebacteriaceae
1,BAC_F::D8A-2
1,BAC_F::DEV007
1,BAC_F::DS-100
1,BAC_F::DTU014
1,BAC_F::Defluviicoccaceae
1,BAC_F::Defluviitaleaceae
1,BAC_F::Dermatophilaceae
1,BAC_F::Desulfitibacteraceae
1,BAC_F::Desulfobulbaceae
1,BAC_F::Desulfomicrobiaceae
1,BAC_F::Desulfotomaculales
1,BAC_F::Desulfovibrionaceae
1,BAC_F::Dethiobacteraceae
1,BAC_F::Devosiaceae
1,BAC_F::Dietziaceae
1,BAC_F::Diplorickettsiaceae
1,BAC_F::Dongiaceae
1,BAC_F::Dysgonomonadaceae
1,BAC_F::Eggerthellaceae
1,BAC_F::Endomicrobiaceae
1,BAC_F::Enterobacteriaceae
1,BAC_F::Enterococcaceae
1,BAC_F::Erwiniaceae
1,BAC_F::Erysipelatoclostridiaceae
1,BAC_F::Erysipelotrichaceae
1,BAC_F::Eubacteriaceae
1,BAC_F::F082
1,BAC_F::FTLpost3
1,BAC_F::Fermentibacteraceae
1,BAC_F::Fervidobacteriaceae
1,BAC_F::Fibrobacteraceae
1,BAC_F::Fibrobacterales
1,BAC_F::Fimbriimonadaceae
1,BAC_F::Flavobacteriaceae
1,BAC_F::Fusibacteraceae
1,BAC_F::Fusobacteriaceae
1,BAC_F::GZKB124
1,BAC_F::GZKB75
1,BAC_F::Garciellaceae
1,BAC_F::Gemmataceae
1,BAC_F::Gemmatimonadaceae
1,BAC_F::Geobacteraceae
1,BAC_F::Gracilibacteraceae
1,BAC_F::HOC36
1,BAC_F::Halanaerobiaceae
1,BAC_F::Haliangiaceae
1,BAC_F::Holophagaceae
1,BAC_F::Hungateiclostridiaceae
1,BAC_F::Hydrogenedensaceae
1,BAC_F::Hydrogenophilaceae
1,BAC_F::Hydrothermae
1,BAC_F::Hyphomicrobiaceae
1,BAC_F::Hyphomonadaceae
1,BAC_F::IMCC26256
1,BAC_F::Iamiaceae
1,BAC_F::Ignavibacteriaceae
1,BAC_F::Ilumatobacteraceae
1,BAC_F::Incertae_Sedis
1,BAC_F::Intrasporangiaceae
1,BAC_F::Isosphaeraceae
1,BAC_F::Izemoplasmataceae
1,BAC_F::Izemoplasmatales
1,BAC_F::JG36-GS-52
1,BAC_F::JS1
1,BAC_F::KCLunmb-38-53
1,BAC_F::Kapabacteriales
1,BAC_F::Kosmotogaceae
1,BAC_F::LD1-PA32
1,BAC_F::LD1-PB3
1,BAC_F::LF045
1,BAC_F::Lachnospiraceae
1,BAC_F::Lactobacillaceae
1,BAC_F::Leeiaceae
1,BAC_F::Lentimicrobiaceae
1,BAC_F::Leptospiraceae
1,BAC_F::Leptotrichiaceae
1,BAC_F::Leuconostocaceae
1,BAC_F::Limnochordaceae
1,BAC_F::Limnochordia
1,BAC_F::M55-D21
