Model,domain,feature,importance
RandomForest,Bacteria,BAC_F::Cloacimonadaceae,0.027474380377144263
RandomForest,Bacteria,BAC_F::Peptostreptococcales-Tissierellales,0.025917523837778667
RandomForest,Bacteria,BAC_F::Hungateiclostridiaceae,0.024736390564673177
RandomForest,Bacteria,BAC_F::Oscillospiraceae,0.024418238489828825
RandomForest,Bacteria,BAC_F::Synergistaceae,0.022006393199864534
RandomForest,Bacteria,BAC_F::Prevotellaceae,0.020458033561199563
RandomForest,Bacteria,BAC_F::Comamonadaceae,0.01983725376387543
RandomForest,Bacteria,BAC_F::Dysgonomonadaceae,0.019649302467457656
RandomForest,Bacteria,BAC_F::unidentified,0.01850736149854278
RandomForest,Bacteria,BAC_F::Spirochaetaceae,0.017935392453580355
RandomForest,Bacteria,BAC_F::Pseudomonadaceae,0.016923613103326192
RandomForest,Bacteria,BAC_F::Bacteroidetes_vadinHA17,0.01688878329421904
RandomForest,Bacteria,BAC_F::Lactobacillaceae,0.016697094112866063
RandomForest,Bacteria,BAC_F::Paludibacteraceae,0.015905386912523366
RandomForest,Archaea,ARC_F::Methanosarcinaceae,0.015603108505994548
RandomForest,Bacteria,BAC_F::Petrotogaceae,0.015516891557430204
RandomForest,Bacteria,BAC_F::Atopobiaceae,0.014933760379101163
RandomForest,Archaea,ARC_F::Methanofastidiosaceae,0.01468100470235699
RandomForest,Bacteria,BAC_F::Rhodocyclaceae,0.014314534577112936
RandomForest,Archaea,ARC_F::Methanomethylophilaceae,0.013976990782841536
RandomForest,Bacteria,BAC_F::Ruminococcaceae,0.013966038220412345
RandomForest,Bacteria,BAC_F::Rikenellaceae,0.01326556597272236
RandomForest,Archaea,ARC_F::Methanoregulaceae,0.012988738725729202
RandomForest,Bacteria,BAC_F::Rhodobacteraceae,0.012822687628987642
RandomForest,Bacteria,BAC_F::WCHB1-02,0.012325064533539326
RandomForest,Bacteria,BAC_F::Caldicoprobacteraceae,0.012013799269524936
RandomForest,Bacteria,BAC_F::MBA03,0.012006888515255538
RandomForest,Archaea,ARC_F::Methanospirillaceae,0.01190948230554316
RandomForest,Bacteria,BAC_F::Anaerolineaceae,0.011796983559285983
RandomForest,Archaea,ARC_F::Methanosaetaceae,0.011667935171555299
RandomForest,Bacteria,BAC_F::D8A-2,0.011376941721974213
RandomForest,Archaea,ARC_F::Methanomicrobiaceae,0.011268773052536377
RandomForest,Bacteria,BAC_F::Christensenellaceae,0.01119713651454469
RandomForest,Bacteria,BAC_F::MgMjR-022,0.011035774944895712
RandomForest,Bacteria,BAC_F::DTU014,0.010807506359749301
RandomForest,Archaea,ARC_F::Methanomassiliicoccaceae,0.010746382820070705
RandomForest,Bacteria,BAC_F::Caldatribacteriaceae,0.010691295420734194
RandomForest,Bacteria,BAC_F::Enterobacteriaceae,0.010590818549257707
RandomForest,Bacteria,BAC_F::Marinilabiliaceae,0.010472475601732947
RandomForest,Bacteria,BAC_F::Acholeplasmataceae,0.010080535154983295
RandomForest,Bacteria,BAC_F::W27,0.010004976572754353
RandomForest,Bacteria,BAC_F::Prolixibacteraceae,0.009363453342804456
RandomForest,Bacteria,BAC_F::Lachnospiraceae,0.009257223768571101
RandomForest,Bacteria,BAC_F::Chitinophagaceae,0.00907635789921047
RandomForest,Bacteria,BAC_F::Sedimentibacteraceae,0.00895018697572256
RandomForest,Bacteria,BAC_F::Peptostreptococcaceae,0.008797044769147607
RandomForest,Archaea,ARC_F::Methanocorpusculaceae,0.008794483537481254
RandomForest,Bacteria,BAC_F::Saprospiraceae,0.00872397628399251
RandomForest,Bacteria,BAC_F::Bacteroidales_UCG-001,0.008638434845901181
RandomForest,Bacteria,BAC_F::Lentimicrobiaceae,0.008590842287585396
RandomForest,Bacteria,BAC_F::Syntrophomonadaceae,0.007851065848507694
RandomForest,Archaea,ARC_F::unidentified,0.007511616513662556
RandomForest,Bacteria,BAC_F::Bifidobacteriaceae,0.007454819942746249
RandomForest,Bacteria,BAC_F::ST-12K33,0.007420926244536555
RandomForest,Bacteria,BAC_F::Incertae_Sedis,0.00735273572774648
RandomForest,Bacteria,BAC_F::Anaerovoracaceae,0.006966257166309155
RandomForest,Bacteria,BAC_F::WCHB1-41,0.0067609024287572745
RandomForest,Bacteria,BAC_F::Thermacetogeniaceae,0.006719747105650144
RandomForest,Bacteria,BAC_F::Rhodanobacteraceae,0.006611143597479076
RandomForest,Bacteria,BAC_F::SRB2,0.0065623865974957785
RandomForest,Bacteria,BAC_F::Syntrophorhabdaceae,0.006558730659841072
RandomForest,Bacteria,BAC_F::UCG-010,0.006532564825159145
RandomForest,Bacteria,BAC_F::Smithellaceae,0.0064686822395887715
RandomForest,Bacteria,BAC_F::Intrasporangiaceae,0.006441521934450282
RandomForest,Bacteria,BAC_F::SJA-28,0.00599249268478759
RandomForest,Bacteria,BAC_F::009E01-B-SD-P15,0.005914691737326136
RandomForest,Bacteria,BAC_F::Leptospiraceae,0.005685549521196992
RandomForest,Bacteria,BAC_F::Izemoplasmatales,0.005568579888291739
RandomForest,Bacteria,BAC_F::Xanthomonadaceae,0.005318674566318284
RandomForest,Bacteria,BAC_F::Veillonellaceae,0.005119519811952431
RandomForest,Bacteria,BAC_F::JS1,0.005028724403876817
RandomForest,Bacteria,BAC_F::Desulfotomaculales,0.004824166146789817
RandomForest,Bacteria,BAC_F::Williamwhitmaniaceae,0.004774792462887178
RandomForest,Bacteria,BAC_F::Hydrogenedensaceae,0.004488553195023165
RandomForest,Bacteria,BAC_F::Pedosphaeraceae,0.004459552042854582
RandomForest,Bacteria,BAC_F::Garciellaceae,0.0042996559034519915
RandomForest,Bacteria,BAC_F::Tannerellaceae,0.004265426358370477
RandomForest,Bacteria,BAC_F::Gracilibacteraceae,0.004233302784810691
RandomForest,Bacteria,BAC_F::Clostridiaceae,0.0038141662462851346
RandomForest,Archaea,ARC_F::SCGC_AAA011-D5,0.0037910938965660945
RandomForest,Bacteria,BAC_F::Marinimicrobia_(SAR406_clade),0.0035814558910390454
RandomForest,Bacteria,BAC_F::Dethiobacteraceae,0.003578668651993287
RandomForest,Bacteria,BAC_F::Moraxellaceae,0.003475588725610674
RandomForest,Bacteria,BAC_F::M55-D21,0.003301801411193717
RandomForest,Bacteria,BAC_F::Bacteroidaceae,0.0031781960424394134
RandomForest,Bacteria,BAC_F::Microbacteriaceae,0.0031422669012414065
RandomForest,Bacteria,BAC_F::WS1,0.003093964955301621
RandomForest,Bacteria,BAC_F::Burkholderiaceae,0.003064712418138338
RandomForest,Archaea,ARC_F::Bathyarchaeia,0.0029542674687996692
RandomForest,Bacteria,BAC_F::Alcaligenaceae,0.0028182960379045836
RandomForest,Bacteria,BAC_F::Clostridia_UCG-014,0.0027384860306565784
RandomForest,Bacteria,BAC_F::Desulfobulbaceae,0.0027183838140829074
RandomForest,Bacteria,BAC_F::SC-I-84,0.002548832176822282
RandomForest,Bacteria,BAC_F::Aminicenantales,0.0025479466204747217
RandomForest,Bacteria,BAC_F::Desulfomicrobiaceae,0.002530454356021539
RandomForest,Bacteria,BAC_F::SBR1031,0.0025057937329995422
RandomForest,Archaea,ARC_F::Methanomicrobiales,0.0024238950466579424
RandomForest,Bacteria,BAC_F::LD1-PB3,0.0022359070162943306
RandomForest,Bacteria,BAC_F::Erysipelatoclostridiaceae,0.002109699171843455
RandomForest,Bacteria,BAC_F::SB-5,0.002084687863508932
RandomForest,Bacteria,BAC_F::MVP-15,0.0020258691167808042
RandomForest,Bacteria,BAC_F::Sphingomonadaceae,0.00197313477970555
RandomForest,Bacteria,BAC_F::Thermovenabulales,0.0018813164547912737
RandomForest,Bacteria,BAC_F::Pirellulaceae,0.0018459339513987622
RandomForest,Bacteria,BAC_F::AKYH767,0.0017821380765758754
RandomForest,Bacteria,BAC_F::S15A-MN91,0.0017612577878526054
RandomForest,Bacteria,BAC_F::Streptococcaceae,0.0017082101183129035
RandomForest,Bacteria,BAC_F::Brachyspirales_Incertae_Sedis,0.0016547750363908084
RandomForest,Bacteria,BAC_F::Fimbriimonadaceae,0.0015991024117840095
RandomForest,Bacteria,BAC_F::Anaerofustaceae,0.0015961403766434784
RandomForest,Bacteria,BAC_F::Leuconostocaceae,0.0015769570467035789
RandomForest,Bacteria,BAC_F::Acidaminococcaceae,0.0015595948858168284
