Model,target,feature,importance,domain
RandomForest,warning_acid_base_balance,BAC_F::009E01-B-SD-P15,0.010003350796380978,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::0319-6G20,0.0037921159339575953,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::053A03-B-DI-P58,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::1-20,7.575540964863446e-18,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::113B434,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::37-13,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::4572-13,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::67-14,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::A0839,0.002370298051068308,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::A21b,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::AKYH767,1.3944633790000214e-17,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Absconditabacteriales_(SR1),0.002160478829049118,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Acetobacteraceae,0.0013403848944944956,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Acetothermiia,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Acholeplasmataceae,0.005686073655286044,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Acidaminococcaceae,0.0011313077624174942,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Acidobacteriae,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Actinomycetaceae,0.00040063956563483427,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Aerococcaceae,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Aeromonadaceae,4.429612781796548e-18,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Alcaligenaceae,0.002480278491856626,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Aminicenantales,0.009239391242907773,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Anaerofustaceae,0.002631724444938325,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Anaerolineaceae,0.011941491545708737,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Anaeromyxobacteraceae,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Anaerovoracaceae,0.0069235894123610125,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Aquaspirillaceae,2.229342748468636e-18,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Arcobacteraceae,0.0012507573728983404,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Ardenticatenaceae,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Arenicellaceae,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Atopobiaceae,0.007640427937822721,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::B1-7BS,0.0005810628882793649,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::B55-F-B-G02,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::BRH-c20a,0.0005834155809094229,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Babeliales,0.0007279244805054475,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Bacillaceae,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Bacteriovoracaceae,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Bacteroidaceae,0.001382715334153029,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Bacteroidales_UCG-001,0.0028177541794269195,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Bacteroidetes_BD2-2,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Bacteroidetes_VC2.1_Bac22,0.0,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Bacteroidetes_vadinHA17,0.01700349562300124,Bacteria
RandomForest,warning_acid_base_balance,BAC_F::Bdellovibrionaceae,0.0,Bacteria
