feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
ARC_F::Aenigmarchaeales,Aenigmarchaeales,Archaea,Family,2,2,True
ARC_F::Bathyarchaeia,Bathyarchaeia,Archaea,Family,67,51,True
ARC_F::Lokiarchaeia,Lokiarchaeia,Archaea,Family,2,1,True
ARC_F::Methanocorpusculaceae,Methanocorpusculaceae,Archaea,Family,29,20,True
ARC_F::Methanofastidiosaceae,Methanofastidiosaceae,Archaea,Family,127,98,True
ARC_F::Methanomassiliicoccaceae,Methanomassiliicoccaceae,Archaea,Family,117,95,True
ARC_F::Methanomethyliaceae,Methanomethyliaceae,Archaea,Family,20,12,True
ARC_F::Methanomethylophilaceae,Methanomethylophilaceae,Archaea,Family,47,40,True
ARC_F::Methanomicrobiaceae,Methanomicrobiaceae,Archaea,Family,118,100,True
ARC_F::Methanomicrobiales,Methanomicrobiales,Archaea,Family,46,33,True
ARC_F::Methanoregulaceae,Methanoregulaceae,Archaea,Family,111,86,True
ARC_F::Methanosaetaceae,Methanosaetaceae,Archaea,Family,132,103,True
ARC_F::Methanosarcinaceae,Methanosarcinaceae,Archaea,Family,107,83,True
ARC_F::Methanospirillaceae,Methanospirillaceae,Archaea,Family,127,98,True
ARC_F::Micrarchaeales,Micrarchaeales,Archaea,Family,18,13,True
ARC_F::Nitrososphaeraceae,Nitrososphaeraceae,Archaea,Family,13,10,True
ARC_F::Rhinosporideacae,Rhinosporideacae,Archaea,Family,1,1,True
ARC_F::SCGC_AAA011-D5,SCGC_AAA011-D5,Archaea,Family,46,38,True
ARC_F::Teleostei,Teleostei,Archaea,Family,1,1,True
ARC_F::Veneroida,Veneroida,Archaea,Family,2,2,True
ARC_F::Woesearchaeales,Woesearchaeales,Archaea,Family,11,5,True
ARC_F::unidentified,unidentified,Archaea,Family,123,96,True
