Model,target,threshold
RandomForest,warning_acid_base_balance,0.27
RandomForest,warning_buffer_capacity,0.11
RandomForest,warning_acid_accumulation,0.5
RandomForest,warning_ammonia_toxicity,0.4
RandomForest,warning_biogas_quality,0.03
KNN,warning_acid_base_balance,0.23
KNN,warning_buffer_capacity,0.89
KNN,warning_acid_accumulation,0.76
KNN,warning_ammonia_toxicity,0.54
KNN,warning_biogas_quality,0.5
SVM,warning_acid_base_balance,0.2
SVM,warning_buffer_capacity,0.060000000000000005
SVM,warning_acid_accumulation,0.5
SVM,warning_ammonia_toxicity,0.29000000000000004
SVM,warning_biogas_quality,0.5
NNET,warning_acid_base_balance,0.56
NNET,warning_buffer_capacity,0.88
NNET,warning_acid_accumulation,0.5
NNET,warning_ammonia_toxicity,0.5
NNET,warning_biogas_quality,0.2
XGBoost,warning_acid_base_balance,0.76
XGBoost,warning_buffer_capacity,0.09999999999999999
XGBoost,warning_acid_accumulation,0.03
XGBoost,warning_ammonia_toxicity,0.36000000000000004
XGBoost,warning_biogas_quality,0.5
GLMNET,warning_acid_base_balance,0.46
GLMNET,warning_buffer_capacity,0.36000000000000004
GLMNET,warning_acid_accumulation,0.51
GLMNET,warning_ammonia_toxicity,0.45
GLMNET,warning_biogas_quality,0.79
