fold,block,feature,training_samples_above_0_1_percent
1,BAC_F,BAC_F::009E01-B-SD-P15,35
1,BAC_F,BAC_F::0319-6G20,8
1,BAC_F,BAC_F::053A03-B-DI-P58,0
1,BAC_F,BAC_F::1-20,3
1,BAC_F,BAC_F::113B434,3
1,BAC_F,BAC_F::37-13,0
1,BAC_F,BAC_F::4572-13,0
1,BAC_F,BAC_F::67-14,2
1,BAC_F,BAC_F::A0839,6
1,BAC_F,BAC_F::A21b,1
1,BAC_F,BAC_F::AKYH767,26
1,BAC_F,BAC_F::Absconditabacteriales_(SR1),8
1,BAC_F,BAC_F::Acetobacteraceae,10
1,BAC_F,BAC_F::Acetothermiia,4
1,BAC_F,BAC_F::Acholeplasmataceae,53
1,BAC_F,BAC_F::Acidaminococcaceae,15
1,BAC_F,BAC_F::Acidobacteriae,1
1,BAC_F,BAC_F::Actinomycetaceae,11
1,BAC_F,BAC_F::Aerococcaceae,4
1,BAC_F,BAC_F::Aeromonadaceae,8
1,BAC_F,BAC_F::Alcaligenaceae,3
1,BAC_F,BAC_F::Aminicenantales,28
1,BAC_F,BAC_F::Anaerofustaceae,9
1,BAC_F,BAC_F::Anaerolineaceae,47
1,BAC_F,BAC_F::Anaeromyxobacteraceae,1
1,BAC_F,BAC_F::Anaerovoracaceae,77
1,BAC_F,BAC_F::Aquaspirillaceae,4
1,BAC_F,BAC_F::Arcobacteraceae,9
1,BAC_F,BAC_F::Ardenticatenaceae,1
1,BAC_F,BAC_F::Arenicellaceae,1
1,BAC_F,BAC_F::Atopobiaceae,17
1,BAC_F,BAC_F::B1-7BS,6
1,BAC_F,BAC_F::B55-F-B-G02,1
1,BAC_F,BAC_F::BRH-c20a,6
1,BAC_F,BAC_F::Babeliales,15
1,BAC_F,BAC_F::Bacillaceae,11
1,BAC_F,BAC_F::Bacteriovoracaceae,0
1,BAC_F,BAC_F::Bacteroidaceae,25
1,BAC_F,BAC_F::Bacteroidales_UCG-001,31
1,BAC_F,BAC_F::Bacteroidetes_BD2-2,2
1,BAC_F,BAC_F::Bacteroidetes_VC2.1_Bac22,8
1,BAC_F,BAC_F::Bacteroidetes_vadinHA17,61
1,BAC_F,BAC_F::Bdellovibrionaceae,1
1,BAC_F,BAC_F::Beijerinckiaceae,21
1,BAC_F,BAC_F::Berkelbacteria,0
1,BAC_F,BAC_F::Bifidobacteriaceae,6
1,BAC_F,BAC_F::Blastocatellaceae,4
1,BAC_F,BAC_F::Bogoriellaceae,3
1,BAC_F,BAC_F::Brachyspirales_Incertae_Sedis,14
1,BAC_F,BAC_F::Bradymonadales,0
1,BAC_F,BAC_F::Bryobacteraceae,0
1,BAC_F,BAC_F::Burkholderiaceae,30
1,BAC_F,BAC_F::Butyricicoccaceae,1
1,BAC_F,BAC_F::C10-SB1A,0
1,BAC_F,BAC_F::CCM19a,0
1,BAC_F,BAC_F::CK-2C2-2,5
1,BAC_F,BAC_F::Caldatribacteriaceae,51
1,BAC_F,BAC_F::Caldicoprobacteraceae,51
1,BAC_F,BAC_F::Caldilineaceae,16
1,BAC_F,BAC_F::Caldisericaceae,10
1,BAC_F,BAC_F::Calditrichaceae,0
1,BAC_F,BAC_F::Caloramatoraceae,5
1,BAC_F,BAC_F::Candidatus_Falkowbacteria,0
1,BAC_F,BAC_F::Candidatus_Magasanikbacteria,0
1,BAC_F,BAC_F::Candidatus_Peregrinibacteria,3
