SampleID,eff_pH,eff_ALK,eff_TVFAs,eff_HPro,eff_HAc,eff_TAN,eff_CH4
1-1,False,False,False,False,False,False,False
2-1,False,False,False,False,False,False,False
3-1,False,False,False,False,False,False,False
4-1,False,False,False,False,False,False,False
1-2,False,False,False,False,False,False,False
2-2,False,False,False,False,False,False,False
3-2,False,False,False,False,False,False,False
4-2,False,False,False,False,False,False,False
1-3,False,False,False,False,False,False,False
2-3,False,False,False,False,False,False,False
3-3,False,False,False,False,False,False,False
4-3,False,False,False,False,False,False,False
1-3b,False,True,True,True,True,True,False
1-4,False,False,False,False,False,False,False
2-4,False,False,False,False,False,False,False
3-4,False,False,False,False,False,False,False
4-4,False,False,False,False,False,False,False
1-5,False,False,False,False,False,False,False
2-5,False,False,False,False,False,False,False
3-5,False,False,False,False,False,False,False
4-5,False,False,False,False,False,False,False
1-6,False,False,False,False,False,False,False
2-6,False,False,False,False,False,False,False
3-6,False,False,False,False,False,False,False
4-6,False,False,False,False,False,False,False
1-7,False,False,False,False,False,False,False
2-7,False,False,False,False,False,False,False
3-7,False,False,False,False,False,False,False
4-7,False,False,False,False,False,False,False
1-8,False,False,False,False,False,False,False
2-8,False,False,False,False,False,False,False
3-8,False,False,False,False,False,False,False
4-8,False,False,False,False,False,False,False
1-9,False,False,False,False,False,False,False
2-9,False,False,False,False,False,False,False
3-9,False,False,False,False,False,False,False
4-9,False,False,False,False,False,False,False
1-10,False,False,False,False,False,False,False
2-10,False,False,False,False,False,False,False
3-10,False,False,False,False,False,False,False
4-10,False,False,False,False,False,False,False
1-11,False,False,False,False,False,False,False
2-11,False,False,False,False,False,False,False
3-11,False,False,False,False,False,False,False
4-11,False,False,False,False,False,False,False
1-11b,False,True,True,True,True,True,False
1-12,False,False,False,False,False,False,False
2-12,False,False,False,False,False,False,False
3-12,False,False,False,False,False,False,False
4-12,False,False,False,False,False,False,False
1-13,False,False,False,False,False,False,False
2-13,False,False,False,False,False,False,False
3-13,False,False,False,False,False,False,False
4-13,False,False,False,False,False,False,False
1-14,False,False,False,False,False,False,False
2-14,False,False,False,False,False,False,False
3-14,False,False,False,False,False,False,False
4-14,False,False,False,False,False,False,False
1-15,False,False,False,False,False,False,True
2-15,False,False,False,False,False,False,False
3-15,False,False,False,False,False,False,False
4-15,False,False,False,False,False,False,False
1-16,False,False,False,False,False,False,False
2-16,False,False,False,False,False,False,False
3-16,False,False,False,False,False,False,False
4-16,False,False,False,False,False,False,False
1-17,False,False,False,False,False,False,False
2-17,False,False,False,False,False,False,False
3-17,False,False,False,False,False,False,False
4-17,False,False,False,False,False,False,False
1-18,False,False,False,False,False,False,False
2-18,False,False,False,False,False,False,False
3-18,False,False,False,False,False,False,False
4-18,False,False,False,False,False,False,False
1-19,False,False,False,False,False,False,False
2-19,False,False,False,False,False,False,False
3-19,False,False,False,False,False,False,False
1-20,False,False,False,False,False,False,False
2-20,False,False,False,False,False,False,False
3-20,False,False,False,False,False,False,False
1-21,False,False,False,False,False,False,True
2-21,False,False,False,False,False,False,False
3-21,False,False,False,False,False,False,False
4-21,False,False,False,False,False,False,False
1-22,False,False,False,False,False,False,False
2-22,False,False,False,False,False,False,False
3-22,False,False,False,False,False,False,False
4-22,False,False,False,False,False,False,False
1-23,False,False,False,False,False,False,False
2-23,False,False,False,False,False,False,False
3-23,False,False,False,False,False,False,False
4-23,False,False,False,False,False,False,False
1-24,False,False,False,False,False,False,False
2-24,False,False,False,False,False,False,False
3-24,False,False,False,False,False,False,False
1-25,False,False,False,False,False,False,False
2-25,False,False,False,False,False,False,False
3-25,False,False,False,False,False,False,False
4-25,False,False,False,False,False,False,False
1-26,False,False,False,False,False,False,False
2-26,False,False,False,False,False,False,False
3-26,False,False,False,False,False,False,False
4-26,False,False,False,False,False,False,False
1-27,False,False,False,False,False,False,False
2-27,False,False,False,False,False,False,False
3-27,False,False,False,False,False,False,False
4-27,False,False,False,False,False,False,False
1-28,False,False,False,False,False,False,False
2-28,False,False,False,False,False,False,False
3-28,False,False,False,False,False,False,False
4-28,False,False,False,False,False,False,False
1-29,False,False,False,False,False,False,False
2-29,False,False,False,False,False,False,False
3-29,False,False,False,False,False,False,False
4-29,False,False,False,False,False,False,False
1-30,False,False,False,False,False,False,False
2-30,False,False,False,False,False,False,False
3-30,False,False,False,False,False,False,False
4-30,False,False,False,False,False,False,False
1-31,False,False,False,False,False,False,False
2-31,False,False,False,False,False,False,False
3-31,False,False,False,False,False,False,False
4-31,False,False,False,False,False,False,False
1-32,False,False,False,False,False,False,False
2-32,False,False,False,False,False,False,False
3-32,False,False,False,False,False,False,False
4-32,False,False,False,False,False,False,False
2-32',False,True,True,True,True,True,False
3-32',False,False,False,False,False,False,False
4-32',False,False,False,False,False,False,False
1-33,False,False,False,False,False,False,False
2-33,False,False,False,False,False,False,False
3-33,False,False,False,False,False,False,False
4-33,False,False,False,False,False,False,False
1-34,False,False,False,False,False,False,False
2-34,False,False,False,False,False,False,False
3-34,False,False,False,False,False,False,False
4-34,False,False,False,False,False,False,False
