Feature,Repeat,Multilabel MCC drop,Micro-AUPR drop
BAC_P::Acetothermia,1,0.0,0.0
BAC_P::Acetothermia,2,0.0,0.0
BAC_P::Acetothermia,3,0.0,0.0
BAC_P::Acetothermia,4,0.0,0.0
BAC_P::Acetothermia,5,0.0,0.0
BAC_P::Acetothermia,6,0.0,0.0
BAC_P::Acetothermia,7,0.0,0.0
BAC_P::Acetothermia,8,0.0,0.0
BAC_P::Acetothermia,9,0.0,0.0
BAC_P::Acetothermia,10,0.0,0.0
BAC_P::Acetothermia,11,0.0,0.0
BAC_P::Acetothermia,12,0.0,0.0
BAC_P::Acetothermia,13,0.0,0.0
BAC_P::Acetothermia,14,0.0,0.0
BAC_P::Acetothermia,15,0.0,0.0
BAC_P::Acetothermia,16,0.0,0.0
BAC_P::Acetothermia,17,0.0,0.0
BAC_P::Acetothermia,18,0.0,0.0
BAC_P::Acetothermia,19,0.0,0.0
BAC_P::Acetothermia,20,0.0,0.0
BAC_P::Acetothermia,21,0.0,0.0
BAC_P::Acetothermia,22,0.0,0.0
BAC_P::Acetothermia,23,0.0,0.0
BAC_P::Acetothermia,24,0.0,0.0
BAC_P::Acetothermia,25,0.0,0.0
BAC_P::Acetothermia,26,0.0,0.0
BAC_P::Acetothermia,27,0.0,0.0
BAC_P::Acetothermia,28,0.0,0.0
BAC_P::Acetothermia,29,0.0,0.0
BAC_P::Acetothermia,30,0.0,0.0
BAC_P::Acidobacteriota,1,0.0,-0.0025497692621158086
BAC_P::Acidobacteriota,2,0.0,0.0018569041994483948
BAC_P::Acidobacteriota,3,0.0,-0.00034130511011892795
BAC_P::Acidobacteriota,4,0.0,-0.0002920698170552627
BAC_P::Acidobacteriota,5,0.0,-0.0011009064236104926
BAC_P::Acidobacteriota,6,0.0,0.001355165706539374
BAC_P::Acidobacteriota,7,0.0,-0.004026781626070675
BAC_P::Acidobacteriota,8,0.0,-0.0016732486017457804
BAC_P::Acidobacteriota,9,0.0,-0.002187769343750756
BAC_P::Acidobacteriota,10,0.0,0.0023413620439906024
BAC_P::Acidobacteriota,11,0.0,0.0005540951964150831
BAC_P::Acidobacteriota,12,0.0,-0.002034389236576839
BAC_P::Acidobacteriota,13,0.0,-0.00214420015540967
BAC_P::Acidobacteriota,14,0.0,0.0019460858198442343
BAC_P::Acidobacteriota,15,0.0,-9.860422759649934e-05
BAC_P::Acidobacteriota,16,0.0,0.001174555422144341
BAC_P::Acidobacteriota,17,0.0,-0.0031240683924751433
BAC_P::Acidobacteriota,18,0.0,0.00714609887407841
BAC_P::Acidobacteriota,19,0.0,-0.0011560648395239626
BAC_P::Acidobacteriota,20,0.0,0.001211789270176955
BAC_P::Acidobacteriota,21,0.0,0.002235446340343006
BAC_P::Acidobacteriota,22,0.0,-0.0005342560585323008
BAC_P::Acidobacteriota,23,0.0,0.00012537046673322116
BAC_P::Acidobacteriota,24,0.0,-0.002008253751497324
BAC_P::Acidobacteriota,25,0.0,-0.0012220450405981964
BAC_P::Acidobacteriota,26,0.0,-0.0025847614746919434
BAC_P::Acidobacteriota,27,0.0,-0.0008489264148873743
BAC_P::Acidobacteriota,28,0.0,-0.0010747773047304343
BAC_P::Acidobacteriota,29,0.0,-0.0015322925626327644
BAC_P::Acidobacteriota,30,0.0,0.004551191712157288
BAC_P::Actinobacteriota,1,0.009989751146855907,0.0019220869484121161
BAC_P::Actinobacteriota,2,0.019235943416908985,-0.0014193555395526913
BAC_P::Actinobacteriota,3,0.019235943416908985,0.0015116208977887235
BAC_P::Actinobacteriota,4,0.019235943416908985,-0.0005123268215061483
BAC_P::Actinobacteriota,5,0.005046084383587002,0.0028018786441526
BAC_P::Actinobacteriota,6,0.019235943416908985,0.0016218267983198476
BAC_P::Actinobacteriota,7,0.02415335783856598,-0.0013469136654936098
BAC_P::Actinobacteriota,8,0.019235943416908985,-0.0031661278351921562
BAC_P::Actinobacteriota,9,0.019235943416908985,0.000775310736422341
BAC_P::Actinobacteriota,10,0.028971503000516097,0.0033910269003809
BAC_P::Actinobacteriota,11,0.028971503000516097,0.0006539682069026109
BAC_P::Actinobacteriota,12,0.019235943416908985,0.0038606949063301754
BAC_P::Actinobacteriota,13,0.028971503000516097,-0.0005762183231024509
BAC_P::Actinobacteriota,14,0.019235943416908985,0.005290475086956237
BAC_P::Actinobacteriota,15,0.019235943416908985,0.0023740932920930935
BAC_P::Actinobacteriota,16,0.019235943416908985,0.0014575323129992213
BAC_P::Actinobacteriota,17,0.028971503000516097,0.001276231984924825
BAC_P::Actinobacteriota,18,0.02415335783856598,0.004941668764659624
BAC_P::Actinobacteriota,19,0.02415335783856598,0.0013151738311466543
BAC_P::Actinobacteriota,20,0.028971503000516097,0.00387086763803135
BAC_P::Actinobacteriota,21,0.019235943416908985,0.0008405392054472993
BAC_P::Actinobacteriota,22,0.019235943416908985,0.000496445646914756
BAC_P::Actinobacteriota,23,0.019235943416908985,0.0026825077965295097
BAC_P::Actinobacteriota,24,0.009989751146855907,0.0009723491729304312
BAC_P::Actinobacteriota,25,0.019235943416908985,-0.0012427402138693866
BAC_P::Actinobacteriota,26,0.019235943416908985,0.0012615326415394423
BAC_P::Actinobacteriota,27,0.02415335783856598,0.0066011723197264005
BAC_P::Actinobacteriota,28,0.033694064046601024,0.0007385705201032322
BAC_P::Actinobacteriota,29,0.009989751146855907,-0.002225434523688674
BAC_P::Actinobacteriota,30,0.019235943416908985,0.005159654437726646
BAC_P::Armatimonadota,1,0.0,-0.0002218466334451552
BAC_P::Armatimonadota,2,0.0,3.6326026334410066e-05
BAC_P::Armatimonadota,3,0.0,0.00027411199550347876
BAC_P::Armatimonadota,4,0.0,0.0011719778086152766
BAC_P::Armatimonadota,5,0.0,-0.0008726340243818687
BAC_P::Armatimonadota,6,0.0,-0.0009660747411912585
BAC_P::Armatimonadota,7,0.0,-0.0010163783507375346
BAC_P::Armatimonadota,8,0.0,-0.0017540968229730614
BAC_P::Armatimonadota,9,0.0,-0.002913392474642562
BAC_P::Armatimonadota,10,0.0,0.0029712352976898337
BAC_P::Armatimonadota,11,0.0,0.0017902749601650947
BAC_P::Armatimonadota,12,0.0,-0.0007115218576956295
BAC_P::Armatimonadota,13,0.0,0.0013907309178711746
BAC_P::Armatimonadota,14,0.0,-0.0024965959804543747
BAC_P::Armatimonadota,15,0.0,-0.00048626771411947045
BAC_P::Armatimonadota,16,0.0,0.0019159942545415865
BAC_P::Armatimonadota,17,0.0,-0.0025648452279257716
BAC_P::Armatimonadota,18,0.0,0.001322363212897304
BAC_P::Armatimonadota,19,0.0,-0.00020750085877691005
BAC_P::Armatimonadota,20,0.0,0.0015613217308855787
