Rank,Feature,Block,Taxon,CV folds containing feature,Multilabel MCC mean drop,Multilabel MCC SD,Micro-AUPR mean drop,Micro-AUPR SD
1,BAC_O::Anaerolineales,BAC_O,Anaerolineales,5,0.00947691499410878,0.006815749426457603,0.007173543892870769,0.004546631385243702
2,BAC_P::Planctomycetota,BAC_P,Planctomycetota,5,0.00879280812646369,0.008146904857962853,0.007113597212910914,0.0059688575947277715
3,BAC_O::Clostridia,BAC_O,Clostridia,5,0.015609657979459596,0.006160821283982169,0.007112515703079135,0.004929896236224396
4,BAC_P::Chloroflexi,BAC_P,Chloroflexi,5,0.006319050466638828,0.005765842769749542,0.007052337899467703,0.007203227500238099
5,BAC_O::Oscillospirales,BAC_O,Oscillospirales,5,-0.001088059786188672,0.006692684175833861,0.00677812298002772,0.0030341789975325832
6,ARC_G::Candidatus_Methanofastidiosum,ARC_G,Candidatus_Methanofastidiosum,5,0.0018502309406485673,0.0024732500442290316,0.006260275637521601,0.003434055569784018
7,BAC_O::MBA03,BAC_O,MBA03,5,0.00746914503456587,0.008588507660480083,0.0060929256375660025,0.006350244200958936
8,BAC_O::Rhizobiales,BAC_O,Rhizobiales,5,0.01338307770901298,0.006058711972025344,0.00493556247557263,0.005705407157458536
9,BAC_O::Caldicoprobacterales,BAC_O,Caldicoprobacterales,5,0.0035536897632699625,0.010063620141115443,0.004733678490047038,0.005188186276465018
10,BAC_P::Firmicutes,BAC_P,Firmicutes,5,0.014272501412067227,0.008104730660472171,0.00397537499732867,0.006656627092271451
11,BAC_O::Spirochaetales,BAC_O,Spirochaetales,5,0.03537546302340481,0.014896908803465808,0.0039620507683652325,0.002643055810532716
12,ARC_O::Methanofastidiosales,ARC_O,Methanofastidiosales,5,0.005857560786629569,0.008482658676684036,0.003670043386885448,0.004287663618892183
13,BAC_P::Spirochaetota,BAC_P,Spirochaetota,5,0.03651850822146899,0.015371474740367876,0.0035166226377439064,0.00298926349882224
14,BAC_P::Synergistota,BAC_P,Synergistota,5,0.010789223461961267,0.006711166393277349,0.003431467777886871,0.0023553225911084924
15,BAC_O::Synergistales,BAC_O,Synergistales,5,0.0010092168767174003,0.0020529393940207554,0.003218821272530927,0.003077906790682181
16,BAC_O::Syntrophorhabdales,BAC_O,Syntrophorhabdales,5,0.0,0.0,0.0030140665024848876,0.0022601882307376826
17,BAC_O::unidentified,BAC_O,unidentified,5,0.02592741025141974,0.020317287177577924,0.0030085521231736486,0.0035043997076207784
18,BAC_O::Eubacteriales,BAC_O,Eubacteriales,5,0.0023514254583299975,0.0028736297404394384,0.0024485917054782665,0.001278451444116739
19,BAC_O::Xanthomonadales,BAC_O,Xanthomonadales,5,0.011795038544299842,0.006816283463590452,0.0022750569759273126,0.004157494025877207
20,BAC_P::Verrucomicrobiota,BAC_P,Verrucomicrobiota,5,-0.0003647867503328165,0.0035290562172225013,0.002245094687362966,0.0018526231867611665
21,BAC_P::Desulfobacterota,BAC_P,Desulfobacterota,5,0.006658437659833927,0.007213693363382772,0.0021037191317236875,0.002231242393609885
22,BAC_O::Micrococcales,BAC_O,Micrococcales,5,0.0046618838685327565,0.0050689621992826865,0.00204150980856533,0.005035094913484076
23,BAC_O::Thermacetogeniales,BAC_O,Thermacetogeniales,5,0.0006728112511449336,0.0017446630050558637,0.0018961337406641612,0.0008831150373836925
24,BAC_O::Syntrophales,BAC_O,Syntrophales,5,0.0,0.0,0.0015995005572071509,0.002753362311203382
25,BAC_O::Lactobacillales,BAC_O,Lactobacillales,5,-0.005100858121597044,0.006362844483530435,0.0015883316752429914,0.001597525897378317
26,BAC_O::Desulfovibrionales,BAC_O,Desulfovibrionales,5,0.008529223494697901,0.007083134578969803,0.0015452758938406586,0.0018335036600830128
27,BAC_O::Coriobacteriales,BAC_O,Coriobacteriales,5,0.003407507416708444,0.005795670910549671,0.0015351030022342448,0.0011873259448297719
28,BAC_P::Actinobacteriota,BAC_P,Actinobacteriota,5,0.020598514763271458,0.0063836996251009455,0.0015109370589344306,0.002321492292915736
29,BAC_P::Proteobacteria,BAC_P,Proteobacteria,5,0.006344571605101701,0.011389273202963806,0.0014854859058574847,0.006522463094388857
30,BAC_O::Rhodobacterales,BAC_O,Rhodobacterales,5,0.0028594478173659676,0.002543261513799246,0.0014550434917684762,0.0035894534924307848
31,BAC_O::Dethiobacterales,BAC_O,Dethiobacterales,5,-0.00032774154644110156,0.006425873427581443,0.0014302840058682616,0.0013549947261016178
32,BAC_O::Pirellulales,BAC_O,Pirellulales,5,0.0,0.0,0.0013282809034464197,0.0008664893709013921
33,ARC_G::Bathyarchaeia,ARC_G,Bathyarchaeia,5,0.014140522988765341,0.007061861752792176,0.0013010280606447933,0.0022169126927195364
34,BAC_O::Limnochordales,BAC_O,Limnochordales,5,-0.0027515548946954777,0.002934069061498966,0.0012734999242336232,0.0012504413960086206
35,BAC_O::Christensenellales,BAC_O,Christensenellales,5,0.0033681451144937794,0.010003492584998927,0.0011720000199405,0.0023374178065818877
36,BAC_O::JS1,BAC_O,JS1,5,0.0,0.0,0.0010074698216783657,0.0008219036886839325
37,ARC_G::Methanospirillum,ARC_G,Methanospirillum,5,-0.0041657119718476006,0.005145238865368643,0.0009967766945023345,0.001623730359120719
38,BAC_O::Caldisericales,BAC_O,Caldisericales,5,0.019967019979840104,0.010386655468044355,0.0009659442028879195,0.0020563076803763536
39,BAC_O::Erysipelotrichales,BAC_O,Erysipelotrichales,5,-0.011345788133172725,0.005546973021834978,0.0009654910514261206,0.0009102388934528632
40,BAC_O::Lachnospirales,BAC_O,Lachnospirales,5,0.0101770945567201,0.012208552142763405,0.0009523091314498688,0.0026487006689869517
41,BAC_O::D8A-2,BAC_O,D8A-2,5,-0.006862249211563424,0.008059824931366177,0.0009093146126313457,0.003917253632413737
42,BAC_O::WS1,BAC_O,WS1,5,0.003364056255724668,0.0024194122781284635,0.0008494786857877837,0.001529550528400946
43,ARC_G::Methanocorpusculum,ARC_G,Methanocorpusculum,5,0.0,0.0,0.0008425478552384328,0.0007243888140761466
44,BAC_O::Marinimicrobia_(SAR406_clade),BAC_O,Marinimicrobia_(SAR406_clade),5,0.0,0.0,0.0007166071389056968,0.000382422298370914
45,BAC_O::Kapabacteriales,BAC_O,Kapabacteriales,5,0.0,0.0,0.0006768131288957942,0.0005139560647951397
46,ARC_O::Methanosarciniales,ARC_O,Methanosarciniales,5,0.0018051557653776436,0.007233974949219841,0.0006641258731855634,0.0019077248618303633
47,BAC_O::MAT-CR-H4-C10,BAC_O,MAT-CR-H4-C10,5,0.0001682028127862334,0.0009212847479883841,0.0006353020783178102,0.0005411375831231535
48,ARC_G::Methanomassiliicoccus,ARC_G,Methanomassiliicoccus,5,0.004002460860261355,0.004644227802485387,0.0005922155302692689,0.0007885668447971161
49,BAC_O::Bacillales,BAC_O,Bacillales,5,0.0,0.0,0.0005743881315082004,0.0006320812298694769
50,BAC_P::Caldisericota,BAC_P,Caldisericota,5,0.009416580944715737,0.007246404307691049,0.0005499471302379877,0.0024446717634981478
51,BAC_O::Limnochordia,BAC_O,Limnochordia,5,0.0,0.0,0.0005135962078169927,0.00045280789553012277
52,BAC_O::M55-D21,BAC_O,M55-D21,5,0.0003364056255724668,0.00128023264137283,0.00046542418609863225,0.0012313715270819159
53,BAC_O::Hydrogenedentiales,BAC_O,Hydrogenedentiales,5,0.0,0.0,0.0004504233892725714,0.0011548279773385868
54,BAC_O::Chitinophagales,BAC_O,Chitinophagales,5,-0.0005152513601438313,0.001572179141270314,0.00043600626160593495,0.002335932967721071
55,BAC_O::Chthonomonadales,BAC_O,Chthonomonadales,5,0.0,0.0,0.0004080226841031228,0.00016224524671443603
56,BAC_O::Syntrophomonadales,BAC_O,Syntrophomonadales,5,0.0010092168767174003,0.0020529393940207554,0.0003708037615415346,0.003595508196592421
57,BAC_O::Gaiellales,BAC_O,Gaiellales,5,0.0,0.0,0.00034067541985624745,0.0004788311168877312
58,ARC_O::Methanomethyliales,ARC_O,Methanomethyliales,5,0.0,0.0,0.00031937416261699955,0.00013416069989228514
59,ARC_O::Nitrososphaerales,ARC_O,Nitrososphaerales,5,0.0,0.0,0.00029042120016424257,0.0008697892767656345
