SampleID,Site,SiteGroup,split,cv_validation_fold
1-1,BSS,BSS,train,2.0
2-1,BSS,BSS,train,2.0
3-1,BSS,BSS,train,2.0
4-1,BSS,BSS,train,2.0
1-2,BSN,BSN,train,3.0
2-2,BSN,BSN,train,3.0
3-2,BSN,BSN,train,3.0
4-2,BSN,BSN,train,3.0
1-3,BSI,BSI,train,4.0
2-3,BSI,BSI,train,4.0
3-3,BSI,BSI,train,4.0
4-3,BSI,BSI,train,4.0
1-3b,BSIb,BSI,train,4.0
1-4,BSO,BSO,train,1.0
2-4,BSO,BSO,train,1.0
3-4,BSO,BSO,train,1.0
4-4,BSO,BSO,train,1.0
1-5,BSE,BSE,train,5.0
2-5,BSE,BSE,train,5.0
3-5,BSE,BSE,train,5.0
4-5,BSE,BSE,train,5.0
1-6,DGG,DGG,train,1.0
2-6,DGG,DGG,train,1.0
3-6,DGG,DGG,train,1.0
4-6,DGG,DGG,train,1.0
1-7,DGD,DGD,train,2.0
2-7,DGD,DGD,train,2.0
3-7,DGD,DGD,train,2.0
4-7,DGD,DGD,train,2.0
1-8,DGJ,DGJ,train,1.0
2-8,DGJ,DGJ,train,1.0
3-8,DGJ,DGJ,train,1.0
4-8,DGJ,DGJ,train,1.0
1-9,DGB,DGB,train,5.0
2-9,DGB,DGB,train,5.0
3-9,DGB,DGB,train,5.0
4-9,DGB,DGB,train,5.0
1-10,DGC,DGC,train,5.0
2-10,DGC,DGC,train,5.0
3-10,DGC,DGC,train,5.0
4-10,DGC,DGC,train,5.0
1-11,DGY,DGY,test,
2-11,DGY,DGY,test,
3-11,DGY,DGY,test,
4-11,DGY,DGY,test,
1-11b,DGYb,DGY,test,
1-12,USO,USO,train,3.0
2-12,USO,USO,train,3.0
3-12,USO,USO,train,3.0
4-12,USO,USO,train,3.0
1-13,USY,USY,train,3.0
2-13,USY,USY,train,3.0
3-13,USY,USY,train,3.0
4-13,USY,USY,train,3.0
1-14,USJ,USJ,train,1.0
2-14,USJ,USJ,train,1.0
3-14,USJ,USJ,train,1.0
4-14,USJ,USJ,train,1.0
1-15,GSG,GSG,train,1.0
2-15,GSG,GSG,train,1.0
3-15,GSG,GSG,train,1.0
4-15,GSG,GSG,train,1.0
1-16,GCG,GCG,train,1.0
2-16,GCG,GCG,train,1.0
3-16,GCG,GCG,train,1.0
4-16,GCG,GCG,train,1.0
1-17,MGY,MGY,train,3.0
2-17,MGY,MGY,train,3.0
3-17,MGY,MGY,train,3.0
4-17,MGY,MGY,train,3.0
1-18,ADA,ADA,train,4.0
2-18,ADA,ADA,train,4.0
3-18,ADA,ADA,train,4.0
4-18,ADA,ADA,train,4.0
1-19,ADP,ADP,train,5.0
2-19,ADP,ADP,train,5.0
3-19,ADP,ADP,train,5.0
1-20,YCG,YCG,train,4.0
2-20,YCG,YCG,train,4.0
3-20,YCG,YCG,train,4.0
1-21,YCD,YCD,test,
2-21,YCD,YCD,test,
3-21,YCD,YCD,test,
4-21,YCD,YCD,test,
1-22,UJG,UJG,test,
2-22,UJG,UJG,test,
3-22,UJG,UJG,test,
4-22,UJG,UJG,test,
1-23,CGS,CGS,train,5.0
2-23,CGS,CGS,train,5.0
3-23,CGS,CGS,train,5.0
4-23,CGS,CGS,train,5.0
1-24,GHGa,GHGa,train,3.0
2-24,GHGa,GHGa,train,3.0
3-24,GHGa,GHGa,train,3.0
1-25,GHGb,GHGb,train,3.0
2-25,GHGb,GHGb,train,3.0
3-25,GHGb,GHGb,train,3.0
4-25,GHGb,GHGb,train,3.0
1-26,GHH,GHH,train,2.0
2-26,GHH,GHH,train,2.0
3-26,GHH,GHH,train,2.0
4-26,GHH,GHH,train,2.0
1-27,GHJ,GHJ,train,5.0
2-27,GHJ,GHJ,train,5.0
3-27,GHJ,GHJ,train,5.0
4-27,GHJ,GHJ,train,5.0
1-28,MYS,MYS,test,
2-28,MYS,MYS,test,
3-28,MYS,MYS,test,
4-28,MYS,MYS,test,
1-29,SCH,SCH,test,
2-29,SCH,SCH,test,
3-29,SCH,SCH,test,
4-29,SCH,SCH,test,
1-30,YSD,YSD,test,
2-30,YSD,YSD,test,
3-30,YSD,YSD,test,
4-30,YSD,YSD,test,
1-31,YSY,YSY,train,4.0
2-31,YSY,YSY,train,4.0
3-31,YSY,YSY,train,4.0
4-31,YSY,YSY,train,4.0
1-32,JJN,JJN,train,4.0
2-32,JJN,JJN,train,4.0
3-32,JJN,JJN,train,4.0
4-32,JJN,JJN,train,4.0
2-32',JJY,JJY,train,2.0
3-32',JJY,JJY,train,2.0
4-32',JJY,JJY,train,2.0
1-33,CWM,CWM,test,
2-33,CWM,CWM,test,
3-33,CWM,CWM,test,
4-33,CWM,CWM,test,
1-34,CWS,CWS,train,2.0
2-34,CWS,CWS,train,2.0
3-34,CWS,CWS,train,2.0
4-34,CWS,CWS,train,2.0
