fold,feature
1,BAC_G::009E01-B-SD-P15
1,BAC_G::0319-6G20
1,BAC_G::1-20
1,BAC_G::113B434
1,BAC_G::67-14
1,BAC_G::A0839
1,BAC_G::A21b
1,BAC_G::AAP99
1,BAC_G::ADurb.Bin063-1
1,BAC_G::ADurb.Bin063-2
1,BAC_G::ADurb.Bin118
1,BAC_G::ADurb.Bin120
1,BAC_G::AKYH767
1,BAC_G::AUTHM297
1,BAC_G::Absconditabacteriales_(SR1)
1,BAC_G::Acetitomaculum
1,BAC_G::Acetivibrio
1,BAC_G::Acetoanaerobium
1,BAC_G::Acetobacter
1,BAC_G::Acetomicrobium
1,BAC_G::Acetothermiia
1,BAC_G::Acholeplasma
1,BAC_G::Achromobacter
1,BAC_G::Acidibacter
1,BAC_G::Acidovorax
1,BAC_G::Acinetobacter
1,BAC_G::Actinomyces
1,BAC_G::Aeriscardovia
1,BAC_G::Aeromonas
1,BAC_G::Ahniella
1,BAC_G::Alcaligenes
1,BAC_G::Alkaliphilus
1,BAC_G::Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
1,BAC_G::Aminicenantales
1,BAC_G::Aminobacterium
1,BAC_G::Amnipila
1,BAC_G::Amphibacillus
1,BAC_G::Anaerococcus
1,BAC_G::Anaerocolumna
1,BAC_G::Anaerofustis
1,BAC_G::Anaeromyxobacter
1,BAC_G::Anaerovorax
1,BAC_G::Aquabacterium
1,BAC_G::Aquicella
1,BAC_G::Aquimonas
1,BAC_G::Arcobacter
1,BAC_G::Arenimonas
1,BAC_G::Atopobium
1,BAC_G::Azospira
1,BAC_G::B1-7BS
1,BAC_G::B55-F-B-G02
1,BAC_G::BBMC-4
1,BAC_G::BD1-7_clade
1,BAC_G::BRH-c20a
1,BAC_G::BSV13
1,BAC_G::Babeliales
1,BAC_G::Bacillus
1,BAC_G::Bacteroidales_UCG-001
1,BAC_G::Bacteroides
1,BAC_G::Bacteroidetes_BD2-2
1,BAC_G::Bacteroidetes_VC2.1_Bac22
1,BAC_G::Bacteroidetes_vadinHA17
1,BAC_G::Bdellovibrio
1,BAC_G::Bifidobacterium
1,BAC_G::Blastopirellula
1,BAC_G::Brachymonas
1,BAC_G::Bradyrhizobium
1,BAC_G::Burkholderia-Caballeronia-Paraburkholderia
1,BAC_G::Butyrivibrio
1,BAC_G::C1-B045
1,BAC_G::CI75cm.2.12
1,BAC_G::CK-2C2-2
1,BAC_G::Caldicoprobacter
1,BAC_G::Caldisericum
1,BAC_G::Candidatus_Accumulibacter
1,BAC_G::Candidatus_Anammoximicrobium
1,BAC_G::Candidatus_Berkiella
1,BAC_G::Candidatus_Caldatribacterium
1,BAC_G::Candidatus_Cloacimonas
1,BAC_G::Candidatus_Competibacter
1,BAC_G::Candidatus_Obscuribacter
1,BAC_G::Candidatus_Omnitrophus
1,BAC_G::Candidatus_Peregrinibacteria
1,BAC_G::Candidatus_Saccharimonas
1,BAC_G::Candidatus_Soleaferrea
1,BAC_G::Candidatus_Solibacter
1,BAC_G::Caproiciproducens
1,BAC_G::Caulobacter
1,BAC_G::Cetobacterium
1,BAC_G::Chishuiella
1,BAC_G::Chryseobacterium
1,BAC_G::Chthonomonadales
1,BAC_G::Chujaibacter
1,BAC_G::Cloacibacterium
1,BAC_G::Cloacimonadaceae
1,BAC_G::Cloacimonadales
1,BAC_G::Clostridia_UCG-014
1,BAC_G::Clostridium_sensu_stricto_1
1,BAC_G::Clostridium_sensu_stricto_15
1,BAC_G::Clostridium_sensu_stricto_8
1,BAC_G::Comamonas
1,BAC_G::Coprothermobacter
1,BAC_G::Crassaminicella
1,BAC_G::Crenothrix
1,BAC_G::Cryptanaerobacter
1,BAC_G::D8A-2
1,BAC_G::DEV007
1,BAC_G::DEV114
1,BAC_G::DMER64
1,BAC_G::DS-100
1,BAC_G::DTU014
1,BAC_G::Dechloromonas
1,BAC_G::Defluviicoccus
1,BAC_G::Defluviitalea
1,BAC_G::Defluviitoga
1,BAC_G::Dehalobacter
1,BAC_G::Delftia
1,BAC_G::Denitratisoma
1,BAC_G::Denitrobacterium
1,BAC_G::Dermatophilus
1,BAC_G::Desulfitibacter
1,BAC_G::Desulfobulbus
1,BAC_G::Desulfomicrobium
1,BAC_G::Desulfovibrio
1,BAC_G::Dethiobacter
1,BAC_G::Devosia
1,BAC_G::Dialister
1,BAC_G::Dietzia
1,BAC_G::Dokdonella
1,BAC_G::Dongia
1,BAC_G::Dysgonomonadaceae
1,BAC_G::EBM-39
1,BAC_G::Ellin6067
1,BAC_G::Empedobacter
1,BAC_G::Endomicrobium
1,BAC_G::Enhydrobacter
1,BAC_G::Enterococcus
1,BAC_G::Ercella
1,BAC_G::Erysipelothrix
1,BAC_G::Erysipelotrichaceae_UCG-007
1,BAC_G::Exilispira
1,BAC_G::F082
1,BAC_G::FTLpost3
1,BAC_G::Fastidiosipila
1,BAC_G::Fermentibacteraceae
1,BAC_G::Fermentimonas
1,BAC_G::Ferribacterium
1,BAC_G::Ferruginibacter
1,BAC_G::Fervidobacterium
1,BAC_G::Fibrobacter
1,BAC_G::Filomicrobium
1,BAC_G::Fimbriimonadaceae
1,BAC_G::Flavobacterium
1,BAC_G::Flexilinea
1,BAC_G::Fonticella
1,BAC_G::Frisingicoccus
1,BAC_G::Fusibacter
1,BAC_G::Fusobacterium
1,BAC_G::GWE2-31-10
1,BAC_G::GWE2-42-42
1,BAC_G::GZKB124
1,BAC_G::GZKB75
1,BAC_G::Galbitalea
1,BAC_G::Gallicola
1,BAC_G::Gelria
1,BAC_G::Georgenia
1,BAC_G::Globicatella
1,BAC_G::Gluconobacter
1,BAC_G::Gracilibacter
1,BAC_G::Guggenheimella
1,BAC_G::H1
1,BAC_G::HN-HF0106
1,BAC_G::HOC36
1,BAC_G::Haliangium
1,BAC_G::Halocella
1,BAC_G::Herbinix
1,BAC_G::Holophaga
1,BAC_G::Hungateiclostridiaceae
1,BAC_G::Hungateiclostridium
1,BAC_G::Hydrogenedensaceae
1,BAC_G::Hydrogenispora
1,BAC_G::Hydrogenophaga
1,BAC_G::Hydrothermae
1,BAC_G::Hyphomicrobium
1,BAC_G::Hypnocyclicus
1,BAC_G::IMCC26207
1,BAC_G::IMCC26256
1,BAC_G::Iamia
1,BAC_G::Ignatzschineria
1,BAC_G::Ignavibacterium
1,BAC_G::Inhella
1,BAC_G::Irregularibacter
1,BAC_G::Izemoplasmataceae
1,BAC_G::Izemoplasmatales
1,BAC_G::JG36-GS-52
1,BAC_G::JGI-0000079-D21
1,BAC_G::JGI_0001001-H03
1,BAC_G::JS1
1,BAC_G::Janthinobacterium
1,BAC_G::KCLunmb-38-53
1,BAC_G::Kapabacteriales
1,BAC_G::Keratinibaculum
1,BAC_G::Koukoulia
1,BAC_G::LD1-PA32
1,BAC_G::LD1-PB3
1,BAC_G::LF045
1,BAC_G::LNR_A2-18
1,BAC_G::Lachnoclostridium
1,BAC_G::Lachnospira
1,BAC_G::Lachnospiraceae_UCG-004
1,BAC_G::Lactivibrio
1,BAC_G::Lactobacillus
1,BAC_G::Lactococcus
1,BAC_G::Lautropia
1,BAC_G::Lawsonella
1,BAC_G::Leeia
1,BAC_G::Lentimicrobiaceae
1,BAC_G::Lentimicrobium
1,BAC_G::Leptotrichia
1,BAC_G::Leuconostoc
1,BAC_G::Limnobacter
1,BAC_G::Limnochordaceae
1,BAC_G::Limnochordia
1,BAC_G::Longilinea
1,BAC_G::Longivirga
1,BAC_G::Luteimonas
1,BAC_G::Lutispora
1,BAC_G::M55-D21
1,BAC_G::MAT-CR-H4-C10
1,BAC_G::MBA03
1,BAC_G::MM2
1,BAC_G::MVP-15
1,BAC_G::Macellibacteroides
1,BAC_G::Marinilabiliaceae
1,BAC_G::Marinimicrobia_(SAR406_clade)
1,BAC_G::Mariniphaga
1,BAC_G::Megasphaera
1,BAC_G::Membranicola
1,BAC_G::Mesotoga
1,BAC_G::Methylocella
1,BAC_G::Methyloglobulus
1,BAC_G::Methyloparacoccus
1,BAC_G::Methylotenera
1,BAC_G::Methyloversatilis
1,BAC_G::MgMjR-022
1,BAC_G::Microbacterium
1,BAC_G::Microvirgula
1,BAC_G::Mogibacterium
1,BAC_G::Monoglobus
1,BAC_G::Moorella
1,BAC_G::Moraxellaceae
1,BAC_G::Morganella
1,BAC_G::Mycobacterium
1,BAC_G::Myroides
1,BAC_G::NK-L14
1,BAC_G::NKB15
1,BAC_G::Natronincola
1,BAC_G::Niabella
1,BAC_G::Nitrosomonas
1,BAC_G::Nitrospira
1,BAC_G::Novosphingobium
1,BAC_G::OLB12
1,BAC_G::OLB14
1,BAC_G::OLB8
1,BAC_G::OPB41
1,BAC_G::Oligella
1,BAC_G::Olsenella
1,BAC_G::Ornithinibacter
1,BAC_G::Oscillospira
1,BAC_G::PHOS-HE36
1,BAC_G::PLTA13
1,BAC_G::Paludibacter
1,BAC_G::Paludibaculum
1,BAC_G::Pantoea
1,BAC_G::Papillibacter
1,BAC_G::Parabacteroides
1,BAC_G::Paracoccus
1,BAC_G::PeH15
1,BAC_G::PeM15
1,BAC_G::Pedosphaeraceae
1,BAC_G::Pelotomaculum
1,BAC_G::Peptoclostridium
1,BAC_G::Peptoniphilus
1,BAC_G::Peptostreptococcus
1,BAC_G::Petrimonas
1,BAC_G::Phaeodactylibacter
1,BAC_G::Pir4_lineage
1,BAC_G::Pirellula
1,BAC_G::Pla3_lineage
1,BAC_G::Planctomicrobium
1,BAC_G::Prevotella
1,BAC_G::Prevotellaceae_UCG-001
1,BAC_G::Propionispira
1,BAC_G::Propionivibrio
1,BAC_G::Proteiniborus
1,BAC_G::Proteiniphilum
1,BAC_G::Proteocatella
1,BAC_G::Proteus
1,BAC_G::Providencia
1,BAC_G::Pseudarcobacter
1,BAC_G::Pseudobacteroides
1,BAC_G::Pseudomonas
1,BAC_G::Pseudoramibacter
1,BAC_G::Pseudoscardovia
1,BAC_G::Pseudoxanthomonas
1,BAC_G::Psychrobacter
1,BAC_G::RBG-13-54-9
1,BAC_G::RBG-16-49-21
1,BAC_G::RBG-16-55-12
1,BAC_G::Raoultibacter
1,BAC_G::Reyranella
1,BAC_G::Rhodanobacter
1,BAC_G::Rhodobacter
1,BAC_G::Rhodoferax
1,BAC_G::Rivicola
1,BAC_G::Roseimarinus
1,BAC_G::Roseomonas
1,BAC_G::Rubellimicrobium
1,BAC_G::Ruminiclostridium
1,BAC_G::Ruminococcus
1,BAC_G::Ruminofilibacter
1,BAC_G::Run-SP154
1,BAC_G::S15A-MN91
1,BAC_G::SB-5
1,BAC_G::SBR1031
1,BAC_G::SC-I-84
1,BAC_G::SC103
1,BAC_G::SH-PL14
1,BAC_G::SHA-41
1,BAC_G::SJA-15
1,BAC_G::SJA-28
1,BAC_G::SM1A02
1,BAC_G::SN8
1,BAC_G::SRB2
1,BAC_G::ST-12K33
1,BAC_G::SWB02
1,BAC_G::Saccharimonadales
1,BAC_G::Saccharofermentans
1,BAC_G::Sedimentibacter
1,BAC_G::Serratia
1,BAC_G::Shinella
1,BAC_G::Shuttleworthia
1,BAC_G::Simplicispira
1,BAC_G::Smithella
1,BAC_G::Soehngenia
1,BAC_G::Sphaerochaeta
1,BAC_G::Sphingobacterium
1,BAC_G::Sphingomonas
1,BAC_G::Sphingopyxis
1,BAC_G::Spirochaeta
1,BAC_G::Sporanaerobacter
1,BAC_G::Stenotrophomonas
1,BAC_G::Streptococcus
1,BAC_G::Succiniclasticum
1,BAC_G::Sulfuritalea
1,BAC_G::Sumerlaea
1,BAC_G::Sutterella
1,BAC_G::Sva0485
1,BAC_G::Symbiobacterium
1,BAC_G::Syner-01
1,BAC_G::Syntrophaceticus
1,BAC_G::Syntrophobacter
1,BAC_G::Syntrophococcus
1,BAC_G::Syntrophomonas
1,BAC_G::Syntrophorhabdus
1,BAC_G::Syntrophotalea
1,BAC_G::Syntrophothermus
1,BAC_G::Syntrophus
1,BAC_G::TA06
1,BAC_G::TPD-58
1,BAC_G::TTA-B1
1,BAC_G::Tepidanaerobacter
1,BAC_G::Tepidimicrobium
1,BAC_G::Terrimonas
1,BAC_G::Tetrasphaera
1,BAC_G::Thauera
1,BAC_G::Thermoanaerobaculum
1,BAC_G::Thermomonas
1,BAC_G::Thermovirga
1,BAC_G::Thermus
1,BAC_G::Thioclava
1,BAC_G::Thiopseudomonas
1,BAC_G::Tissierella
1,BAC_G::Tolumonas
1,BAC_G::Treponema
1,BAC_G::Trichococcus
1,BAC_G::Truepera
1,BAC_G::U29-B03
1,BAC_G::UCG-002
1,BAC_G::UCG-004
1,BAC_G::UCG-009
1,BAC_G::UCG-010
1,BAC_G::UCG-012
1,BAC_G::Uliginosibacterium
1,BAC_G::Uruburuella
1,BAC_G::Vermiphilaceae
1,BAC_G::Vibrio
1,BAC_G::Vulcanibacillus
1,BAC_G::W27
1,BAC_G::W5
1,BAC_G::W5053
1,BAC_G::WCHB1-02
1,BAC_G::WCHB1-41
1,BAC_G::WCHB1-81
1,BAC_G::WPS-2
1,BAC_G::WS1
1,BAC_G::WWE3
1,BAC_G::Weissella
1,BAC_G::Wohlfahrtiimonas
1,BAC_G::XBB1006
1,BAC_G::Z20
1,BAC_G::Z4MB62
1,BAC_G::Zixibacteria
1,BAC_G::Zoogloea
1,BAC_G::c5LKS83
1,BAC_G::cvE6
1,BAC_G::horsej-a03
1,BAC_G::p-251-o5
1,BAC_G::unidentified
1,ARC_G::Aenigmarchaeales
1,ARC_G::Bathyarchaeia
1,ARC_G::Candidatus_Methanofastidiosum
1,ARC_G::Candidatus_Methanogranum
1,ARC_G::Candidatus_Methanomethylicus
1,ARC_G::Candidatus_Methanomethylophilus
1,ARC_G::Candidatus_Methanoplasma
1,ARC_G::Candidatus_Nitrocosmicus
1,ARC_G::Lokiarchaeia
1,ARC_G::Methanimicrococcus
1,ARC_G::Methanocorpusculum
1,ARC_G::Methanoculleus
1,ARC_G::Methanofollis
1,ARC_G::Methanogenium
1,ARC_G::Methanohalophilus
1,ARC_G::Methanolinea
1,ARC_G::Methanomassiliicoccus
1,ARC_G::Methanomethylovorans
1,ARC_G::Methanoregula
1,ARC_G::Methanosaeta
1,ARC_G::Methanosarcina
1,ARC_G::Methanosphaerula
1,ARC_G::Methanospirillum
1,ARC_G::Micrarchaeales
1,ARC_G::Nitrososphaeraceae
1,ARC_G::Rhinosporideacae
1,ARC_G::RumEn_M2
1,ARC_G::SCGC_AAA011-D5
1,ARC_G::Teleostei
1,ARC_G::Veneroida
1,ARC_G::Woesearchaeales
1,ARC_G::unidentified
2,BAC_G::009E01-B-SD-P15
2,BAC_G::0319-6G20
2,BAC_G::053A03-B-DI-P58
2,BAC_G::1-20
2,BAC_G::113B434
2,BAC_G::37-13
2,BAC_G::4572-13
2,BAC_G::67-14
2,BAC_G::A0839
2,BAC_G::A21b
2,BAC_G::AAP99
2,BAC_G::ADurb.Bin063-1
2,BAC_G::ADurb.Bin063-2
2,BAC_G::ADurb.Bin118
2,BAC_G::ADurb.Bin120
2,BAC_G::AKYH767
2,BAC_G::AUTHM297
2,BAC_G::Absconditabacteriales_(SR1)
2,BAC_G::Acetitomaculum
2,BAC_G::Acetivibrio
2,BAC_G::Acetoanaerobium
2,BAC_G::Acetobacterium
2,BAC_G::Acetobacteroides
2,BAC_G::Acetomicrobium
2,BAC_G::Acetothermiia
