Model,target,feature,importance,domain,taxonomic_level
RandomForest,warning_acid_base_balance,BAC_G::009E01-B-SD-P15,0.0081694482122016,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::0319-6G20,0.0024908658563192,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::053A03-B-DI-P58,0.0,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::1-20,3.639288809042225e-18,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::113B434,0.0001169774591894,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::37-13,0.0,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::4572-13,0.0,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::67-14,7.05884297395824e-18,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::A0839,0.0008157588725805,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::A21b,0.0,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::AAP99,0.003094686428368,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::ADurb.Bin063-1,0.0034484670457214,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::ADurb.Bin063-2,0.0010029464025425,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::ADurb.Bin118,0.000406742850779,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::ADurb.Bin120,0.0009383970266334,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::AKYH767,0.0015137263308128,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::AUTHM297,0.0007120681032277,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Absconditabacteriales_(SR1),0.0024178482310974,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acetitomaculum,0.001022374033017,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acetivibrio,0.0,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acetoanaerobium,0.0,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acetobacter,0.0010841061806749,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acetobacterium,4.980926444505596e-18,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acetobacteroides,0.0,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acetomicrobium,0.0064325829868445,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acetothermiia,5.1435030209263294e-18,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acholeplasma,0.0104288166585273,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Achromobacter,0.0003076167731352,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acidaminococcus,0.0,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acidibacter,5.0246785983308024e-20,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acidovorax,0.0033505142062144,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Acinetobacter,0.0037485753648358,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Actinomyces,0.0014003524558613,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Aeriscardovia,0.0,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Aeromonas,8.214995443581149e-05,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Ahniella,0.0005453679597614,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Alcaligenes,0.0,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Alistipes,1.2567669913254964e-18,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Alkaliphilus,0.0077130102435126,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Alkanindiges,0.0,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.0011335530731817,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Aminicenantales,0.0060955199223539,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Aminobacterium,0.0083560442505136,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Amnipila,0.0005578165860579,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Amphibacillus,0.0014144405882951,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Anaerobacterium,5.177209225173125e-19,Bacteria,Genus
RandomForest,warning_acid_base_balance,BAC_G::Anaerococcus,0.0003671621900374,Bacteria,Genus
