,missing,missing_percent
BAC_G::009E01-B-SD-P15,0,0.0
BAC_G::0319-6G20,0,0.0
BAC_G::053A03-B-DI-P58,0,0.0
BAC_G::1-20,0,0.0
BAC_G::1013-28-CG33,0,0.0
BAC_G::11-24,0,0.0
BAC_G::113B434,0,0.0
BAC_G::32-520,0,0.0
BAC_G::37-13,0,0.0
BAC_G::4572-13,0,0.0
BAC_G::67-14,0,0.0
BAC_G::966-1,0,0.0
BAC_G::A0839,0,0.0
BAC_G::A21b,0,0.0
BAC_G::A4b,0,0.0
BAC_G::AAP99,0,0.0
BAC_G::AB1,0,0.0
BAC_G::ADurb.Bin063-1,0,0.0
BAC_G::ADurb.Bin063-2,0,0.0
BAC_G::ADurb.Bin118,0,0.0
BAC_G::ADurb.Bin120,0,0.0
BAC_G::ADurb.Bin180,0,0.0
BAC_G::ADurb.Bin408,0,0.0
BAC_G::AKIW659,0,0.0
BAC_G::AKYG1722,0,0.0
BAC_G::AKYH767,0,0.0
BAC_G::AUTHM297,0,0.0
BAC_G::Abditibacterium,0,0.0
BAC_G::Absconditabacteriales_(SR1),0,0.0
BAC_G::Acetitomaculum,0,0.0
BAC_G::Acetivibrio,0,0.0
BAC_G::Acetoanaerobium,0,0.0
BAC_G::Acetobacter,0,0.0
BAC_G::Acetobacterales,0,0.0
BAC_G::Acetobacterium,0,0.0
BAC_G::Acetobacteroides,0,0.0
BAC_G::Acetomicrobium,0,0.0
BAC_G::Acetonema,0,0.0
BAC_G::Acetothermiia,0,0.0
BAC_G::Acholeplasma,0,0.0
BAC_G::Achromobacter,0,0.0
BAC_G::Acidaminobacter,0,0.0
BAC_G::Acidaminococcus,0,0.0
BAC_G::Acidibacter,0,0.0
BAC_G::Acidovorax,0,0.0
BAC_G::Acinetobacter,0,0.0
BAC_G::Actinomarinales,0,0.0
BAC_G::Actinomyces,0,0.0
BAC_G::Advenella,0,0.0
BAC_G::Aequorivita,0,0.0
BAC_G::Aeriscardovia,0,0.0
BAC_G::Aeromonas,0,0.0
BAC_G::Aestuariimicrobium,0,0.0
BAC_G::Afipia,0,0.0
BAC_G::Agaricicola,0,0.0
BAC_G::Ahniella,0,0.0
BAC_G::Alcaligenes,0,0.0
BAC_G::Aliidiomarina,0,0.0
BAC_G::Alistipes,0,0.0
BAC_G::Alkaliphilus,0,0.0
BAC_G::Alkanindiges,0,0.0
BAC_G::Alloprevotella,0,0.0
BAC_G::Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0,0.0
BAC_G::Altererythrobacter,0,0.0
BAC_G::Alysiella,0,0.0
BAC_G::Amaricoccus,0,0.0
