domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
BAC,Genus,1-1-BSSG,1-1,BSSG,BSSG,BSS
BAC,Genus,1-10-DGDC,1-10,DGDC,DGDC,DGC
BAC,Genus,1-11-DGYSa,1-11,DGYSa,DGYSa,DGY
BAC,Genus,1-11b-DGYSb,1-11b,DGYSb,DGYSb,DGYb
BAC,Genus,1-12-USOS,1-12,USOS,USOS,USO
BAC,Genus,1-13-USYY,1-13,USYY,USYY,USY
BAC,Genus,1-14-USYJ,1-14,USYJ,USYJ,USJ
BAC,Genus,1-15-GSGA,1-15,GSGA,GSGA,GSG
BAC,Genus,1-16-GCGD,1-16,GCGD,GCGD,GCG
BAC,Genus,1-17-MGYS,1-17,MGYS,MGYS,MGY
BAC,Genus,1-18-ADAS,1-18,ADAS,ADAS,ADA
BAC,Genus,1-19-ADPC,1-19,ADPC,ADPC,ADP
BAC,Genus,1-2-BSNS,1-2,BSNS,BSNS,BSN
BAC,Genus,1-20-YCGH,1-20,YCGH,YCGH,YCG
BAC,Genus,1-21-YCDG,1-21,YCDG,YCDG,YCD
BAC,Genus,1-22-UJGN,1-22,UJGN,UJGN,UJG
BAC,Genus,1-23-CGSJ,1-23,CGSJ,CGSJ,CGS
BAC,Genus,1-24-GHGHa,1-24,GHGHa,GHGHa,GHGa
BAC,Genus,1-25-GHGHb,1-25,GHGHb,GHGHb,GHGb
BAC,Genus,1-26-GHHM,1-26,GHHM,GHHM,GHH
BAC,Genus,1-27-GHJY,1-27,GHJY,GHJY,GHJ
BAC,Genus,1-28-MYSN,1-28,MYSN,MYSN,MYS
BAC,Genus,1-29-SCHG,1-29,SCHG,SCHG,SCH
BAC,Genus,1-3-BSIGa,1-3,BSIGa,BSIGa,BSI
BAC,Genus,1-30-YSDM,1-30,YSDM,YSDM,YSD
BAC,Genus,1-31-YSYS,1-31,YSYS,YSYS,YSY
BAC,Genus,1-32-JJNG,1-32,JJNG,JJNG,JJN
BAC,Genus,1-32'-JJYS,1-32',JJYS,JJYS,JJY
BAC,Genus,1-33-CWMS,1-33,CWMS,CWMS,CWM
BAC,Genus,1-34-CWSS,1-34,CWSS,CWSS,CWS
BAC,Genus,1-3b-BSIGb,1-3b,BSIGb,BSIGb,BSIb
BAC,Genus,1-4-BSOC,1-4,BSOC,BSOC,BSO
BAC,Genus,1-5-BSES,1-5,BSES,BSES,BSE
BAC,Genus,1-6-DGGW,1-6,DGGW,DGGW,DGG
BAC,Genus,1-7-DGDS,1-7,DGDS,DGDS,DGD
BAC,Genus,1-8-DGJY,1-8,DGJY,DGJY,DGJ
BAC,Genus,1-9-DGGB,1-9,DGGB,DGGB,DGB
BAC,Genus,2-1-BSSG,2-1,BSSG,BSSG,BSS
BAC,Genus,2-10-DGDC,2-10,DGDC,DGDC,DGC
BAC,Genus,2-11-DGYSa,2-11,DGYSa,DGYSa,DGY
BAC,Genus,2-12-USOS,2-12,USOS,USOS,USO
BAC,Genus,2-13-USYY,2-13,USYY,USYY,USY
BAC,Genus,2-14-USYJ,2-14,USYJ,USYJ,USJ
BAC,Genus,2-15-GSGA,2-15,GSGA,GSGA,GSG
BAC,Genus,2-16-GCGD,2-16,GCGD,GCGD,GCG
BAC,Genus,2-17-MGYS,2-17,MGYS,MGYS,MGY
BAC,Genus,2-18-ADAS,2-18,ADAS,ADAS,ADA
