feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
ARC_G::Aenigmarchaeales,Aenigmarchaeales,Archaea,Genus,2,2,True
ARC_G::Bathyarchaeia,Bathyarchaeia,Archaea,Genus,67,51,True
ARC_G::Candidatus_Methanofastidiosum,Candidatus_Methanofastidiosum,Archaea,Genus,127,98,True
ARC_G::Candidatus_Methanogranum,Candidatus_Methanogranum,Archaea,Genus,15,8,True
ARC_G::Candidatus_Methanomethylicus,Candidatus_Methanomethylicus,Archaea,Genus,20,12,True
ARC_G::Candidatus_Methanomethylophilus,Candidatus_Methanomethylophilus,Archaea,Genus,1,1,True
ARC_G::Candidatus_Methanoplasma,Candidatus_Methanoplasma,Archaea,Genus,44,38,True
ARC_G::Candidatus_Nitrocosmicus,Candidatus_Nitrocosmicus,Archaea,Genus,9,6,True
ARC_G::Lokiarchaeia,Lokiarchaeia,Archaea,Genus,2,1,True
ARC_G::Methanimicrococcus,Methanimicrococcus,Archaea,Genus,6,6,True
ARC_G::Methanocorpusculum,Methanocorpusculum,Archaea,Genus,29,20,True
ARC_G::Methanoculleus,Methanoculleus,Archaea,Genus,118,100,True
ARC_G::Methanofollis,Methanofollis,Archaea,Genus,3,3,True
ARC_G::Methanogenium,Methanogenium,Archaea,Genus,5,4,True
ARC_G::Methanohalophilus,Methanohalophilus,Archaea,Genus,1,1,True
ARC_G::Methanolinea,Methanolinea,Archaea,Genus,105,80,True
ARC_G::Methanomassiliicoccus,Methanomassiliicoccus,Archaea,Genus,113,93,True
ARC_G::Methanomethylovorans,Methanomethylovorans,Archaea,Genus,67,48,True
ARC_G::Methanoregula,Methanoregula,Archaea,Genus,33,21,True
ARC_G::Methanosaeta,Methanosaeta,Archaea,Genus,132,103,True
ARC_G::Methanosarcina,Methanosarcina,Archaea,Genus,68,53,True
ARC_G::Methanosphaerula,Methanosphaerula,Archaea,Genus,60,48,True
ARC_G::Methanospirillum,Methanospirillum,Archaea,Genus,127,98,True
ARC_G::Micrarchaeales,Micrarchaeales,Archaea,Genus,18,13,True
ARC_G::Nitrososphaeraceae,Nitrososphaeraceae,Archaea,Genus,4,4,True
ARC_G::Rhinosporideacae,Rhinosporideacae,Archaea,Genus,1,1,True
ARC_G::RumEn_M2,RumEn_M2,Archaea,Genus,25,21,True
ARC_G::SCGC_AAA011-D5,SCGC_AAA011-D5,Archaea,Genus,46,38,True
ARC_G::Teleostei,Teleostei,Archaea,Genus,1,1,True
ARC_G::Veneroida,Veneroida,Archaea,Genus,2,2,True
ARC_G::Woesearchaeales,Woesearchaeales,Archaea,Genus,11,5,True
ARC_G::unidentified,unidentified,Archaea,Genus,129,101,True
