feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_G::009E01-B-SD-P15,009E01-B-SD-P15,Bacteria,Genus,63,50,True
BAC_G::0319-6G20,0319-6G20,Bacteria,Genus,14,10,True
BAC_G::053A03-B-DI-P58,053A03-B-DI-P58,Bacteria,Genus,1,1,True
BAC_G::1-20,1-20,Bacteria,Genus,10,5,True
BAC_G::1013-28-CG33,1013-28-CG33,Bacteria,Genus,0,0,False
BAC_G::11-24,11-24,Bacteria,Genus,0,0,False
BAC_G::113B434,113B434,Bacteria,Genus,4,3,True
BAC_G::32-520,32-520,Bacteria,Genus,0,0,False
BAC_G::37-13,37-13,Bacteria,Genus,3,2,True
BAC_G::4572-13,4572-13,Bacteria,Genus,1,1,True
BAC_G::67-14,67-14,Bacteria,Genus,5,2,True
BAC_G::966-1,966-1,Bacteria,Genus,4,0,False
BAC_G::A0839,A0839,Bacteria,Genus,15,9,True
BAC_G::A21b,A21b,Bacteria,Genus,1,1,True
BAC_G::A4b,A4b,Bacteria,Genus,0,0,False
BAC_G::AAP99,AAP99,Bacteria,Genus,39,30,True
BAC_G::AB1,AB1,Bacteria,Genus,0,0,False
BAC_G::ADurb.Bin063-1,ADurb.Bin063-1,Bacteria,Genus,49,35,True
BAC_G::ADurb.Bin063-2,ADurb.Bin063-2,Bacteria,Genus,3,3,True
BAC_G::ADurb.Bin118,ADurb.Bin118,Bacteria,Genus,20,14,True
BAC_G::ADurb.Bin120,ADurb.Bin120,Bacteria,Genus,19,14,True
BAC_G::ADurb.Bin180,ADurb.Bin180,Bacteria,Genus,0,0,False
BAC_G::ADurb.Bin408,ADurb.Bin408,Bacteria,Genus,0,0,False
BAC_G::AKIW659,AKIW659,Bacteria,Genus,0,0,False
BAC_G::AKYG1722,AKYG1722,Bacteria,Genus,0,0,False
BAC_G::AKYH767,AKYH767,Bacteria,Genus,47,34,True
BAC_G::AUTHM297,AUTHM297,Bacteria,Genus,24,20,True
BAC_G::Abditibacterium,Abditibacterium,Bacteria,Genus,0,0,False
BAC_G::Absconditabacteriales_(SR1),Absconditabacteriales_(SR1),Bacteria,Genus,13,10,True
BAC_G::Acetitomaculum,Acetitomaculum,Bacteria,Genus,5,5,True
BAC_G::Acetivibrio,Acetivibrio,Bacteria,Genus,6,4,True
BAC_G::Acetoanaerobium,Acetoanaerobium,Bacteria,Genus,2,1,True
BAC_G::Acetobacter,Acetobacter,Bacteria,Genus,1,1,True
BAC_G::Acetobacterales,Acetobacterales,Bacteria,Genus,0,0,False
BAC_G::Acetobacterium,Acetobacterium,Bacteria,Genus,1,1,True
BAC_G::Acetobacteroides,Acetobacteroides,Bacteria,Genus,1,1,True
BAC_G::Acetomicrobium,Acetomicrobium,Bacteria,Genus,32,32,True
BAC_G::Acetonema,Acetonema,Bacteria,Genus,0,0,False
BAC_G::Acetothermiia,Acetothermiia,Bacteria,Genus,12,4,True
BAC_G::Acholeplasma,Acholeplasma,Bacteria,Genus,71,60,True
BAC_G::Achromobacter,Achromobacter,Bacteria,Genus,1,1,True
BAC_G::Acidaminobacter,Acidaminobacter,Bacteria,Genus,0,0,False
BAC_G::Acidaminococcus,Acidaminococcus,Bacteria,Genus,4,1,True
BAC_G::Acidibacter,Acidibacter,Bacteria,Genus,3,1,True
BAC_G::Acidovorax,Acidovorax,Bacteria,Genus,53,40,True
BAC_G::Acinetobacter,Acinetobacter,Bacteria,Genus,13,8,True
BAC_G::Actinomarinales,Actinomarinales,Bacteria,Genus,0,0,False
BAC_G::Actinomyces,Actinomyces,Bacteria,Genus,10,10,True
BAC_G::Advenella,Advenella,Bacteria,Genus,0,0,False
BAC_G::Aequorivita,Aequorivita,Bacteria,Genus,0,0,False
BAC_G::Aeriscardovia,Aeriscardovia,Bacteria,Genus,3,2,True
BAC_G::Aeromonas,Aeromonas,Bacteria,Genus,8,6,True
BAC_G::Aestuariimicrobium,Aestuariimicrobium,Bacteria,Genus,2,0,False
BAC_G::Afipia,Afipia,Bacteria,Genus,0,0,False
BAC_G::Agaricicola,Agaricicola,Bacteria,Genus,0,0,False
BAC_G::Ahniella,Ahniella,Bacteria,Genus,27,19,True
BAC_G::Alcaligenes,Alcaligenes,Bacteria,Genus,1,1,True
BAC_G::Aliidiomarina,Aliidiomarina,Bacteria,Genus,0,0,False
BAC_G::Alistipes,Alistipes,Bacteria,Genus,1,1,True
BAC_G::Alkaliphilus,Alkaliphilus,Bacteria,Genus,43,39,True
BAC_G::Alkanindiges,Alkanindiges,Bacteria,Genus,2,2,True
BAC_G::Alloprevotella,Alloprevotella,Bacteria,Genus,0,0,False
BAC_G::Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Bacteria,Genus,3,3,True
BAC_G::Altererythrobacter,Altererythrobacter,Bacteria,Genus,0,0,False
BAC_G::Alysiella,Alysiella,Bacteria,Genus,0,0,False
BAC_G::Amaricoccus,Amaricoccus,Bacteria,Genus,0,0,False
BAC_G::Amb-16S-1323,Amb-16S-1323,Bacteria,Genus,0,0,False
BAC_G::Aminicenantales,Aminicenantales,Bacteria,Genus,61,41,True
BAC_G::Aminobacter,Aminobacter,Bacteria,Genus,0,0,False
BAC_G::Aminobacterium,Aminobacterium,Bacteria,Genus,34,32,True
BAC_G::Aminomonas,Aminomonas,Bacteria,Genus,0,0,False
BAC_G::Amnipila,Amnipila,Bacteria,Genus,27,26,True
BAC_G::Amphibacillus,Amphibacillus,Bacteria,Genus,2,2,True
BAC_G::Anaerobacterium,Anaerobacterium,Bacteria,Genus,1,1,True
BAC_G::Anaerocella,Anaerocella,Bacteria,Genus,1,0,False
BAC_G::Anaerococcus,Anaerococcus,Bacteria,Genus,5,5,True
BAC_G::Anaerocolumna,Anaerocolumna,Bacteria,Genus,12,8,True
BAC_G::Anaerofilum,Anaerofilum,Bacteria,Genus,0,0,False
BAC_G::Anaerofustis,Anaerofustis,Bacteria,Genus,10,9,True
BAC_G::Anaerolinea,Anaerolinea,Bacteria,Genus,0,0,False
BAC_G::Anaerolineaceae_UCG-001,Anaerolineaceae_UCG-001,Bacteria,Genus,0,0,False
BAC_G::Anaeromusa-Anaeroarcus,Anaeromusa-Anaeroarcus,Bacteria,Genus,0,0,False
BAC_G::Anaeromyxobacter,Anaeromyxobacter,Bacteria,Genus,1,1,True
BAC_G::Anaerosalibacter,Anaerosalibacter,Bacteria,Genus,0,0,False
BAC_G::Anaerosphaera,Anaerosphaera,Bacteria,Genus,1,1,True
BAC_G::Anaerosporobacter,Anaerosporobacter,Bacteria,Genus,1,1,True
BAC_G::Anaerostignum,Anaerostignum,Bacteria,Genus,0,0,False
BAC_G::Anaerostipes,Anaerostipes,Bacteria,Genus,0,0,False
BAC_G::Anaerovibrio,Anaerovibrio,Bacteria,Genus,1,1,True
BAC_G::Anaerovorax,Anaerovorax,Bacteria,Genus,78,61,True
BAC_G::Aquabacterium,Aquabacterium,Bacteria,Genus,7,3,True
BAC_G::Aquicella,Aquicella,Bacteria,Genus,1,1,True
BAC_G::Aquimonas,Aquimonas,Bacteria,Genus,5,5,True
BAC_G::Aquitalea,Aquitalea,Bacteria,Genus,0,0,False
BAC_G::Arcobacter,Arcobacter,Bacteria,Genus,16,10,True
BAC_G::Arcobacteraceae,Arcobacteraceae,Bacteria,Genus,1,0,False
BAC_G::Arenimonas,Arenimonas,Bacteria,Genus,7,2,True
BAC_G::Arsenicicoccus,Arsenicicoccus,Bacteria,Genus,0,0,False
BAC_G::Asteroleplasma,Asteroleplasma,Bacteria,Genus,0,0,False
BAC_G::Asticcacaulis,Asticcacaulis,Bacteria,Genus,0,0,False
BAC_G::Atopobium,Atopobium,Bacteria,Genus,13,13,True
BAC_G::Atopococcus,Atopococcus,Bacteria,Genus,0,0,False
BAC_G::Azoarcus,Azoarcus,Bacteria,Genus,1,0,False
BAC_G::Azospira,Azospira,Bacteria,Genus,17,16,True
BAC_G::Azospirillum,Azospirillum,Bacteria,Genus,0,0,False
BAC_G::Azovibrio,Azovibrio,Bacteria,Genus,0,0,False
BAC_G::B1-7BS,B1-7BS,Bacteria,Genus,14,8,True
BAC_G::B122,B122,Bacteria,Genus,0,0,False
BAC_G::B5-096,B5-096,Bacteria,Genus,0,0,False
BAC_G::B55-F-B-G02,B55-F-B-G02,Bacteria,Genus,5,5,True
BAC_G::BBMC-4,BBMC-4,Bacteria,Genus,4,3,True
