SampleID,warning_acid_base_balance,warning_buffer_capacity,warning_acid_accumulation,warning_ammonia_toxicity,warning_biogas_quality
1-1,0.2559017798353388,0.06,0.02666666666666667,0.4758757339936364,0.02666666666666667
2-1,0.2769408556083595,0.013333333333333334,0.03333333333333333,0.39446743966990094,0.04666666666666667
3-1,0.23846969797833856,0.046511627906976744,0.006666666666666667,0.3990775688358215,0.02666666666666667
4-1,0.32344617040103035,0.033286052009456266,0.02,0.31719736060293335,0.04
1-2,0.026576576576576576,0.03320174964934362,0.006666666666666667,0.03905607277595229,0.05294573643410853
2-2,0.013333333333333334,0.02666666666666667,0.013333333333333334,0.013333333333333334,0.05294573643410853
3-2,0.013333333333333334,0.10653508298267696,0.006666666666666667,0.019914658634538153,0.06
4-2,0.006666666666666667,0.013333333333333334,0.006666666666666667,0.006666666666666667,0.14666666666666667
1-3,0.006211150652431791,0.02666666666666667,0.0,0.0,0.02
2-3,0.006666666666666667,0.013333333333333334,0.0,0.0,0.013333333333333334
3-3,0.013154894671623295,0.0,0.006666666666666667,0.013333333333333334,0.0
4-3,0.019544483985765124,0.032883895131086145,0.0,0.013333333333333334,0.04666666666666667
1-3b,0.0065643648763853354,0.013333333333333334,0.0,0.006666666666666667,0.02
1-4,0.0,0.02666666666666667,0.0,0.0,0.02
2-4,0.012827693504472966,0.02666666666666667,0.006666666666666667,0.006666666666666667,0.02
3-4,0.006666666666666667,0.02656691604322527,0.006666666666666667,0.0,0.03333333333333333
4-4,0.02,0.05945736434108528,0.006666666666666667,0.0,0.03333333333333333
1-5,0.0,0.03333333333333333,0.0,0.0,0.0
2-5,0.02,0.0,0.006666666666666667,0.006666666666666667,0.0
3-5,0.0,0.013333333333333334,0.0,0.013333333333333334,0.0
4-5,0.04636852173475295,0.006666666666666667,0.0,0.0,0.0
1-6,0.3132895671524924,0.03992844364937388,0.013333333333333334,0.3116207910432391,0.0
2-6,0.1591881175327415,0.06666666666666667,0.08,0.30468961601145006,0.0
3-6,0.17595969932781697,0.05326177698270721,0.04666666666666667,0.29184928766500007,0.013333333333333334
4-6,0.20494083208769698,0.06666666666666667,0.08,0.3981636091224747,0.013333333333333334
1-7,0.02,0.09313101324976635,0.0,0.02,0.02
2-7,0.026502057613168723,0.16639700651575962,0.006666666666666667,0.006666666666666667,0.0
3-7,0.006666666666666667,0.10651521867612293,0.0,0.0,0.0
4-7,0.01978851237683249,0.05194641770440681,0.0,0.0,0.0
1-8,0.045351838734963054,0.03333333333333333,0.013333333333333334,0.006666666666666667,0.04666666666666667
2-8,0.07257052238676773,0.07952941176470589,0.0,0.05333333333333334,0.02666666666666667
3-8,0.032781316348195325,0.0527906976744186,0.0,0.031003236245954694,0.04
4-8,0.019868885526979324,0.032790697674418605,0.013333333333333334,0.006666666666666667,0.04
1-9,0.4020167059553958,0.08,0.08,0.5299384924433173,0.02666666666666667
2-9,0.3644286848215929,0.1265221878224974,0.14,0.568576717329245,0.08
3-9,0.2562297171650888,0.1591593955997813,0.03333333333333333,0.569998509486145,0.0
4-9,0.2882874405066828,0.2063575787689995,0.06666666666666667,0.6791125426055549,0.013333333333333334
1-10,0.04,0.07333333333333333,0.06,0.006666666666666667,0.08666666666666667
2-10,0.04,0.06,0.013333333333333334,0.0,0.05333333333333334
3-10,0.05333333333333334,0.07333333333333333,0.013333333333333334,0.0,0.06
4-10,0.10650759219088937,0.02666666666666667,0.006666666666666667,0.046160714285714284,0.02
1-12,0.27188045652643306,0.13994672754946727,0.16,0.4253018905823456,0.07333333333333333
2-12,0.2718926247478717,0.15249793797777267,0.19298243199853218,0.47375615419332445,0.06
3-12,0.3191643279440878,0.09877300036818075,0.08666666666666667,0.29678644467519105,0.12666666666666668
4-12,0.31233284648096576,0.11278684824157532,0.08654832347140039,0.37532621666266736,0.1
1-13,0.07315555555555556,0.08,0.02,0.15807672535931638,0.04
2-13,0.07974899760106655,0.09965861881043812,0.02,0.11209841036620433,0.02666666666666667
3-13,0.02,0.1397171717171717,0.02666666666666667,0.11694662963506194,0.006666666666666667
4-13,0.01573070607553366,0.1,0.03333333333333333,0.05900854284024657,0.04666666666666667
1-14,0.4187730915392175,0.12611274509803921,0.15333333333333332,0.4568054816165503,0.006666666666666667
2-14,0.30866412067389776,0.10603146937787461,0.14,0.5235862174653119,0.006666666666666667
3-14,0.216512019190974,0.13286274509803922,0.08,0.4443555578149416,0.013333333333333334
4-14,0.3381446178258782,0.05286274509803922,0.11333333333333333,0.6523565078352316,0.013333333333333334
1-15,0.02666666666666667,0.013333333333333334,0.006666666666666667,0.0,0.04
2-15,0.033027090694935216,0.06,0.02,0.0,0.04666666666666667
3-15,0.07162902579211819,0.013333333333333334,0.013333333333333334,0.0,0.013333333333333334
4-15,0.018980392156862747,0.013333333333333334,0.013333333333333334,0.0,0.006666666666666667
1-16,0.06657534246575343,0.07992844364937388,0.0,0.013229616825122444,0.04666666666666667
2-16,0.0519352684305163,0.05935761371764388,0.006666666666666667,0.03333333333333333,0.04666666666666667
3-16,0.08883332686738701,0.13260761371764387,0.02666666666666667,0.006666666666666667,0.03333333333333333
4-16,0.1120813751774168,0.1327073643410853,0.02,0.006562950158455777,0.04666666666666667
1-17,0.15269332883746903,0.04,0.013333333333333334,0.10568401262702205,0.14666666666666667
2-17,0.08624522421270389,0.013333333333333334,0.006666666666666667,0.07323223312518584,0.10666666666666667
3-17,0.09906324011085917,0.05328006088280061,0.0,0.12654266958424507,0.09333333333333334
4-17,0.0856431661765931,0.04588454376163873,0.02666666666666667,0.09260215053763442,0.08666666666666667
1-18,0.05317723577235772,0.04,0.006666666666666667,0.02,0.08666666666666667
2-18,0.02,0.05333333333333334,0.0,0.006666666666666667,0.06666666666666667
3-18,0.03992660550458716,0.05333333333333334,0.0,0.0,0.06666666666666667
4-18,0.05333333333333334,0.05333333333333334,0.0,0.0,0.1
1-19,0.3949984123609821,0.09333333333333334,0.05333333333333334,0.5989220287484656,0.06
2-19,0.393587701219342,0.22618822008297756,0.16666666666666666,0.7445419409713927,0.05333333333333334
3-19,0.3425921027600322,0.24570779445844076,0.1,0.5690429705161228,0.04
1-20,0.21810559823606349,0.0,0.0,0.594947895696874,0.02666666666666667
2-20,0.3577346345238133,0.0,0.0,0.6188820284742971,0.04
3-20,0.19071623302378324,0.013333333333333334,0.0,0.46051575794117233,0.02
1-23,0.02666666666666667,0.04,0.006666666666666667,0.0,0.0
2-23,0.11300280496412744,0.2797856049004594,0.013333333333333334,0.059822361546499475,0.013333333333333334
3-23,0.02,0.10645227156712608,0.0,0.013333333333333334,0.0
4-23,0.05317425885755604,0.02666666666666667,0.0,0.0,0.006666666666666667
1-24,0.026607829825752435,0.05965861881043813,0.0,0.006666666666666667,0.04
2-24,0.03322712418300654,0.1,0.0,0.0,0.05333333333333334
3-24,0.0332744964924191,0.22632004953045207,0.02,0.02,0.03333333333333333
1-25,0.006666666666666667,0.05333333333333334,0.006666666666666667,0.03959569487983281,0.03333333333333333
2-25,0.03333333333333333,0.02,0.006666666666666667,0.05310666666666667,0.1
3-25,0.013333333333333334,0.013333333333333334,0.0,0.04644,0.02
4-25,0.013333333333333334,0.02,0.0,0.05310666666666667,0.04
1-26,0.2645517782935304,0.05187444295900178,0.05333333333333334,0.21289832007073387,0.02
2-26,0.212165360438422,0.032643295702119234,0.0,0.15333333333333332,0.02
3-26,0.2980517491433521,0.03191126955832838,0.0,0.15300359453630483,0.02
4-26,0.29910375124464916,0.02631690681323034,0.0,0.15967026120297148,0.03333333333333333
1-27,0.36193776309300396,0.06642902683591259,0.06,0.7037301970191583,0.02
2-27,0.4267120545494228,0.12628454799174335,0.11333333333333333,0.6040002422115456,0.06666666666666667
3-27,0.3153073272206534,0.13295121465841,0.04,0.7698655243663534,0.013333333333333334
4-27,0.3562995349470834,0.09978249037857463,0.06666666666666667,0.7047204821709301,0.013333333333333334
1-31,0.13270282710274842,0.0,0.0,0.33220367421972746,0.03333333333333333
2-31,0.3009383892930561,0.0,0.0,0.651738983219303,0.006666666666666667
3-31,0.1417510541044309,0.0,0.0,0.6952630653503481,0.02
4-31,0.17859579268685744,0.04,0.03333333333333333,0.38408721135589446,0.02666666666666667
1-32,0.039821561338289964,0.10621722846441947,0.0,0.006666666666666667,0.006666666666666667
2-32,0.013333333333333334,0.03333333333333333,0.0,0.0,0.0
3-32,0.05262825360017476,0.026143901241688035,0.0,0.0,0.013333333333333334
4-32,0.03285140562248996,0.0328105679083547,0.0,0.0,0.013333333333333334
2-32',0.2459098688268524,0.10616186805354041,0.02666666666666667,0.19964550435062842,0.05333333333333334
3-32',0.2376162528321932,0.1383928172514014,0.06666666666666667,0.35131934060965686,0.06666666666666667
4-32',0.2388857456544979,0.12514043622499504,0.09333333333333334,0.20625632063913085,0.07333333333333333
1-34,0.1596497538211839,0.07333333333333333,0.013333333333333334,0.5625711232898504,0.02666666666666667
2-34,0.07948886653108188,0.11984496124031006,0.06,0.5500711232898503,0.013333333333333334
3-34,0.07942837289821013,0.059895833333333336,0.006666666666666667,0.31746232333203117,0.04
4-34,0.046497044461578,0.0665625,0.04,0.25071095623631123,0.06
