Rank,Feature,Type,Micro-AUPR mean drop,Micro-AUPR SD,Micro-AUPR permutation p025,Micro-AUPR permutation p975,Multilabel MCC mean drop,Multilabel MCC SD,Multilabel MCC permutation p025,Multilabel MCC permutation p975,Share of positive metadata importance (%)
1,substrate_avg_TVFAs,Physicochemical,0.009348032378569125,0.005557487323790338,-0.005781194672413041,0.01613088123639623,-0.0012934262808188268,0.007198310682208312,-0.015526969576086846,0.007204672799780987,22.131430480820878
2,substrate_avg_sCOD,Physicochemical,0.008333971703244607,0.009333249089377152,-0.009274981851974746,0.023344356014992414,0.019386808818526745,0.012303566626547276,-0.0020450627836796484,0.04091221283317038,19.73064575624828
3,substrate_avg_Lipid,Physicochemical,0.005898925779675015,0.002452933817282018,0.0014906831488991374,0.009366545483176416,0.00801295179767678,0.007652431550339346,-0.00228521617933364,0.022971530409532537,13.965683955448906
4,Q_total_Tpy,Physicochemical,0.0033412708875839915,0.002019723558621954,0.00033565242263442505,0.00704872530701778,-0.012934263868552532,0.008333801637272086,-0.022971530409532592,0.0,7.910445896152816
5,substrate_avg_Protein,Physicochemical,0.002513665653373672,0.002661434067849681,-0.002229546602529705,0.007102494849753107,0.0015783684104106132,0.0048160530646534335,0.0,0.015783684104106133,5.951093706864319
6,substrate_avg_VS,Physicochemical,0.002130224261787487,0.002448571800591951,-0.001947035859297805,0.006492758486133379,0.012386586125918133,0.004691611573716342,0.007204672799780987,0.018520409933196133,5.04329769614299
7,substrate_avg_HAc,Physicochemical,0.002125713880846593,0.0026431870526411314,-0.0021335364885234757,0.0064060446315953885,0.0007887940100603563,0.0096041434174065,-0.022971530409532592,0.015783684104106133,5.032619386719902
8,substrate_avg_TC,Physicochemical,0.001829125767802703,0.0019004238741755653,-0.0009510660733338935,0.005088971937677315,0.0017727128869185075,0.0043931607067660755,0.0,0.015783684104106133,4.330448176838682
9,substrate_avg_COD,Physicochemical,0.001812582839258059,0.0021909783785637313,-0.001380409983948179,0.006061995888052423,-0.0007745817461816314,0.004459589558988765,-0.00743659194065327,0.007204672799780987,4.291282857527816
10,T_C,Physicochemical,0.0011247185424640186,0.0029385275433974184,-0.0024212636512804917,0.0065148360966335445,0.0068395964451126575,0.007955086216652434,0.0,0.015783684104106133,2.662766796796515
11,substrate_avg_pH,Physicochemical,-7.595094049117809e-05,0.001463949484792159,-0.0025816645667155968,0.0025115975462077604,0.00795377510621705,0.007997439584870118,-0.0020450627836796484,0.015783684104106133,0.0
12,HRT_d,Physicochemical,-0.0016711722392844944,0.0013114862473364865,-0.003842279113196778,0.0005397477535020415,0.003213647446874705,0.004754632085477937,0.0,0.015783684104106133,0.0
13,substrate_avg_HPro,Physicochemical,-0.0017920246311514732,0.0016815062738235952,-0.004568345206644907,0.0008235499398905405,0.02135396459248776,0.011107018245889716,0.0,0.04108419568287752,0.0
14,substrate_avg_ALK,Physicochemical,-0.0018028478226730057,0.0010132323848261625,-0.0032506153380461532,0.0003164571203315424,0.0,0.0,0.0,0.0,0.0
