block,taxon,feature,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_P,Acetothermia,BAC_P::Acetothermia,12,4,True
BAC_P,Acidobacteriota,BAC_P::Acidobacteriota,77,56,True
BAC_P,Actinobacteriota,BAC_P::Actinobacteriota,123,95,True
BAC_P,Armatimonadota,BAC_P::Armatimonadota,68,50,True
BAC_P,Bacteroidota,BAC_P::Bacteroidota,138,109,True
BAC_P,Bdellovibrionota,BAC_P::Bdellovibrionota,22,16,True
BAC_P,CK-2C2-2,BAC_P::CK-2C2-2,9,7,True
BAC_P,Caldatribacteriota,BAC_P::Caldatribacteriota,108,84,True
BAC_P,Caldisericota,BAC_P::Caldisericota,84,64,True
BAC_P,Campilobacterota,BAC_P::Campilobacterota,26,16,True
BAC_P,Chloroflexi,BAC_P::Chloroflexi,100,77,True
BAC_P,Cloacimonadota,BAC_P::Cloacimonadota,133,104,True
BAC_P,Coprothermobacterota,BAC_P::Coprothermobacterota,8,8,True
BAC_P,Cyanobacteria,BAC_P::Cyanobacteria,2,2,True
BAC_P,Deinococcota,BAC_P::Deinococcota,6,3,True
BAC_P,Dependentiae,BAC_P::Dependentiae,34,25,True
BAC_P,Desulfobacterota,BAC_P::Desulfobacterota,111,82,True
BAC_P,Elusimicrobiota,BAC_P::Elusimicrobiota,8,7,True
BAC_P,Fermentibacterota,BAC_P::Fermentibacterota,16,11,True
BAC_P,Fibrobacterota,BAC_P::Fibrobacterota,16,13,True
BAC_P,Firmicutes,BAC_P::Firmicutes,138,109,True
BAC_P,Fusobacteriota,BAC_P::Fusobacteriota,21,14,True
BAC_P,Gemmatimonadota,BAC_P::Gemmatimonadota,19,13,True
BAC_P,Halanaerobiaeota,BAC_P::Halanaerobiaeota,2,2,True
BAC_P,Hydrogenedentes,BAC_P::Hydrogenedentes,65,49,True
BAC_P,Hydrothermae,BAC_P::Hydrothermae,1,1,True
BAC_P,Latescibacterota,BAC_P::Latescibacterota,3,1,True
BAC_P,Marinimicrobia_(SAR406_clade),BAC_P::Marinimicrobia_(SAR406_clade),30,24,True
BAC_P,Myxococcota,BAC_P::Myxococcota,19,12,True
BAC_P,NKB15,BAC_P::NKB15,6,6,True
BAC_P,Nitrospirota,BAC_P::Nitrospirota,15,7,True
BAC_P,Patescibacteria,BAC_P::Patescibacteria,76,58,True
BAC_P,Planctomycetota,BAC_P::Planctomycetota,92,71,True
BAC_P,Proteobacteria,BAC_P::Proteobacteria,121,92,True
BAC_P,Spirochaetota,BAC_P::Spirochaetota,129,101,True
BAC_P,Sumerlaeota,BAC_P::Sumerlaeota,22,15,True
BAC_P,Sva0485,BAC_P::Sva0485,8,2,True
BAC_P,Synergistota,BAC_P::Synergistota,136,107,True
BAC_P,TA06,BAC_P::TA06,8,4,True
BAC_P,Thermotogota,BAC_P::Thermotogota,105,85,True
BAC_P,Verrucomicrobiota,BAC_P::Verrucomicrobiota,130,101,True
BAC_P,WPS-2,BAC_P::WPS-2,4,3,True
BAC_P,WS1,BAC_P::WS1,47,37,True
BAC_P,Zixibacteria,BAC_P::Zixibacteria,5,3,True
BAC_P,unidentified,BAC_P::unidentified,84,65,True
BAC_O,0319-6G20,BAC_O::0319-6G20,14,10,True
BAC_O,053A03-B-DI-P58,BAC_O::053A03-B-DI-P58,1,1,True
BAC_O,1-20,BAC_O::1-20,10,5,True
BAC_O,113B434,BAC_O::113B434,4,3,True
BAC_O,Absconditabacteriales_(SR1),BAC_O::Absconditabacteriales_(SR1),13,10,True
BAC_O,Acetobacterales,BAC_O::Acetobacterales,16,11,True
BAC_O,Acetothermiia,BAC_O::Acetothermiia,12,4,True
BAC_O,Acholeplasmatales,BAC_O::Acholeplasmatales,72,61,True
BAC_O,Acidaminococcales,BAC_O::Acidaminococcales,27,20,True
BAC_O,Acidobacteriae,BAC_O::Acidobacteriae,1,1,True
BAC_O,Actinomycetales,BAC_O::Actinomycetales,18,16,True
BAC_O,Aeromonadales,BAC_O::Aeromonadales,22,13,True
BAC_O,Alteromonadales,BAC_O::Alteromonadales,1,1,True
BAC_O,Aminicenantales,BAC_O::Aminicenantales,61,41,True
BAC_O,Anaerolineales,BAC_O::Anaerolineales,85,67,True
BAC_O,Ardenticatenales,BAC_O::Ardenticatenales,1,1,True
BAC_O,Arenicellales,BAC_O::Arenicellales,1,1,True
BAC_O,B55-F-B-G02,BAC_O::B55-F-B-G02,5,5,True
BAC_O,BRH-c20a,BAC_O::BRH-c20a,8,6,True
BAC_O,Babeliales,BAC_O::Babeliales,34,25,True
BAC_O,Bacillales,BAC_O::Bacillales,16,12,True
BAC_O,Bacteriovoracales,BAC_O::Bacteriovoracales,1,1,True
BAC_O,Bacteroidales,BAC_O::Bacteroidales,137,109,True
BAC_O,Bacteroidetes_VC2.1_Bac22,BAC_O::Bacteroidetes_VC2.1_Bac22,12,11,True
BAC_O,Bdellovibrionales,BAC_O::Bdellovibrionales,2,2,True
BAC_O,Bifidobacteriales,BAC_O::Bifidobacteriales,9,7,True
BAC_O,Blastocatellales,BAC_O::Blastocatellales,15,8,True
BAC_O,Brachyspirales,BAC_O::Brachyspirales,36,24,True
BAC_O,Bradymonadales,BAC_O::Bradymonadales,1,1,True
BAC_O,Bryobacterales,BAC_O::Bryobacterales,2,2,True
BAC_O,Burkholderiales,BAC_O::Burkholderiales,112,84,True
BAC_O,C10-SB1A,BAC_O::C10-SB1A,2,2,True
BAC_O,CCM19a,BAC_O::CCM19a,4,2,True
BAC_O,CK-2C2-2,BAC_O::CK-2C2-2,9,7,True
BAC_O,Caldatribacteriales,BAC_O::Caldatribacteriales,83,68,True
BAC_O,Caldicoprobacterales,BAC_O::Caldicoprobacterales,71,59,True
BAC_O,Caldilineales,BAC_O::Caldilineales,25,22,True
BAC_O,Caldisericales,BAC_O::Caldisericales,84,64,True
BAC_O,Campylobacterales,BAC_O::Campylobacterales,26,16,True
BAC_O,Candidatus_Falkowbacteria,BAC_O::Candidatus_Falkowbacteria,2,1,True
BAC_O,Candidatus_Peregrinibacteria,BAC_O::Candidatus_Peregrinibacteria,5,4,True
BAC_O,Candidatus_Shapirobacteria,BAC_O::Candidatus_Shapirobacteria,1,1,True
BAC_O,Cardiobacteriales,BAC_O::Cardiobacteriales,1,1,True
BAC_O,Caulobacterales,BAC_O::Caulobacterales,45,34,True
BAC_O,Cellvibrionales,BAC_O::Cellvibrionales,39,26,True
BAC_O,Chitinophagales,BAC_O::Chitinophagales,81,59,True
BAC_O,Chlamydiales,BAC_O::Chlamydiales,6,3,True
BAC_O,Christensenellales,BAC_O::Christensenellales,133,105,True
BAC_O,Chthoniobacterales,BAC_O::Chthoniobacterales,1,1,True
BAC_O,Chthonomonadales,BAC_O::Chthonomonadales,16,14,True
BAC_O,Cloacimonadales,BAC_O::Cloacimonadales,133,104,True
BAC_O,Clostridia,BAC_O::Clostridia,135,107,True
BAC_O,Clostridia_UCG-014,BAC_O::Clostridia_UCG-014,19,14,True
BAC_O,Clostridiales,BAC_O::Clostridiales,41,32,True
BAC_O,Competibacterales,BAC_O::Competibacterales,54,37,True
BAC_O,Coprothermobacterales,BAC_O::Coprothermobacterales,8,8,True
