scope,target,samples,positive,positive_percent
matched,warning_acid_base_balance,138,20,14.492753623188406
matched,warning_buffer_capacity,138,9,6.521739130434782
matched,warning_acid_accumulation,138,4,2.898550724637681
matched,warning_ammonia_toxicity,138,26,18.84057971014493
matched,warning_biogas_quality,138,7,5.072463768115942
train,warning_acid_base_balance,110,15,13.636363636363635
train,warning_buffer_capacity,110,8,7.2727272727272725
train,warning_acid_accumulation,110,3,2.727272727272727
train,warning_ammonia_toxicity,110,22,20.0
train,warning_biogas_quality,110,5,4.545454545454546
test,warning_acid_base_balance,28,5,17.857142857142858
test,warning_buffer_capacity,28,1,3.571428571428571
test,warning_acid_accumulation,28,1,3.571428571428571
test,warning_ammonia_toxicity,28,4,14.285714285714285
test,warning_biogas_quality,28,2,7.142857142857142
cv_training_1,warning_acid_base_balance,86,13,15.11627906976744
cv_training_1,warning_buffer_capacity,86,6,6.976744186046512
cv_training_1,warning_acid_accumulation,86,3,3.488372093023256
cv_training_1,warning_ammonia_toxicity,86,16,18.6046511627907
cv_training_1,warning_biogas_quality,86,5,5.813953488372093
cv_validation_1,warning_acid_base_balance,24,2,8.333333333333332
cv_validation_1,warning_buffer_capacity,24,2,8.333333333333332
cv_validation_1,warning_acid_accumulation,24,0,0.0
cv_validation_1,warning_ammonia_toxicity,24,6,25.0
cv_validation_1,warning_biogas_quality,24,0,0.0
cv_training_2,warning_acid_base_balance,91,11,12.087912087912088
cv_training_2,warning_buffer_capacity,91,6,6.593406593406594
cv_training_2,warning_acid_accumulation,91,2,2.197802197802198
cv_training_2,warning_ammonia_toxicity,91,19,20.87912087912088
cv_training_2,warning_biogas_quality,91,2,2.197802197802198
cv_validation_2,warning_acid_base_balance,19,4,21.052631578947366
cv_validation_2,warning_buffer_capacity,19,2,10.526315789473683
cv_validation_2,warning_acid_accumulation,19,1,5.263157894736842
cv_validation_2,warning_ammonia_toxicity,19,3,15.789473684210526
cv_validation_2,warning_biogas_quality,19,3,15.789473684210526
cv_training_3,warning_acid_base_balance,86,11,12.790697674418606
cv_training_3,warning_buffer_capacity,86,6,6.976744186046512
cv_training_3,warning_acid_accumulation,86,1,1.1627906976744187
cv_training_3,warning_ammonia_toxicity,86,16,18.6046511627907
cv_training_3,warning_biogas_quality,86,5,5.813953488372093
cv_validation_3,warning_acid_base_balance,24,4,16.666666666666664
cv_validation_3,warning_buffer_capacity,24,2,8.333333333333332
cv_validation_3,warning_acid_accumulation,24,2,8.333333333333332
cv_validation_3,warning_ammonia_toxicity,24,6,25.0
cv_validation_3,warning_biogas_quality,24,0,0.0
cv_training_4,warning_acid_base_balance,91,12,13.186813186813188
cv_training_4,warning_buffer_capacity,91,7,7.6923076923076925
cv_training_4,warning_acid_accumulation,91,3,3.296703296703297
cv_training_4,warning_ammonia_toxicity,91,20,21.978021978021978
cv_training_4,warning_biogas_quality,91,4,4.395604395604396
cv_validation_4,warning_acid_base_balance,19,3,15.789473684210526
cv_validation_4,warning_buffer_capacity,19,1,5.263157894736842
cv_validation_4,warning_acid_accumulation,19,0,0.0
cv_validation_4,warning_ammonia_toxicity,19,2,10.526315789473683
cv_validation_4,warning_biogas_quality,19,1,5.263157894736842
cv_training_5,warning_acid_base_balance,86,13,15.11627906976744
cv_training_5,warning_buffer_capacity,86,7,8.13953488372093
cv_training_5,warning_acid_accumulation,86,3,3.488372093023256
cv_training_5,warning_ammonia_toxicity,86,17,19.767441860465116
cv_training_5,warning_biogas_quality,86,4,4.651162790697675
cv_validation_5,warning_acid_base_balance,24,2,8.333333333333332
cv_validation_5,warning_buffer_capacity,24,1,4.166666666666666
cv_validation_5,warning_acid_accumulation,24,0,0.0
cv_validation_5,warning_ammonia_toxicity,24,5,20.833333333333336
cv_validation_5,warning_biogas_quality,24,1,4.166666666666666
