SampleID,metadata,BAC,ARC,included,reason
1-1,True,True,True,True,included
1-10,True,True,True,True,included
1-11,True,True,True,True,included
1-11b,True,True,True,True,included
1-12,True,True,True,True,included
1-13,True,True,True,True,included
1-14,True,True,True,True,included
1-15,True,True,True,True,included
1-16,True,True,True,True,included
1-17,True,True,True,True,included
1-18,True,True,True,True,included
1-19,True,True,True,True,included
1-2,True,True,True,True,included
1-20,True,True,True,True,included
1-21,True,True,True,True,included
1-22,True,True,True,True,included
1-23,True,True,True,True,included
1-24,True,True,True,True,included
1-25,True,True,True,True,included
1-26,True,True,True,True,included
1-27,True,True,True,True,included
1-28,True,True,True,True,included
1-29,True,True,True,True,included
1-3,True,True,True,True,included
1-30,True,True,True,True,included
1-31,True,True,True,True,included
1-32,True,True,True,True,included
1-32',True,True,False,False,missing ARC
1-33,True,True,True,True,included
1-34,True,True,True,True,included
1-3b,True,True,True,True,included
1-4,True,True,True,True,included
1-5,True,True,True,True,included
1-6,True,True,True,True,included
1-7,True,True,True,True,included
1-8,True,True,True,True,included
1-9,True,True,True,True,included
2-1,True,True,True,True,included
2-10,True,True,True,True,included
2-11,True,True,True,True,included
2-12,True,True,True,True,included
2-13,True,True,True,True,included
2-14,True,True,True,True,included
2-15,True,True,True,True,included
2-16,True,True,True,True,included
2-17,True,True,True,True,included
2-18,True,True,True,True,included
2-19,True,True,True,True,included
2-2,True,True,True,True,included
2-20,True,True,True,True,included
2-21,True,True,True,True,included
2-22,True,True,True,True,included
2-23,True,True,True,True,included
2-24,True,True,True,True,included
2-25,True,True,True,True,included
2-26,True,True,True,True,included
2-27,True,True,True,True,included
2-28,True,True,True,True,included
2-29,True,True,True,True,included
2-3,True,True,True,True,included
2-30,True,True,True,True,included
2-31,True,True,True,True,included
2-32,True,True,True,True,included
2-32',True,True,True,True,included
2-33,True,True,True,True,included
2-34,True,True,True,True,included
2-4,True,True,True,True,included
2-5,True,True,True,True,included
2-6,True,True,True,True,included
2-7,True,True,True,True,included
2-8,True,True,True,True,included
2-9,True,True,True,True,included
3-1,True,True,True,True,included
3-10,True,True,True,True,included
3-11,True,True,True,True,included
3-12,True,True,True,True,included
3-13,True,True,True,True,included
3-14,True,True,True,True,included
3-15,True,True,True,True,included
3-16,True,True,True,True,included
3-17,True,True,True,True,included
3-18,True,True,True,True,included
3-19,True,True,True,True,included
3-2,True,True,True,True,included
3-20,True,True,True,True,included
3-21,True,True,True,True,included
3-22,True,True,True,True,included
3-23,True,True,True,True,included
3-24,True,True,True,True,included
3-25,True,True,True,True,included
3-26,True,True,True,True,included
3-27,True,True,True,True,included
3-28,True,True,True,True,included
3-29,True,True,True,True,included
3-3,True,True,True,True,included
3-30,True,True,True,True,included
3-31,True,True,True,True,included
3-32,True,True,True,True,included
3-32',True,True,True,True,included
3-33,True,True,True,True,included
3-34,True,True,True,True,included
3-4,True,True,True,True,included
3-5,True,True,True,True,included
3-6,True,True,True,True,included
3-7,True,True,True,True,included
3-8,True,True,True,True,included
3-9,True,True,True,True,included
4-1,True,True,True,True,included
4-10,True,True,True,True,included
4-11,True,True,True,True,included
4-12,True,True,True,True,included
4-13,True,True,True,True,included
4-14,True,True,True,True,included
4-15,True,True,True,True,included
4-16,True,True,True,True,included
4-17,True,True,True,True,included
4-18,True,True,True,True,included
4-2,True,True,True,True,included
4-21,True,True,True,True,included
4-22,True,True,True,True,included
4-23,True,True,True,True,included
4-24,True,True,False,False,missing ARC
4-25,True,True,True,True,included
4-26,True,True,True,True,included
4-27,True,True,True,True,included
4-28,True,True,True,True,included
4-29,True,True,True,True,included
4-3,True,True,True,True,included
4-30,True,True,True,True,included
4-31,True,True,True,True,included
4-32,True,True,True,True,included
4-32',True,True,True,True,included
4-33,True,True,True,True,included
4-34,True,True,True,True,included
4-4,True,True,True,True,included
4-5,True,True,True,True,included
4-6,True,True,True,True,included
4-7,True,True,True,True,included
4-8,True,True,True,True,included
4-9,True,True,True,True,included
