domain,rank,taxon,feature,samples_above_0_1_percent,included
ARC,Order,Aenigmarchaeales,ARC_O::Aenigmarchaeales,2,True
ARC,Order,Bathyarchaeia,ARC_O::Bathyarchaeia,67,True
ARC,Order,LKM11,ARC_O::LKM11,1,True
ARC,Order,Lokiarchaeia,ARC_O::Lokiarchaeia,2,True
ARC,Order,Methanofastidiosales,ARC_O::Methanofastidiosales,127,True
ARC,Order,Methanomassiliicoccales,ARC_O::Methanomassiliicoccales,132,True
ARC,Order,Methanomethyliales,ARC_O::Methanomethyliales,20,True
ARC,Order,Methanomicrobiales,ARC_O::Methanomicrobiales,138,True
ARC,Order,Methanosarciniales,ARC_O::Methanosarciniales,135,True
ARC,Order,Micrarchaeales,ARC_O::Micrarchaeales,18,True
ARC,Order,Nitrososphaerales,ARC_O::Nitrososphaerales,13,True
ARC,Order,Odinarchaeia,ARC_O::Odinarchaeia,1,True
ARC,Order,Rhinosporideacae,ARC_O::Rhinosporideacae,1,True
ARC,Order,Teleostei,ARC_O::Teleostei,1,True
ARC,Order,Veneroida,ARC_O::Veneroida,2,True
ARC,Order,Woesearchaeales,ARC_O::Woesearchaeales,52,True
ARC,Order,unidentified,ARC_O::unidentified,115,True
