domain,rank,taxon,feature,samples_above_0_1_percent,included
BAC,Order,0319-6G20,BAC_O::0319-6G20,14,True
BAC,Order,053A03-B-DI-P58,BAC_O::053A03-B-DI-P58,1,True
BAC,Order,1-20,BAC_O::1-20,10,True
BAC,Order,113B434,BAC_O::113B434,4,True
BAC,Order,Absconditabacteriales_(SR1),BAC_O::Absconditabacteriales_(SR1),13,True
BAC,Order,Acetobacterales,BAC_O::Acetobacterales,16,True
BAC,Order,Acetothermiia,BAC_O::Acetothermiia,12,True
BAC,Order,Acholeplasmatales,BAC_O::Acholeplasmatales,72,True
BAC,Order,Acidaminococcales,BAC_O::Acidaminococcales,27,True
BAC,Order,Acidobacteriae,BAC_O::Acidobacteriae,1,True
BAC,Order,Actinomarinales,BAC_O::Actinomarinales,3,True
BAC,Order,Actinomycetales,BAC_O::Actinomycetales,18,True
BAC,Order,Aeromonadales,BAC_O::Aeromonadales,22,True
BAC,Order,Alteromonadales,BAC_O::Alteromonadales,1,True
BAC,Order,Aminicenantales,BAC_O::Aminicenantales,61,True
BAC,Order,Anaerolineales,BAC_O::Anaerolineales,85,True
BAC,Order,Ardenticatenales,BAC_O::Ardenticatenales,1,True
BAC,Order,Arenicellales,BAC_O::Arenicellales,1,True
BAC,Order,B55-F-B-G02,BAC_O::B55-F-B-G02,5,True
BAC,Order,BRH-c20a,BAC_O::BRH-c20a,8,True
BAC,Order,Babeliales,BAC_O::Babeliales,34,True
BAC,Order,Bacillales,BAC_O::Bacillales,16,True
BAC,Order,Bacteriovoracales,BAC_O::Bacteriovoracales,1,True
BAC,Order,Bacteroidales,BAC_O::Bacteroidales,137,True
BAC,Order,Bacteroidetes_VC2.1_Bac22,BAC_O::Bacteroidetes_VC2.1_Bac22,12,True
BAC,Order,Bdellovibrionales,BAC_O::Bdellovibrionales,2,True
BAC,Order,Berkelbacteria,BAC_O::Berkelbacteria,1,True
BAC,Order,Bifidobacteriales,BAC_O::Bifidobacteriales,9,True
BAC,Order,Blastocatellales,BAC_O::Blastocatellales,15,True
BAC,Order,Brachyspirales,BAC_O::Brachyspirales,36,True
BAC,Order,Bradymonadales,BAC_O::Bradymonadales,1,True
BAC,Order,Bryobacterales,BAC_O::Bryobacterales,2,True
BAC,Order,Burkholderiales,BAC_O::Burkholderiales,112,True
BAC,Order,C10-SB1A,BAC_O::C10-SB1A,2,True
BAC,Order,CCM19a,BAC_O::CCM19a,4,True
BAC,Order,CK-2C2-2,BAC_O::CK-2C2-2,9,True
BAC,Order,Caldatribacteriales,BAC_O::Caldatribacteriales,83,True
BAC,Order,Caldicoprobacterales,BAC_O::Caldicoprobacterales,71,True
BAC,Order,Caldilineales,BAC_O::Caldilineales,25,True
BAC,Order,Caldisericales,BAC_O::Caldisericales,84,True
BAC,Order,Calditrichales,BAC_O::Calditrichales,1,True
BAC,Order,Campylobacterales,BAC_O::Campylobacterales,26,True
BAC,Order,Candidatus_Falkowbacteria,BAC_O::Candidatus_Falkowbacteria,2,True
BAC,Order,Candidatus_Magasanikbacteria,BAC_O::Candidatus_Magasanikbacteria,1,True
BAC,Order,Candidatus_Peregrinibacteria,BAC_O::Candidatus_Peregrinibacteria,5,True
BAC,Order,Candidatus_Shapirobacteria,BAC_O::Candidatus_Shapirobacteria,1,True
BAC,Order,Cardiobacteriales,BAC_O::Cardiobacteriales,1,True
BAC,Order,Caulobacterales,BAC_O::Caulobacterales,45,True
BAC,Order,Cellvibrionales,BAC_O::Cellvibrionales,39,True
BAC,Order,Chitinophagales,BAC_O::Chitinophagales,81,True
BAC,Order,Chlamydiales,BAC_O::Chlamydiales,6,True
BAC,Order,Christensenellales,BAC_O::Christensenellales,133,True
BAC,Order,Chthoniobacterales,BAC_O::Chthoniobacterales,1,True
BAC,Order,Chthonomonadales,BAC_O::Chthonomonadales,16,True
BAC,Order,Cloacimonadales,BAC_O::Cloacimonadales,133,True
BAC,Order,Clostridia,BAC_O::Clostridia,135,True
BAC,Order,Clostridia_UCG-014,BAC_O::Clostridia_UCG-014,19,True
BAC,Order,Clostridiales,BAC_O::Clostridiales,41,True
BAC,Order,Competibacterales,BAC_O::Competibacterales,54,True
BAC,Order,Coprothermobacterales,BAC_O::Coprothermobacterales,8,True
BAC,Order,Coriobacteriales,BAC_O::Coriobacteriales,20,True
BAC,Order,Corynebacteriales,BAC_O::Corynebacteriales,39,True
BAC,Order,Cytophagales,BAC_O::Cytophagales,20,True
BAC,Order,D8A-2,BAC_O::D8A-2,103,True
BAC,Order,DS-100,BAC_O::DS-100,25,True
BAC,Order,DTU014,BAC_O::DTU014,124,True
BAC,Order,Dadabacteriales,BAC_O::Dadabacteriales,3,True
BAC,Order,Defluviicoccales,BAC_O::Defluviicoccales,9,True
BAC,Order,Deinococcales,BAC_O::Deinococcales,4,True
BAC,Order,Desulfitibacterales,BAC_O::Desulfitibacterales,6,True
BAC,Order,Desulfitobacteriales,BAC_O::Desulfitobacteriales,3,True
BAC,Order,Desulfobacterales,BAC_O::Desulfobacterales,2,True
BAC,Order,Desulfobulbales,BAC_O::Desulfobulbales,37,True
BAC,Order,Desulfotomaculales,BAC_O::Desulfotomaculales,83,True
BAC,Order,Desulfovibrionales,BAC_O::Desulfovibrionales,51,True
BAC,Order,Desulfuromonadia,BAC_O::Desulfuromonadia,9,True
BAC,Order,Dethiobacterales,BAC_O::Dethiobacterales,47,True
BAC,Order,Diplorickettsiales,BAC_O::Diplorickettsiales,1,True
BAC,Order,Dongiales,BAC_O::Dongiales,1,True
BAC,Order,Ectothiorhodospirales,BAC_O::Ectothiorhodospirales,1,True
BAC,Order,Elsterales,BAC_O::Elsterales,1,True
BAC,Order,Endomicrobiales,BAC_O::Endomicrobiales,7,True
BAC,Order,Enterobacterales,BAC_O::Enterobacterales,18,True
BAC,Order,Erysipelotrichales,BAC_O::Erysipelotrichales,29,True
BAC,Order,Eubacteriales,BAC_O::Eubacteriales,29,True
BAC,Order,Fermentibacterales,BAC_O::Fermentibacterales,16,True
BAC,Order,Fibrobacterales,BAC_O::Fibrobacterales,16,True
BAC,Order,Fimbriimonadales,BAC_O::Fimbriimonadales,23,True
BAC,Order,Flavobacteriales,BAC_O::Flavobacteriales,66,True
BAC,Order,Frankiales,BAC_O::Frankiales,9,True
BAC,Order,Fusobacteriales,BAC_O::Fusobacteriales,21,True
BAC,Order,Gaiellales,BAC_O::Gaiellales,48,True
BAC,Order,Gammaproteobacteria_Incertae_Sedis,BAC_O::Gammaproteobacteria_Incertae_Sedis,7,True
BAC,Order,Gemmatales,BAC_O::Gemmatales,32,True
BAC,Order,Gemmatimonadales,BAC_O::Gemmatimonadales,16,True
BAC,Order,Geobacterales,BAC_O::Geobacterales,12,True
BAC,Order,HOC36,BAC_O::HOC36,1,True
BAC,Order,Halanaerobiales,BAC_O::Halanaerobiales,2,True
BAC,Order,Haliangiales,BAC_O::Haliangiales,6,True
BAC,Order,Holophagales,BAC_O::Holophagales,11,True
BAC,Order,Hydrogenedentiales,BAC_O::Hydrogenedentiales,65,True
BAC,Order,Hydrothermae,BAC_O::Hydrothermae,1,True
BAC,Order,IMCC26256,BAC_O::IMCC26256,5,True
BAC,Order,Ignavibacteriales,BAC_O::Ignavibacteriales,29,True
