SiteGroup,Site,Season,samples,sample_ids
ADA,ADA,Fall,1,2-18
ADA,ADA,Spring,1,4-18
ADA,ADA,Summer,1,1-18
ADA,ADA,Winter,1,3-18
ADP,ADP,Fall,1,2-19
ADP,ADP,Summer,1,1-19
ADP,ADP,Winter,1,3-19
BSE,BSE,Fall,1,2-5
BSE,BSE,Spring,1,4-5
BSE,BSE,Summer,1,1-5
BSE,BSE,Winter,1,3-5
BSI,BSI,Fall,1,2-3
BSI,BSI,Spring,1,4-3
BSI,BSI,Summer,1,1-3
BSI,BSI,Winter,1,3-3
BSI,BSIb,Summer,1,1-3b
BSN,BSN,Fall,1,2-2
BSN,BSN,Spring,1,4-2
BSN,BSN,Summer,1,1-2
BSN,BSN,Winter,1,3-2
BSO,BSO,Fall,1,2-4
BSO,BSO,Spring,1,4-4
BSO,BSO,Summer,1,1-4
BSO,BSO,Winter,1,3-4
BSS,BSS,Fall,1,2-1
BSS,BSS,Spring,1,4-1
BSS,BSS,Summer,1,1-1
BSS,BSS,Winter,1,3-1
CGS,CGS,Fall,1,2-23
CGS,CGS,Spring,1,4-23
CGS,CGS,Summer,1,1-23
CGS,CGS,Winter,1,3-23
CWM,CWM,Fall,1,2-33
CWM,CWM,Spring,1,4-33
CWM,CWM,Summer,1,1-33
CWM,CWM,Winter,1,3-33
CWS,CWS,Fall,1,2-34
CWS,CWS,Spring,1,4-34
CWS,CWS,Summer,1,1-34
CWS,CWS,Winter,1,3-34
DGB,DGB,Fall,1,2-9
DGB,DGB,Spring,1,4-9
DGB,DGB,Summer,1,1-9
DGB,DGB,Winter,1,3-9
DGC,DGC,Fall,1,2-10
DGC,DGC,Spring,1,4-10
DGC,DGC,Summer,1,1-10
DGC,DGC,Winter,1,3-10
DGD,DGD,Fall,1,2-7
DGD,DGD,Spring,1,4-7
DGD,DGD,Summer,1,1-7
DGD,DGD,Winter,1,3-7
DGG,DGG,Fall,1,2-6
DGG,DGG,Spring,1,4-6
DGG,DGG,Summer,1,1-6
DGG,DGG,Winter,1,3-6
DGJ,DGJ,Fall,1,2-8
DGJ,DGJ,Spring,1,4-8
DGJ,DGJ,Summer,1,1-8
DGJ,DGJ,Winter,1,3-8
DGY,DGY,Fall,1,2-11
DGY,DGY,Spring,1,4-11
DGY,DGY,Summer,1,1-11
DGY,DGY,Winter,1,3-11
DGY,DGYb,Summer,1,1-11b
GCG,GCG,Fall,1,2-16
GCG,GCG,Spring,1,4-16
GCG,GCG,Summer,1,1-16
GCG,GCG,Winter,1,3-16
GHGa,GHGa,Fall,1,2-24
GHGa,GHGa,Spring,1,4-24
GHGa,GHGa,Summer,1,1-24
GHGa,GHGa,Winter,1,3-24
GHGb,GHGb,Fall,1,2-25
GHGb,GHGb,Spring,1,4-25
GHGb,GHGb,Summer,1,1-25
GHGb,GHGb,Winter,1,3-25
GHH,GHH,Fall,1,2-26
GHH,GHH,Spring,1,4-26
GHH,GHH,Summer,1,1-26
GHH,GHH,Winter,1,3-26
GHJ,GHJ,Fall,1,2-27
GHJ,GHJ,Spring,1,4-27
GHJ,GHJ,Summer,1,1-27
GHJ,GHJ,Winter,1,3-27
GSG,GSG,Fall,1,2-15
GSG,GSG,Spring,1,4-15
GSG,GSG,Summer,1,1-15
GSG,GSG,Winter,1,3-15
JJN,JJN,Fall,1,2-32
JJN,JJN,Spring,1,4-32
JJN,JJN,Summer,1,1-32
JJN,JJN,Winter,1,3-32
JJY,JJY,Fall,1,2-32'
JJY,JJY,Spring,1,4-32'
JJY,JJY,Summer,1,1-32'
JJY,JJY,Winter,1,3-32'
MGY,MGY,Fall,1,2-17
MGY,MGY,Spring,1,4-17
MGY,MGY,Summer,1,1-17
MGY,MGY,Winter,1,3-17
MYS,MYS,Fall,1,2-28
MYS,MYS,Spring,1,4-28
MYS,MYS,Summer,1,1-28
MYS,MYS,Winter,1,3-28
SCH,SCH,Fall,1,2-29
SCH,SCH,Spring,1,4-29
SCH,SCH,Summer,1,1-29
SCH,SCH,Winter,1,3-29
UJG,UJG,Fall,1,2-22
UJG,UJG,Spring,1,4-22
UJG,UJG,Summer,1,1-22
UJG,UJG,Winter,1,3-22
USJ,USJ,Fall,1,2-14
USJ,USJ,Spring,1,4-14
USJ,USJ,Summer,1,1-14
USJ,USJ,Winter,1,3-14
USO,USO,Fall,1,2-12
USO,USO,Spring,1,4-12
USO,USO,Summer,1,1-12
USO,USO,Winter,1,3-12
USY,USY,Fall,1,2-13
USY,USY,Spring,1,4-13
USY,USY,Summer,1,1-13
USY,USY,Winter,1,3-13
YCD,YCD,Fall,1,2-21
YCD,YCD,Spring,1,4-21
YCD,YCD,Summer,1,1-21
YCD,YCD,Winter,1,3-21
YCG,YCG,Fall,1,2-20
YCG,YCG,Summer,1,1-20
YCG,YCG,Winter,1,3-20
YSD,YSD,Fall,1,2-30
YSD,YSD,Spring,1,4-30
YSD,YSD,Summer,1,1-30
YSD,YSD,Winter,1,3-30
YSY,YSY,Fall,1,2-31
YSY,YSY,Spring,1,4-31
YSY,YSY,Summer,1,1-31
YSY,YSY,Winter,1,3-31
