SampleID,Site,SiteGroup,Season,split,cv_validation_fold
1-1,BSS,BSS,Summer,train,1
2-1,BSS,BSS,Fall,train,1
3-1,BSS,BSS,Winter,train,1
4-1,BSS,BSS,Spring,train,1
1-2,BSN,BSN,Summer,train,2
2-2,BSN,BSN,Fall,train,2
3-2,BSN,BSN,Winter,train,2
4-2,BSN,BSN,Spring,train,2
1-3,BSI,BSI,Summer,train,1
2-3,BSI,BSI,Fall,train,1
3-3,BSI,BSI,Winter,train,1
4-3,BSI,BSI,Spring,train,1
1-3b,BSIb,BSI,Summer,train,1
1-4,BSO,BSO,Summer,train,2
2-4,BSO,BSO,Fall,train,2
3-4,BSO,BSO,Winter,train,2
4-4,BSO,BSO,Spring,train,2
1-5,BSE,BSE,Summer,test,0
2-5,BSE,BSE,Fall,test,0
3-5,BSE,BSE,Winter,test,0
4-5,BSE,BSE,Spring,test,0
1-6,DGG,DGG,Summer,train,5
2-6,DGG,DGG,Fall,train,5
3-6,DGG,DGG,Winter,train,5
4-6,DGG,DGG,Spring,train,5
1-7,DGD,DGD,Summer,test,0
2-7,DGD,DGD,Fall,test,0
3-7,DGD,DGD,Winter,test,0
4-7,DGD,DGD,Spring,test,0
1-8,DGJ,DGJ,Summer,train,1
2-8,DGJ,DGJ,Fall,train,1
3-8,DGJ,DGJ,Winter,train,1
4-8,DGJ,DGJ,Spring,train,1
1-9,DGB,DGB,Summer,train,4
2-9,DGB,DGB,Fall,train,4
3-9,DGB,DGB,Winter,train,4
4-9,DGB,DGB,Spring,train,4
1-10,DGC,DGC,Summer,train,5
2-10,DGC,DGC,Fall,train,5
3-10,DGC,DGC,Winter,train,5
4-10,DGC,DGC,Spring,train,5
1-11,DGY,DGY,Summer,train,3
2-11,DGY,DGY,Fall,train,3
3-11,DGY,DGY,Winter,train,3
4-11,DGY,DGY,Spring,train,3
1-11b,DGYb,DGY,Summer,train,3
1-12,USO,USO,Summer,train,1
2-12,USO,USO,Fall,train,1
3-12,USO,USO,Winter,train,1
4-12,USO,USO,Spring,train,1
1-13,USY,USY,Summer,train,5
2-13,USY,USY,Fall,train,5
3-13,USY,USY,Winter,train,5
4-13,USY,USY,Spring,train,5
1-14,USJ,USJ,Summer,train,5
2-14,USJ,USJ,Fall,train,5
3-14,USJ,USJ,Winter,train,5
4-14,USJ,USJ,Spring,train,5
1-15,GSG,GSG,Summer,train,4
2-15,GSG,GSG,Fall,train,4
3-15,GSG,GSG,Winter,train,4
4-15,GSG,GSG,Spring,train,4
1-16,GCG,GCG,Summer,train,4
2-16,GCG,GCG,Fall,train,4
3-16,GCG,GCG,Winter,train,4
4-16,GCG,GCG,Spring,train,4
1-17,MGY,MGY,Summer,test,0
2-17,MGY,MGY,Fall,test,0
3-17,MGY,MGY,Winter,test,0
4-17,MGY,MGY,Spring,test,0
1-18,ADA,ADA,Summer,train,1
2-18,ADA,ADA,Fall,train,1
3-18,ADA,ADA,Winter,train,1
4-18,ADA,ADA,Spring,train,1
1-19,ADP,ADP,Summer,train,1
2-19,ADP,ADP,Fall,train,1
3-19,ADP,ADP,Winter,train,1
1-20,YCG,YCG,Summer,train,3
2-20,YCG,YCG,Fall,train,3
3-20,YCG,YCG,Winter,train,3
1-21,YCD,YCD,Summer,test,0
2-21,YCD,YCD,Fall,test,0
3-21,YCD,YCD,Winter,test,0
4-21,YCD,YCD,Spring,test,0
1-22,UJG,UJG,Summer,test,0
2-22,UJG,UJG,Fall,test,0
3-22,UJG,UJG,Winter,test,0
4-22,UJG,UJG,Spring,test,0
1-23,CGS,CGS,Summer,train,4
2-23,CGS,CGS,Fall,train,4
3-23,CGS,CGS,Winter,train,4
4-23,CGS,CGS,Spring,train,4
1-24,GHGa,GHGa,Summer,train,4
2-24,GHGa,GHGa,Fall,train,4
3-24,GHGa,GHGa,Winter,train,4
1-25,GHGb,GHGb,Summer,test,0
2-25,GHGb,GHGb,Fall,test,0
3-25,GHGb,GHGb,Winter,test,0
4-25,GHGb,GHGb,Spring,test,0
1-26,GHH,GHH,Summer,train,3
2-26,GHH,GHH,Fall,train,3
3-26,GHH,GHH,Winter,train,3
4-26,GHH,GHH,Spring,train,3
1-27,GHJ,GHJ,Summer,train,2
