fold,feature
1,BAC_O::0319-6G20
1,BAC_O::1-20
1,BAC_O::113B434
1,BAC_O::Absconditabacteriales_(SR1)
1,BAC_O::Acetobacterales
1,BAC_O::Acetothermiia
1,BAC_O::Acholeplasmatales
1,BAC_O::Acidaminococcales
1,BAC_O::Acidobacteriae
1,BAC_O::Actinomycetales
1,BAC_O::Aeromonadales
1,BAC_O::Alteromonadales
1,BAC_O::Aminicenantales
1,BAC_O::Anaerolineales
1,BAC_O::Ardenticatenales
1,BAC_O::Arenicellales
1,BAC_O::B55-F-B-G02
1,BAC_O::BRH-c20a
1,BAC_O::Babeliales
1,BAC_O::Bacillales
1,BAC_O::Bacteroidales
1,BAC_O::Bacteroidetes_VC2.1_Bac22
1,BAC_O::Bdellovibrionales
1,BAC_O::Bifidobacteriales
1,BAC_O::Blastocatellales
1,BAC_O::Brachyspirales
1,BAC_O::Burkholderiales
1,BAC_O::CK-2C2-2
1,BAC_O::Caldatribacteriales
1,BAC_O::Caldicoprobacterales
1,BAC_O::Caldilineales
1,BAC_O::Caldisericales
1,BAC_O::Campylobacterales
1,BAC_O::Candidatus_Peregrinibacteria
1,BAC_O::Cardiobacteriales
1,BAC_O::Caulobacterales
1,BAC_O::Cellvibrionales
1,BAC_O::Chitinophagales
1,BAC_O::Chlamydiales
1,BAC_O::Christensenellales
1,BAC_O::Chthonomonadales
1,BAC_O::Cloacimonadales
1,BAC_O::Clostridia
1,BAC_O::Clostridia_UCG-014
1,BAC_O::Clostridiales
1,BAC_O::Competibacterales
1,BAC_O::Coprothermobacterales
1,BAC_O::Coriobacteriales
1,BAC_O::Corynebacteriales
1,BAC_O::Cytophagales
1,BAC_O::D8A-2
1,BAC_O::DS-100
1,BAC_O::DTU014
1,BAC_O::Defluviicoccales
1,BAC_O::Deinococcales
1,BAC_O::Desulfitibacterales
1,BAC_O::Desulfitobacteriales
1,BAC_O::Desulfobulbales
1,BAC_O::Desulfotomaculales
1,BAC_O::Desulfovibrionales
1,BAC_O::Desulfuromonadia
1,BAC_O::Dethiobacterales
1,BAC_O::Diplorickettsiales
1,BAC_O::Dongiales
1,BAC_O::Endomicrobiales
1,BAC_O::Enterobacterales
1,BAC_O::Erysipelotrichales
1,BAC_O::Eubacteriales
1,BAC_O::Fermentibacterales
1,BAC_O::Fibrobacterales
1,BAC_O::Fimbriimonadales
1,BAC_O::Flavobacteriales
1,BAC_O::Frankiales
1,BAC_O::Fusobacteriales
1,BAC_O::Gaiellales
1,BAC_O::Gammaproteobacteria_Incertae_Sedis
1,BAC_O::Gemmatales
1,BAC_O::Gemmatimonadales
1,BAC_O::Geobacterales
1,BAC_O::HOC36
1,BAC_O::Halanaerobiales
1,BAC_O::Haliangiales
1,BAC_O::Holophagales
1,BAC_O::Hydrogenedentiales
1,BAC_O::Hydrothermae
1,BAC_O::IMCC26256
1,BAC_O::Ignavibacteriales
1,BAC_O::Incertae_Sedis
1,BAC_O::Isosphaerales
1,BAC_O::Izemoplasmatales
1,BAC_O::JG36-GS-52
1,BAC_O::JS1
1,BAC_O::Kapabacteriales
1,BAC_O::Kosmotogales
1,BAC_O::LD1-PA32
1,BAC_O::LD1-PB3
1,BAC_O::Lachnospirales
1,BAC_O::Lactobacillales
1,BAC_O::Leptospirales
1,BAC_O::Limnochordales
1,BAC_O::Limnochordia
1,BAC_O::M55-D21
1,BAC_O::MAT-CR-H4-C10
1,BAC_O::MBA03
1,BAC_O::MSBL9
1,BAC_O::MVP-15
1,BAC_O::Marinimicrobia_(SAR406_clade)
1,BAC_O::Methylococcales
1,BAC_O::Micavibrionales
1,BAC_O::Micrococcales
1,BAC_O::Microtrichales
1,BAC_O::Monoglobales
1,BAC_O::Moorellales
1,BAC_O::Myxococcales
1,BAC_O::NKB15
1,BAC_O::Nitrosococcales
1,BAC_O::Nitrospirales
1,BAC_O::OLB14
1,BAC_O::OPB41
1,BAC_O::Obscuribacterales
1,BAC_O::Oligosphaerales
1,BAC_O::Omnitrophales
1,BAC_O::Oscillospirales
1,BAC_O::PLTA13
1,BAC_O::PeM15
1,BAC_O::Pedosphaerales
1,BAC_O::Peptococcales
1,BAC_O::Peptostreptococcales-Tissierellales
1,BAC_O::Petrotogales
1,BAC_O::Phycisphaerales
1,BAC_O::Pirellulales
1,BAC_O::Pla3_lineage
1,BAC_O::Planctomycetales
1,BAC_O::Propionibacteriales
1,BAC_O::Proteinivoracales
1,BAC_O::Pseudomonadales
1,BAC_O::RBG-13-54-9
1,BAC_O::RBG-16-55-12
1,BAC_O::Reyranellales
1,BAC_O::Rhizobiales
1,BAC_O::Rhodobacterales
1,BAC_O::Run-SP154
1,BAC_O::SBR1031
1,BAC_O::SJA-15
1,BAC_O::SJA-28
1,BAC_O::Saccharimonadales
1,BAC_O::Solibacterales
1,BAC_O::Solirubrobacterales
1,BAC_O::Sphingobacteriales
1,BAC_O::Sphingomonadales
