Model,domain,feature,importance,taxonomic_level
RandomForest,Bacteria,BAC_O::Oscillospirales,0.1085247922795034,Order
RandomForest,Bacteria,BAC_O::Bacteroidales,0.084125053911218,Order
RandomForest,Bacteria,BAC_O::Spirochaetales,0.0590595626301325,Order
RandomForest,Bacteria,BAC_O::Lactobacillales,0.0576551381433505,Order
RandomForest,Bacteria,BAC_O::Clostridia,0.0549881546476062,Order
RandomForest,Bacteria,BAC_O::unidentified,0.0408731343659397,Order
RandomForest,Bacteria,BAC_O::Coriobacteriales,0.0359787540743252,Order
RandomForest,Bacteria,BAC_O::Burkholderiales,0.0332936972921005,Order
RandomForest,Bacteria,BAC_O::Rhizobiales,0.0217621021783298,Order
RandomForest,Archaea,ARC_O::Methanomicrobiales,0.0213173227493069,Order
RandomForest,Bacteria,BAC_O::Synergistales,0.0210389506738119,Order
RandomForest,Archaea,ARC_O::Methanofastidiosales,0.0206812052503594,Order
RandomForest,Bacteria,BAC_O::Cloacimonadales,0.020198030978136,Order
RandomForest,Archaea,ARC_O::Methanosarciniales,0.0181252611552244,Order
RandomForest,Bacteria,BAC_O::Caldicoprobacterales,0.0178209774944195,Order
RandomForest,Bacteria,BAC_O::Pseudomonadales,0.0169048239600163,Order
RandomForest,Bacteria,BAC_O::Thermoanaerobacterales,0.0137795852717811,Order
RandomForest,Archaea,ARC_O::Methanomassiliicoccales,0.0137584206491956,Order
RandomForest,Bacteria,BAC_O::Sphingobacteriales,0.0135474210460262,Order
RandomForest,Bacteria,BAC_O::WCHB1-41,0.0134775300926238,Order
RandomForest,Bacteria,BAC_O::MBA03,0.0130117565186972,Order
RandomForest,Bacteria,BAC_O::D8A-2,0.0125923781515689,Order
RandomForest,Bacteria,BAC_O::Lachnospirales,0.0124943577146026,Order
RandomForest,Bacteria,BAC_O::Syntrophales,0.0123867262489521,Order
RandomForest,Bacteria,BAC_O::Acholeplasmatales,0.0119852206594939,Order
RandomForest,Bacteria,BAC_O::Incertae_Sedis,0.0104731756624046,Order
RandomForest,Bacteria,BAC_O::Caldisericales,0.0100853373664976,Order
RandomForest,Bacteria,BAC_O::Petrotogales,0.0099653025139308,Order
RandomForest,Bacteria,BAC_O::Caldatribacteriales,0.0098088103386805,Order
RandomForest,Bacteria,BAC_O::Chitinophagales,0.0087024716882892,Order
RandomForest,Bacteria,BAC_O::Eubacteriales,0.0086280052689385,Order
RandomForest,Bacteria,BAC_O::Veillonellales-Selenomonadales,0.0085901176337967,Order
RandomForest,Bacteria,BAC_O::Micrococcales,0.0077921889605633,Order
RandomForest,Bacteria,BAC_O::Enterobacterales,0.0077441046675568,Order
RandomForest,Bacteria,BAC_O::Izemoplasmatales,0.0071819084162335,Order
RandomForest,Bacteria,BAC_O::Thermacetogeniales,0.0071501095226425,Order
RandomForest,Bacteria,BAC_O::Christensenellales,0.0067174320421592,Order
RandomForest,Bacteria,BAC_O::Peptostreptococcales-Tissierellales,0.0065840362978469,Order
RandomForest,Archaea,ARC_O::unidentified,0.0060150056253762,Order
RandomForest,Bacteria,BAC_O::Chthonomonadales,0.0057979538448404,Order
RandomForest,Bacteria,BAC_O::Endomicrobiales,0.0053884803895439,Order
RandomForest,Bacteria,BAC_O::Rhodobacterales,0.0053775538975368,Order
RandomForest,Bacteria,BAC_O::Xanthomonadales,0.0048607948295716,Order
RandomForest,Bacteria,BAC_O::Desulfitobacteriales,0.0046021166196347,Order
RandomForest,Bacteria,BAC_O::Anaerolineales,0.0041504536828881,Order
RandomForest,Bacteria,BAC_O::Syntrophomonadales,0.0040697124353449,Order
