Model,target,feature,importance,domain,taxonomic_level
RandomForest,warning_acid_base_balance,BAC_O::0319-6G20,0.0046148955055938,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::053A03-B-DI-P58,0.0,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::1-20,1.4489363630356637e-18,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::113B434,5.984180841951187e-19,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Absconditabacteriales_(SR1),0.0020037569071653,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Acetobacterales,0.0015674029663964,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Acetothermiia,1.130548317073333e-17,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Acholeplasmatales,0.0048083355457755,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Acidaminococcales,0.0008022311132101,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Acidobacteriae,4.415342127295795e-18,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Actinomycetales,0.0012369041109655,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Aeromonadales,3.7194604025685016e-18,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Alteromonadales,0.0,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Aminicenantales,0.0007137067423856,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Anaerolineales,0.0059722822267316,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Ardenticatenales,6.55654189442179e-05,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Arenicellales,8.106379806266735e-19,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::B55-F-B-G02,0.0017251692261305,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::BRH-c20a,0.0001320996811535,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Babeliales,0.000908045165562,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Bacillales,0.0001518862848296,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Bacteriovoracales,5.841858218840281e-19,Bacteria,Order
RandomForest,warning_acid_base_balance,BAC_O::Bacteroidales,0.0045621424206595,Bacteria,Order
