,missing,missing_percent
BAC_O::0319-6G20,0,0.0
BAC_O::053A03-B-DI-P58,0,0.0
BAC_O::1-20,0,0.0
BAC_O::1013-28-CG33,0,0.0
BAC_O::11-24,0,0.0
BAC_O::113B434,0,0.0
BAC_O::32-520,0,0.0
BAC_O::ADurb.Bin180,0,0.0
BAC_O::AKIW659,0,0.0
BAC_O::Abditibacteriales,0,0.0
BAC_O::Absconditabacteriales_(SR1),0,0.0
BAC_O::Acetobacterales,0,0.0
BAC_O::Acetothermiia,0,0.0
BAC_O::Acholeplasmatales,0,0.0
BAC_O::Acidaminococcales,0,0.0
BAC_O::Acidobacteriae,0,0.0
BAC_O::Actinomarinales,0,0.0
BAC_O::Actinomycetales,0,0.0
BAC_O::Aeromonadales,0,0.0
BAC_O::Alicyclobacillales,0,0.0
BAC_O::Alteromonadales,0,0.0
BAC_O::Aminicenantales,0,0.0
BAC_O::Anaerolineales,0,0.0
BAC_O::Ardenticatenales,0,0.0
BAC_O::Arenicellales,0,0.0
BAC_O::Azospirillales,0,0.0
BAC_O::B55-F-B-G02,0,0.0
BAC_O::BD7-11,0,0.0
BAC_O::BRH-c20a,0,0.0
BAC_O::Babeliales,0,0.0
BAC_O::Bacillales,0,0.0
BAC_O::Bacteriovoracales,0,0.0
BAC_O::Bacteroidales,0,0.0
BAC_O::Bacteroidetes_VC2.1_Bac22,0,0.0
BAC_O::Balneolales,0,0.0
BAC_O::Bdellovibrionales,0,0.0
BAC_O::Berkelbacteria,0,0.0
BAC_O::Bifidobacteriales,0,0.0
BAC_O::Blastocatellales,0,0.0
BAC_O::Blfdi19,0,0.0
BAC_O::Brachyspirales,0,0.0
BAC_O::Bradymonadales,0,0.0
BAC_O::Brevinematales,0,0.0
BAC_O::Bryobacterales,0,0.0
BAC_O::Burkholderiales,0,0.0
BAC_O::C10-SB1A,0,0.0
BAC_O::CCD24,0,0.0
BAC_O::CCM11a,0,0.0
BAC_O::CCM19a,0,0.0
BAC_O::CK-2C2-2,0,0.0
BAC_O::CPR2,0,0.0
BAC_O::Caedibacterales,0,0.0
BAC_O::Caldalkalibacillales,0,0.0
BAC_O::Caldatribacteriales,0,0.0
BAC_O::Caldicoprobacterales,0,0.0
BAC_O::Caldilineales,0,0.0
BAC_O::Caldisericales,0,0.0
BAC_O::Calditrichales,0,0.0
BAC_O::Campylobacterales,0,0.0
BAC_O::Candidatus_Abawacabacteria,0,0.0
BAC_O::Candidatus_Collierbacteria,0,0.0
BAC_O::Candidatus_Falkowbacteria,0,0.0
BAC_O::Candidatus_Gottesmanbacteria,0,0.0
BAC_O::Candidatus_Magasanikbacteria,0,0.0
BAC_O::Candidatus_Moranbacteria,0,0.0
BAC_O::Candidatus_Pacebacteria,0,0.0
BAC_O::Candidatus_Peregrinibacteria,0,0.0
BAC_O::Candidatus_Peribacteria,0,0.0
BAC_O::Candidatus_Shapirobacteria,0,0.0
BAC_O::Candidatus_Vogelbacteria,0,0.0
BAC_O::Candidatus_Woesebacteria,0,0.0
BAC_O::Candidatus_Yanofskybacteria,0,0.0
BAC_O::Cardiobacteriales,0,0.0
BAC_O::Caulobacterales,0,0.0
BAC_O::Cellvibrionales,0,0.0
BAC_O::Chitinivibrionales,0,0.0
BAC_O::Chitinophagales,0,0.0
BAC_O::Chlamydiales,0,0.0
BAC_O::Chlorobiales,0,0.0
BAC_O::Chloroflexales,0,0.0
BAC_O::Chloroplast,0,0.0
BAC_O::Christensenellales,0,0.0
BAC_O::Chromatiales,0,0.0
BAC_O::Chthoniobacterales,0,0.0
BAC_O::Chthonomonadales,0,0.0
BAC_O::Cloacimonadales,0,0.0
BAC_O::Clostridia,0,0.0
BAC_O::Clostridia_UCG-014,0,0.0
BAC_O::Clostridiales,0,0.0
BAC_O::Competibacterales,0,0.0
BAC_O::Coprothermobacterales,0,0.0
BAC_O::Coriobacteriales,0,0.0
BAC_O::Corynebacteriales,0,0.0
BAC_O::Coxiellales,0,0.0
BAC_O::Cytophagales,0,0.0
BAC_O::D8A-2,0,0.0
BAC_O::DG-20,0,0.0
BAC_O::DG-56,0,0.0
BAC_O::DS-100,0,0.0
BAC_O::DTU014,0,0.0
BAC_O::Dadabacteriales,0,0.0
BAC_O::Defferrisomatales,0,0.0
BAC_O::Defluviicoccales,0,0.0
