target,positives,samples,MCC,AUPR,ROC-AUC,both_classes_present,Model,scope
warning_acid_base_balance,15,109,0.5027009232140314,0.47100418640229946,0.8205673758865247,True,RandomForest,CV_OOF_optimized
warning_buffer_capacity,8,109,0.3210295780574787,0.1556769093666806,0.6955445544554456,True,RandomForest,CV_OOF_optimized
warning_acid_accumulation,3,109,0.5719794522770556,0.40088725088725086,0.8710691823899371,True,RandomForest,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.5462515945951107,0.42923653886956803,0.8521421107628004,True,RandomForest,CV_OOF_optimized
warning_biogas_quality,5,109,0.27460766169184525,0.09218691128044937,0.6336538461538461,True,RandomForest,CV_OOF_optimized
warning_acid_base_balance,15,109,0.30425531914893617,0.3503258197699644,0.6411347517730496,True,KNN,CV_OOF_optimized
warning_buffer_capacity,8,109,0.29902895651037403,0.30106077981651375,0.6274752475247525,True,KNN,CV_OOF_optimized
warning_acid_accumulation,3,109,0.3948360313887662,0.2869520897043833,0.6305031446540881,True,KNN,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.47154463210956354,0.49495805817596716,0.7664576802507838,True,KNN,CV_OOF_optimized
warning_biogas_quality,5,109,0.0,0.5229357798165137,0.5,True,KNN,CV_OOF_optimized
warning_acid_base_balance,15,109,0.2420688346834022,0.26622220772206795,0.6269503546099291,True,SVM,CV_OOF_optimized
warning_buffer_capacity,8,109,0.0719567749562733,0.07841597008933117,0.5445544554455445,True,SVM,CV_OOF_optimized
warning_acid_accumulation,3,109,0.03688722860628784,0.018595656619448172,0.30503144654088044,True,SVM,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.26635172082367115,0.3205219547914887,0.6865203761755485,True,SVM,CV_OOF_optimized
warning_biogas_quality,5,109,0.09355285539274978,0.039180608601842845,0.29615384615384616,True,SVM,CV_OOF_optimized
warning_acid_base_balance,15,109,0.30783662226315295,0.2663480824363352,0.6269503546099291,True,NNET,CV_OOF_optimized
warning_buffer_capacity,8,109,0.1279441431719195,0.08094506278948468,0.5841584158415842,True,NNET,CV_OOF_optimized
