domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
BAC,Order,1-1-BSSG,1-1,BSSG,BSSG,BSS
BAC,Order,1-10-DGDC,1-10,DGDC,DGDC,DGC
BAC,Order,1-11-DGYSa,1-11,DGYSa,DGYSa,DGY
BAC,Order,1-11b-DGYSb,1-11b,DGYSb,DGYSb,DGYb
BAC,Order,1-12-USOS,1-12,USOS,USOS,USO
BAC,Order,1-13-USYY,1-13,USYY,USYY,USY
BAC,Order,1-14-USYJ,1-14,USYJ,USYJ,USJ
BAC,Order,1-15-GSGA,1-15,GSGA,GSGA,GSG
BAC,Order,1-16-GCGD,1-16,GCGD,GCGD,GCG
BAC,Order,1-17-MGYS,1-17,MGYS,MGYS,MGY
BAC,Order,1-18-ADAS,1-18,ADAS,ADAS,ADA
BAC,Order,1-19-ADPC,1-19,ADPC,ADPC,ADP
BAC,Order,1-2-BSNS,1-2,BSNS,BSNS,BSN
BAC,Order,1-20-YCGH,1-20,YCGH,YCGH,YCG
BAC,Order,1-21-YCDG,1-21,YCDG,YCDG,YCD
BAC,Order,1-22-UJGN,1-22,UJGN,UJGN,UJG
BAC,Order,1-23-CGSJ,1-23,CGSJ,CGSJ,CGS
BAC,Order,1-24-GHGHa,1-24,GHGHa,GHGHa,GHGa
BAC,Order,1-25-GHGHb,1-25,GHGHb,GHGHb,GHGb
BAC,Order,1-26-GHHM,1-26,GHHM,GHHM,GHH
BAC,Order,1-27-GHJY,1-27,GHJY,GHJY,GHJ
BAC,Order,1-28-MYSN,1-28,MYSN,MYSN,MYS
BAC,Order,1-29-SCHG,1-29,SCHG,SCHG,SCH
BAC,Order,1-3-BSIGa,1-3,BSIGa,BSIGa,BSI
BAC,Order,1-30-YSDM,1-30,YSDM,YSDM,YSD
BAC,Order,1-31-YSYS,1-31,YSYS,YSYS,YSY
BAC,Order,1-32-JJNG,1-32,JJNG,JJNG,JJN
BAC,Order,1-32'-JJYS,1-32',JJYS,JJYS,JJY
BAC,Order,1-33-CWMS,1-33,CWMS,CWMS,CWM
BAC,Order,1-34-CWSS,1-34,CWSS,CWSS,CWS
BAC,Order,1-3b-BSIGb,1-3b,BSIGb,BSIGb,BSIb
BAC,Order,1-4-BSOC,1-4,BSOC,BSOC,BSO
BAC,Order,1-5-BSES,1-5,BSES,BSES,BSE
BAC,Order,1-6-DGGW,1-6,DGGW,DGGW,DGG
BAC,Order,1-7-DGDS,1-7,DGDS,DGDS,DGD
BAC,Order,1-8-DGJY,1-8,DGJY,DGJY,DGJ
BAC,Order,1-9-DGGB,1-9,DGGB,DGGB,DGB
BAC,Order,2-1-BSSG,2-1,BSSG,BSSG,BSS
BAC,Order,2-10-DGDC,2-10,DGDC,DGDC,DGC
BAC,Order,2-11-DGYSa,2-11,DGYSa,DGYSa,DGY
BAC,Order,2-12-USOS,2-12,USOS,USOS,USO
BAC,Order,2-13-USYY,2-13,USYY,USYY,USY
BAC,Order,2-14-USYJ,2-14,USYJ,USYJ,USJ
BAC,Order,2-15-GSGA,2-15,GSGA,GSGA,GSG
BAC,Order,2-16-GCGD,2-16,GCGD,GCGD,GCG
BAC,Order,2-17-MGYS,2-17,MGYS,MGYS,MGY
BAC,Order,2-18-ADAS,2-18,ADAS,ADAS,ADA
