SiteGroup,Site,samples,seasons
ADA,ADA,4,Summer|Fall|Winter|Spring
ADP,ADP,3,Summer|Fall|Winter
BSE,BSE,4,Summer|Fall|Winter|Spring
BSI,BSI,4,Summer|Fall|Winter|Spring
BSI,BSIb,1,Summer
BSN,BSN,4,Summer|Fall|Winter|Spring
BSO,BSO,4,Summer|Fall|Winter|Spring
BSS,BSS,4,Summer|Fall|Winter|Spring
CGS,CGS,4,Summer|Fall|Winter|Spring
CWM,CWM,4,Summer|Fall|Winter|Spring
CWS,CWS,4,Summer|Fall|Winter|Spring
DGB,DGB,4,Summer|Fall|Winter|Spring
DGC,DGC,4,Summer|Fall|Winter|Spring
DGD,DGD,4,Summer|Fall|Winter|Spring
DGG,DGG,4,Summer|Fall|Winter|Spring
DGJ,DGJ,4,Summer|Fall|Winter|Spring
DGY,DGY,4,Summer|Fall|Winter|Spring
DGY,DGYb,1,Summer
GCG,GCG,4,Summer|Fall|Winter|Spring
GHGa,GHGa,3,Summer|Fall|Winter
GHGb,GHGb,4,Summer|Fall|Winter|Spring
GHH,GHH,4,Summer|Fall|Winter|Spring
GHJ,GHJ,4,Summer|Fall|Winter|Spring
GSG,GSG,4,Summer|Fall|Winter|Spring
JJN,JJN,4,Summer|Fall|Winter|Spring
JJY,JJY,3,Fall|Winter|Spring
MGY,MGY,4,Summer|Fall|Winter|Spring
MYS,MYS,4,Summer|Fall|Winter|Spring
SCH,SCH,4,Summer|Fall|Winter|Spring
UJG,UJG,4,Summer|Fall|Winter|Spring
USJ,USJ,4,Summer|Fall|Winter|Spring
USO,USO,4,Summer|Fall|Winter|Spring
USY,USY,4,Summer|Fall|Winter|Spring
YCD,YCD,4,Summer|Fall|Winter|Spring
YCG,YCG,3,Summer|Fall|Winter
YSD,YSD,4,Summer|Fall|Winter|Spring
YSY,YSY,4,Summer|Fall|Winter|Spring
