feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_O::0319-6G20,0319-6G20,Bacteria,Order,14,10,True
BAC_O::053A03-B-DI-P58,053A03-B-DI-P58,Bacteria,Order,1,1,True
BAC_O::1-20,1-20,Bacteria,Order,10,5,True
BAC_O::113B434,113B434,Bacteria,Order,4,3,True
BAC_O::Absconditabacteriales_(SR1),Absconditabacteriales_(SR1),Bacteria,Order,13,10,True
BAC_O::Acetobacterales,Acetobacterales,Bacteria,Order,16,11,True
BAC_O::Acetothermiia,Acetothermiia,Bacteria,Order,12,4,True
BAC_O::Acholeplasmatales,Acholeplasmatales,Bacteria,Order,72,61,True
BAC_O::Acidaminococcales,Acidaminococcales,Bacteria,Order,27,20,True
BAC_O::Acidobacteriae,Acidobacteriae,Bacteria,Order,1,1,True
BAC_O::Actinomycetales,Actinomycetales,Bacteria,Order,18,16,True
BAC_O::Aeromonadales,Aeromonadales,Bacteria,Order,22,13,True
BAC_O::Alteromonadales,Alteromonadales,Bacteria,Order,1,1,True
BAC_O::Aminicenantales,Aminicenantales,Bacteria,Order,61,41,True
BAC_O::Anaerolineales,Anaerolineales,Bacteria,Order,85,67,True
BAC_O::Ardenticatenales,Ardenticatenales,Bacteria,Order,1,1,True
BAC_O::Arenicellales,Arenicellales,Bacteria,Order,1,1,True
BAC_O::B55-F-B-G02,B55-F-B-G02,Bacteria,Order,5,5,True
BAC_O::BRH-c20a,BRH-c20a,Bacteria,Order,8,6,True
BAC_O::Babeliales,Babeliales,Bacteria,Order,34,25,True
BAC_O::Bacillales,Bacillales,Bacteria,Order,16,12,True
BAC_O::Bacteriovoracales,Bacteriovoracales,Bacteria,Order,1,1,True
BAC_O::Bacteroidales,Bacteroidales,Bacteria,Order,137,109,True
BAC_O::Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22,Bacteria,Order,12,11,True
BAC_O::Bdellovibrionales,Bdellovibrionales,Bacteria,Order,2,2,True
BAC_O::Bifidobacteriales,Bifidobacteriales,Bacteria,Order,9,7,True
BAC_O::Blastocatellales,Blastocatellales,Bacteria,Order,15,8,True
BAC_O::Brachyspirales,Brachyspirales,Bacteria,Order,36,24,True
BAC_O::Bradymonadales,Bradymonadales,Bacteria,Order,1,1,True
BAC_O::Bryobacterales,Bryobacterales,Bacteria,Order,2,2,True
BAC_O::Burkholderiales,Burkholderiales,Bacteria,Order,112,84,True
BAC_O::C10-SB1A,C10-SB1A,Bacteria,Order,2,2,True
BAC_O::CCM19a,CCM19a,Bacteria,Order,4,2,True
BAC_O::CK-2C2-2,CK-2C2-2,Bacteria,Order,9,7,True
BAC_O::Caldatribacteriales,Caldatribacteriales,Bacteria,Order,83,68,True
BAC_O::Caldicoprobacterales,Caldicoprobacterales,Bacteria,Order,71,59,True
BAC_O::Caldilineales,Caldilineales,Bacteria,Order,25,22,True
BAC_O::Caldisericales,Caldisericales,Bacteria,Order,84,64,True
BAC_O::Campylobacterales,Campylobacterales,Bacteria,Order,26,16,True
BAC_O::Candidatus_Falkowbacteria,Candidatus_Falkowbacteria,Bacteria,Order,2,1,True
BAC_O::Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria,Bacteria,Order,5,4,True
