fold,block,feature,training_samples_above_0_1_percent
1,BAC_P,BAC_P::Acetothermia,4
1,BAC_P,BAC_P::Acidobacteriota,40
1,BAC_P,BAC_P::Actinobacteriota,73
1,BAC_P,BAC_P::Armatimonadota,36
1,BAC_P,BAC_P::Bacteroidota,85
1,BAC_P,BAC_P::Bdellovibrionota,11
1,BAC_P,BAC_P::CK-2C2-2,5
1,BAC_P,BAC_P::Caldatribacteriota,67
1,BAC_P,BAC_P::Caldisericota,48
1,BAC_P,BAC_P::Calditrichota,0
1,BAC_P,BAC_P::Campilobacterota,12
1,BAC_P,BAC_P::Chloroflexi,57
1,BAC_P,BAC_P::Cloacimonadota,80
1,BAC_P,BAC_P::Coprothermobacterota,5
1,BAC_P,BAC_P::Cyanobacteria,2
1,BAC_P,BAC_P::Dadabacteria,0
1,BAC_P,BAC_P::Deinococcota,3
1,BAC_P,BAC_P::Dependentiae,20
1,BAC_P,BAC_P::Desulfobacterota,62
1,BAC_P,BAC_P::Elusimicrobiota,5
1,BAC_P,BAC_P::Fermentibacterota,5
1,BAC_P,BAC_P::Fibrobacterota,8
1,BAC_P,BAC_P::Firmicutes,85
1,BAC_P,BAC_P::Fusobacteriota,11
1,BAC_P,BAC_P::Gemmatimonadota,10
1,BAC_P,BAC_P::Halanaerobiaeota,2
1,BAC_P,BAC_P::Hydrogenedentes,35
1,BAC_P,BAC_P::Hydrothermae,1
1,BAC_P,BAC_P::LCP-89,0
1,BAC_P,BAC_P::Latescibacterota,1
1,BAC_P,BAC_P::MBNT15,0
1,BAC_P,BAC_P::Marinimicrobia_(SAR406_clade),20
1,BAC_P,BAC_P::Myxococcota,9
1,BAC_P,BAC_P::NB1-j,0
1,BAC_P,BAC_P::NKB15,4
1,BAC_P,BAC_P::Nitrospirota,5
1,BAC_P,BAC_P::Patescibacteria,44
1,BAC_P,BAC_P::Planctomycetota,53
1,BAC_P,BAC_P::Proteobacteria,71
1,BAC_P,BAC_P::Spirochaetota,79
1,BAC_P,BAC_P::Sumerlaeota,9
1,BAC_P,BAC_P::Sva0485,2
1,BAC_P,BAC_P::Synergistota,83
1,BAC_P,BAC_P::TA06,4
1,BAC_P,BAC_P::Thermotogota,65
1,BAC_P,BAC_P::Verrucomicrobiota,78
1,BAC_P,BAC_P::WPS-2,1
1,BAC_P,BAC_P::WS1,30
1,BAC_P,BAC_P::Zixibacteria,2
1,BAC_P,BAC_P::unidentified,48
1,ARC_P,ARC_P::Aenigmarchaeota,2
1,ARC_P,ARC_P::Asgardarchaeota,2
1,ARC_P,ARC_P::Crenarchaeota,42
1,ARC_P,ARC_P::Cryptomycota,0
1,ARC_P,ARC_P::Euryarchaeota,76
1,ARC_P,ARC_P::Halobacterota,85
1,ARC_P,ARC_P::Holozoa,1
1,ARC_P,ARC_P::Micrarchaeota,10
1,ARC_P,ARC_P::Mollusca,2
1,ARC_P,ARC_P::Nanoarchaeota,29
1,ARC_P,ARC_P::Thermoplasmatota,82
1,ARC_P,ARC_P::Vertebrata,1
1,ARC_P,ARC_P::unidentified,74
2,BAC_P,BAC_P::Acetothermia,4
2,BAC_P,BAC_P::Acidobacteriota,48
2,BAC_P,BAC_P::Actinobacteriota,76
2,BAC_P,BAC_P::Armatimonadota,42
2,BAC_P,BAC_P::Bacteroidota,90
2,BAC_P,BAC_P::Bdellovibrionota,13
2,BAC_P,BAC_P::CK-2C2-2,5
2,BAC_P,BAC_P::Caldatribacteriota,69
2,BAC_P,BAC_P::Caldisericota,56
2,BAC_P,BAC_P::Calditrichota,0
2,BAC_P,BAC_P::Campilobacterota,15
2,BAC_P,BAC_P::Chloroflexi,65
2,BAC_P,BAC_P::Cloacimonadota,89
2,BAC_P,BAC_P::Coprothermobacterota,4
2,BAC_P,BAC_P::Cyanobacteria,2
2,BAC_P,BAC_P::Dadabacteria,0
2,BAC_P,BAC_P::Deinococcota,0
2,BAC_P,BAC_P::Dependentiae,24
2,BAC_P,BAC_P::Desulfobacterota,71
2,BAC_P,BAC_P::Elusimicrobiota,7
2,BAC_P,BAC_P::Fermentibacterota,11
2,BAC_P,BAC_P::Fibrobacterota,12
2,BAC_P,BAC_P::Firmicutes,90
2,BAC_P,BAC_P::Fusobacteriota,12
2,BAC_P,BAC_P::Gemmatimonadota,11
2,BAC_P,BAC_P::Halanaerobiaeota,2
2,BAC_P,BAC_P::Hydrogenedentes,45
2,BAC_P,BAC_P::Hydrothermae,1
2,BAC_P,BAC_P::LCP-89,0
2,BAC_P,BAC_P::Latescibacterota,0
2,BAC_P,BAC_P::MBNT15,0
2,BAC_P,BAC_P::Marinimicrobia_(SAR406_clade),23
2,BAC_P,BAC_P::Myxococcota,11
2,BAC_P,BAC_P::NB1-j,0
2,BAC_P,BAC_P::NKB15,5
2,BAC_P,BAC_P::Nitrospirota,5
2,BAC_P,BAC_P::Patescibacteria,50
2,BAC_P,BAC_P::Planctomycetota,62
2,BAC_P,BAC_P::Proteobacteria,75
2,BAC_P,BAC_P::Spirochaetota,87
2,BAC_P,BAC_P::Sumerlaeota,12
2,BAC_P,BAC_P::Sva0485,2
2,BAC_P,BAC_P::Synergistota,90
2,BAC_P,BAC_P::TA06,2
2,BAC_P,BAC_P::Thermotogota,69
2,BAC_P,BAC_P::Verrucomicrobiota,87
2,BAC_P,BAC_P::WPS-2,3
2,BAC_P,BAC_P::WS1,29
2,BAC_P,BAC_P::Zixibacteria,3
2,BAC_P,BAC_P::unidentified,55
2,ARC_P,ARC_P::Aenigmarchaeota,2
2,ARC_P,ARC_P::Asgardarchaeota,1
2,ARC_P,ARC_P::Crenarchaeota,48
2,ARC_P,ARC_P::Cryptomycota,0
2,ARC_P,ARC_P::Euryarchaeota,82
2,ARC_P,ARC_P::Halobacterota,90
2,ARC_P,ARC_P::Holozoa,1
2,ARC_P,ARC_P::Micrarchaeota,13
2,ARC_P,ARC_P::Mollusca,0
2,ARC_P,ARC_P::Nanoarchaeota,33
2,ARC_P,ARC_P::Thermoplasmatota,85
2,ARC_P,ARC_P::Vertebrata,0
2,ARC_P,ARC_P::unidentified,74
3,BAC_P,BAC_P::Acetothermia,4
3,BAC_P,BAC_P::Acidobacteriota,46
3,BAC_P,BAC_P::Actinobacteriota,74
3,BAC_P,BAC_P::Armatimonadota,43
3,BAC_P,BAC_P::Bacteroidota,86
3,BAC_P,BAC_P::Bdellovibrionota,10
3,BAC_P,BAC_P::CK-2C2-2,7
3,BAC_P,BAC_P::Caldatribacteriota,62
3,BAC_P,BAC_P::Caldisericota,49
3,BAC_P,BAC_P::Calditrichota,0
3,BAC_P,BAC_P::Campilobacterota,14
3,BAC_P,BAC_P::Chloroflexi,58
3,BAC_P,BAC_P::Cloacimonadota,81
3,BAC_P,BAC_P::Coprothermobacterota,8
3,BAC_P,BAC_P::Cyanobacteria,2
3,BAC_P,BAC_P::Dadabacteria,0
3,BAC_P,BAC_P::Deinococcota,3
3,BAC_P,BAC_P::Dependentiae,15
3,BAC_P,BAC_P::Desulfobacterota,59
3,BAC_P,BAC_P::Elusimicrobiota,5
3,BAC_P,BAC_P::Fermentibacterota,7
3,BAC_P,BAC_P::Fibrobacterota,9
3,BAC_P,BAC_P::Firmicutes,86
3,BAC_P,BAC_P::Fusobacteriota,12
3,BAC_P,BAC_P::Gemmatimonadota,12
3,BAC_P,BAC_P::Halanaerobiaeota,2
3,BAC_P,BAC_P::Hydrogenedentes,37
3,BAC_P,BAC_P::Hydrothermae,1
3,BAC_P,BAC_P::LCP-89,0
3,BAC_P,BAC_P::Latescibacterota,1
3,BAC_P,BAC_P::MBNT15,0
3,BAC_P,BAC_P::Marinimicrobia_(SAR406_clade),14
3,BAC_P,BAC_P::Myxococcota,9
3,BAC_P,BAC_P::NB1-j,0
3,BAC_P,BAC_P::NKB15,5
3,BAC_P,BAC_P::Nitrospirota,6
3,BAC_P,BAC_P::Patescibacteria,46
3,BAC_P,BAC_P::Planctomycetota,53
3,BAC_P,BAC_P::Proteobacteria,71
3,BAC_P,BAC_P::Spirochaetota,78
3,BAC_P,BAC_P::Sumerlaeota,15
3,BAC_P,BAC_P::Sva0485,2
3,BAC_P,BAC_P::Synergistota,84
3,BAC_P,BAC_P::TA06,4
3,BAC_P,BAC_P::Thermotogota,70
3,BAC_P,BAC_P::Verrucomicrobiota,78
3,BAC_P,BAC_P::WPS-2,2
3,BAC_P,BAC_P::WS1,28
3,BAC_P,BAC_P::Zixibacteria,3
3,BAC_P,BAC_P::unidentified,51
3,ARC_P,ARC_P::Aenigmarchaeota,2
3,ARC_P,ARC_P::Asgardarchaeota,2
3,ARC_P,ARC_P::Crenarchaeota,46
3,ARC_P,ARC_P::Cryptomycota,0
3,ARC_P,ARC_P::Euryarchaeota,75
3,ARC_P,ARC_P::Halobacterota,86
