SiteGroup,Site,Season,SampleID
ADA,ADA,Fall,2-18
ADA,ADA,Spring,4-18
ADA,ADA,Summer,1-18
ADA,ADA,Winter,3-18
ADP,ADP,Fall,2-19
ADP,ADP,Summer,1-19
ADP,ADP,Winter,3-19
BSE,BSE,Fall,2-5
BSE,BSE,Spring,4-5
BSE,BSE,Summer,1-5
BSE,BSE,Winter,3-5
BSI,BSI,Fall,2-3
BSI,BSI,Spring,4-3
BSI,BSI,Summer,1-3
BSI,BSI,Winter,3-3
BSI,BSIb,Summer,1-3b
BSN,BSN,Fall,2-2
BSN,BSN,Spring,4-2
BSN,BSN,Summer,1-2
BSN,BSN,Winter,3-2
BSO,BSO,Fall,2-4
BSO,BSO,Spring,4-4
BSO,BSO,Summer,1-4
BSO,BSO,Winter,3-4
BSS,BSS,Fall,2-1
BSS,BSS,Spring,4-1
BSS,BSS,Summer,1-1
BSS,BSS,Winter,3-1
CGS,CGS,Fall,2-23
CGS,CGS,Spring,4-23
CGS,CGS,Summer,1-23
CGS,CGS,Winter,3-23
CWM,CWM,Fall,2-33
CWM,CWM,Spring,4-33
CWM,CWM,Summer,1-33
CWM,CWM,Winter,3-33
CWS,CWS,Fall,2-34
CWS,CWS,Spring,4-34
CWS,CWS,Summer,1-34
CWS,CWS,Winter,3-34
DGB,DGB,Fall,2-9
DGB,DGB,Spring,4-9
DGB,DGB,Summer,1-9
DGB,DGB,Winter,3-9
DGC,DGC,Fall,2-10
DGC,DGC,Spring,4-10
DGC,DGC,Summer,1-10
DGC,DGC,Winter,3-10
DGD,DGD,Fall,2-7
DGD,DGD,Spring,4-7
DGD,DGD,Summer,1-7
DGD,DGD,Winter,3-7
DGG,DGG,Fall,2-6
DGG,DGG,Spring,4-6
DGG,DGG,Summer,1-6
DGG,DGG,Winter,3-6
DGJ,DGJ,Fall,2-8
DGJ,DGJ,Spring,4-8
DGJ,DGJ,Summer,1-8
DGJ,DGJ,Winter,3-8
DGY,DGY,Fall,2-11
DGY,DGY,Spring,4-11
DGY,DGY,Summer,1-11
DGY,DGY,Winter,3-11
DGY,DGYb,Summer,1-11b
GCG,GCG,Fall,2-16
GCG,GCG,Spring,4-16
GCG,GCG,Summer,1-16
GCG,GCG,Winter,3-16
GHGa,GHGa,Fall,2-24
GHGa,GHGa,Summer,1-24
GHGa,GHGa,Winter,3-24
GHGb,GHGb,Fall,2-25
GHGb,GHGb,Spring,4-25
GHGb,GHGb,Summer,1-25
GHGb,GHGb,Winter,3-25
GHH,GHH,Fall,2-26
GHH,GHH,Spring,4-26
GHH,GHH,Summer,1-26
GHH,GHH,Winter,3-26
GHJ,GHJ,Fall,2-27
GHJ,GHJ,Spring,4-27
GHJ,GHJ,Summer,1-27
GHJ,GHJ,Winter,3-27
GSG,GSG,Fall,2-15
GSG,GSG,Spring,4-15
GSG,GSG,Summer,1-15
GSG,GSG,Winter,3-15
JJN,JJN,Fall,2-32
JJN,JJN,Spring,4-32
JJN,JJN,Summer,1-32
JJN,JJN,Winter,3-32
JJY,JJY,Fall,2-32'
JJY,JJY,Spring,4-32'
JJY,JJY,Winter,3-32'
MGY,MGY,Fall,2-17
MGY,MGY,Spring,4-17
MGY,MGY,Summer,1-17
MGY,MGY,Winter,3-17
MYS,MYS,Fall,2-28
MYS,MYS,Spring,4-28
MYS,MYS,Summer,1-28
MYS,MYS,Winter,3-28
SCH,SCH,Fall,2-29
SCH,SCH,Spring,4-29
SCH,SCH,Summer,1-29
SCH,SCH,Winter,3-29
UJG,UJG,Fall,2-22
UJG,UJG,Spring,4-22
UJG,UJG,Summer,1-22
UJG,UJG,Winter,3-22
USJ,USJ,Fall,2-14
USJ,USJ,Spring,4-14
USJ,USJ,Summer,1-14
USJ,USJ,Winter,3-14
USO,USO,Fall,2-12
USO,USO,Spring,4-12
USO,USO,Summer,1-12
USO,USO,Winter,3-12
USY,USY,Fall,2-13
USY,USY,Spring,4-13
USY,USY,Summer,1-13
USY,USY,Winter,3-13
YCD,YCD,Fall,2-21
YCD,YCD,Spring,4-21
YCD,YCD,Summer,1-21
YCD,YCD,Winter,3-21
YCG,YCG,Fall,2-20
YCG,YCG,Summer,1-20
YCG,YCG,Winter,3-20
YSD,YSD,Fall,2-30
YSD,YSD,Spring,4-30
YSD,YSD,Summer,1-30
YSD,YSD,Winter,3-30
YSY,YSY,Fall,2-31
YSY,YSY,Spring,4-31
YSY,YSY,Summer,1-31
YSY,YSY,Winter,3-31
