block,taxon,feature,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_P,Acetothermia,BAC_P::Acetothermia,12,4,True
BAC_P,Acidobacteriota,BAC_P::Acidobacteriota,77,56,True
BAC_P,Actinobacteriota,BAC_P::Actinobacteriota,123,95,True
BAC_P,Armatimonadota,BAC_P::Armatimonadota,68,50,True
BAC_P,Bacteroidota,BAC_P::Bacteroidota,138,109,True
BAC_P,Bdellovibrionota,BAC_P::Bdellovibrionota,22,16,True
BAC_P,CK-2C2-2,BAC_P::CK-2C2-2,9,7,True
BAC_P,Caldatribacteriota,BAC_P::Caldatribacteriota,108,84,True
BAC_P,Caldisericota,BAC_P::Caldisericota,84,64,True
BAC_P,Calditrichota,BAC_P::Calditrichota,1,0,True
BAC_P,Campilobacterota,BAC_P::Campilobacterota,26,16,True
BAC_P,Chloroflexi,BAC_P::Chloroflexi,100,77,True
BAC_P,Cloacimonadota,BAC_P::Cloacimonadota,133,104,True
BAC_P,Coprothermobacterota,BAC_P::Coprothermobacterota,8,8,True
BAC_P,Cyanobacteria,BAC_P::Cyanobacteria,2,2,True
BAC_P,Dadabacteria,BAC_P::Dadabacteria,3,0,True
BAC_P,Deinococcota,BAC_P::Deinococcota,6,3,True
BAC_P,Dependentiae,BAC_P::Dependentiae,34,25,True
BAC_P,Desulfobacterota,BAC_P::Desulfobacterota,111,82,True
BAC_P,Elusimicrobiota,BAC_P::Elusimicrobiota,8,7,True
BAC_P,Fermentibacterota,BAC_P::Fermentibacterota,16,11,True
BAC_P,Fibrobacterota,BAC_P::Fibrobacterota,16,13,True
BAC_P,Firmicutes,BAC_P::Firmicutes,138,109,True
BAC_P,Fusobacteriota,BAC_P::Fusobacteriota,21,14,True
BAC_P,Gemmatimonadota,BAC_P::Gemmatimonadota,19,13,True
BAC_P,Halanaerobiaeota,BAC_P::Halanaerobiaeota,2,2,True
BAC_P,Hydrogenedentes,BAC_P::Hydrogenedentes,65,49,True
BAC_P,Hydrothermae,BAC_P::Hydrothermae,1,1,True
BAC_P,LCP-89,BAC_P::LCP-89,1,0,True
BAC_P,Latescibacterota,BAC_P::Latescibacterota,3,1,True
BAC_P,MBNT15,BAC_P::MBNT15,1,0,True
BAC_P,Marinimicrobia_(SAR406_clade),BAC_P::Marinimicrobia_(SAR406_clade),30,24,True
BAC_P,Myxococcota,BAC_P::Myxococcota,19,12,True
BAC_P,NB1-j,BAC_P::NB1-j,2,0,True
BAC_P,NKB15,BAC_P::NKB15,6,6,True
BAC_P,Nitrospirota,BAC_P::Nitrospirota,15,7,True
BAC_P,Patescibacteria,BAC_P::Patescibacteria,76,58,True
BAC_P,Planctomycetota,BAC_P::Planctomycetota,92,71,True
BAC_P,Proteobacteria,BAC_P::Proteobacteria,121,92,True
BAC_P,Spirochaetota,BAC_P::Spirochaetota,129,101,True
BAC_P,Sumerlaeota,BAC_P::Sumerlaeota,22,15,True
BAC_P,Sva0485,BAC_P::Sva0485,8,2,True
BAC_P,Synergistota,BAC_P::Synergistota,136,107,True
BAC_P,TA06,BAC_P::TA06,8,4,True
BAC_P,Thermotogota,BAC_P::Thermotogota,105,85,True
BAC_P,Verrucomicrobiota,BAC_P::Verrucomicrobiota,130,101,True
BAC_P,WPS-2,BAC_P::WPS-2,4,3,True
BAC_P,WS1,BAC_P::WS1,47,37,True
BAC_P,Zixibacteria,BAC_P::Zixibacteria,5,3,True
BAC_P,unidentified,BAC_P::unidentified,84,65,True
ARC_P,Aenigmarchaeota,ARC_P::Aenigmarchaeota,2,2,True
ARC_P,Asgardarchaeota,ARC_P::Asgardarchaeota,4,2,True
ARC_P,Crenarchaeota,ARC_P::Crenarchaeota,76,58,True
ARC_P,Cryptomycota,ARC_P::Cryptomycota,1,0,True
ARC_P,Euryarchaeota,ARC_P::Euryarchaeota,127,98,True
ARC_P,Halobacterota,ARC_P::Halobacterota,138,109,True
ARC_P,Holozoa,ARC_P::Holozoa,1,1,True
ARC_P,Micrarchaeota,ARC_P::Micrarchaeota,18,13,True
ARC_P,Mollusca,ARC_P::Mollusca,2,2,True
ARC_P,Nanoarchaeota,ARC_P::Nanoarchaeota,52,40,True
ARC_P,Thermoplasmatota,ARC_P::Thermoplasmatota,132,104,True
ARC_P,Vertebrata,ARC_P::Vertebrata,1,1,True
ARC_P,unidentified,ARC_P::unidentified,112,91,True
