fold,feature
1,BAC_P::Acetothermia
1,BAC_P::Acidobacteriota
1,BAC_P::Actinobacteriota
1,BAC_P::Armatimonadota
1,BAC_P::Bacteroidota
1,BAC_P::Bdellovibrionota
1,BAC_P::CK-2C2-2
1,BAC_P::Caldatribacteriota
1,BAC_P::Caldisericota
1,BAC_P::Campilobacterota
1,BAC_P::Chloroflexi
1,BAC_P::Cloacimonadota
1,BAC_P::Coprothermobacterota
1,BAC_P::Cyanobacteria
1,BAC_P::Deinococcota
1,BAC_P::Dependentiae
1,BAC_P::Desulfobacterota
1,BAC_P::Elusimicrobiota
1,BAC_P::Fermentibacterota
1,BAC_P::Fibrobacterota
1,BAC_P::Firmicutes
1,BAC_P::Fusobacteriota
1,BAC_P::Gemmatimonadota
1,BAC_P::Halanaerobiaeota
1,BAC_P::Hydrogenedentes
1,BAC_P::Hydrothermae
1,BAC_P::Latescibacterota
1,BAC_P::Marinimicrobia_(SAR406_clade)
1,BAC_P::Myxococcota
1,BAC_P::NKB15
1,BAC_P::Nitrospirota
1,BAC_P::Patescibacteria
1,BAC_P::Planctomycetota
1,BAC_P::Proteobacteria
1,BAC_P::Spirochaetota
1,BAC_P::Sumerlaeota
1,BAC_P::Sva0485
1,BAC_P::Synergistota
1,BAC_P::TA06
1,BAC_P::Thermotogota
1,BAC_P::Verrucomicrobiota
1,BAC_P::WPS-2
1,BAC_P::WS1
1,BAC_P::Zixibacteria
1,BAC_P::unidentified
1,ARC_P::Aenigmarchaeota
1,ARC_P::Asgardarchaeota
1,ARC_P::Crenarchaeota
1,ARC_P::Euryarchaeota
1,ARC_P::Halobacterota
1,ARC_P::Holozoa
1,ARC_P::Micrarchaeota
1,ARC_P::Mollusca
1,ARC_P::Nanoarchaeota
1,ARC_P::Thermoplasmatota
1,ARC_P::Vertebrata
1,ARC_P::unidentified
2,BAC_P::Acetothermia
2,BAC_P::Acidobacteriota
2,BAC_P::Actinobacteriota
2,BAC_P::Armatimonadota
2,BAC_P::Bacteroidota
2,BAC_P::Bdellovibrionota
2,BAC_P::CK-2C2-2
2,BAC_P::Caldatribacteriota
2,BAC_P::Caldisericota
2,BAC_P::Campilobacterota
2,BAC_P::Chloroflexi
2,BAC_P::Cloacimonadota
2,BAC_P::Coprothermobacterota
2,BAC_P::Cyanobacteria
2,BAC_P::Dependentiae
2,BAC_P::Desulfobacterota
2,BAC_P::Elusimicrobiota
2,BAC_P::Fermentibacterota
2,BAC_P::Fibrobacterota
2,BAC_P::Firmicutes
2,BAC_P::Fusobacteriota
2,BAC_P::Gemmatimonadota
2,BAC_P::Halanaerobiaeota
2,BAC_P::Hydrogenedentes
2,BAC_P::Hydrothermae
2,BAC_P::Marinimicrobia_(SAR406_clade)
2,BAC_P::Myxococcota
2,BAC_P::NKB15
2,BAC_P::Nitrospirota
2,BAC_P::Patescibacteria
2,BAC_P::Planctomycetota
2,BAC_P::Proteobacteria
2,BAC_P::Spirochaetota
2,BAC_P::Sumerlaeota
2,BAC_P::Sva0485
2,BAC_P::Synergistota
2,BAC_P::TA06
2,BAC_P::Thermotogota
2,BAC_P::Verrucomicrobiota
2,BAC_P::WPS-2
2,BAC_P::WS1
2,BAC_P::Zixibacteria
2,BAC_P::unidentified
2,ARC_P::Aenigmarchaeota
2,ARC_P::Asgardarchaeota
2,ARC_P::Crenarchaeota
2,ARC_P::Euryarchaeota
2,ARC_P::Halobacterota
2,ARC_P::Holozoa
2,ARC_P::Micrarchaeota
2,ARC_P::Nanoarchaeota
2,ARC_P::Thermoplasmatota
2,ARC_P::unidentified
3,BAC_P::Acetothermia
3,BAC_P::Acidobacteriota
3,BAC_P::Actinobacteriota
3,BAC_P::Armatimonadota
