SampleID,BAC_P::Acetothermia,BAC_P::Acidobacteriota,BAC_P::Actinobacteriota,BAC_P::Armatimonadota,BAC_P::Bacteroidota,BAC_P::Bdellovibrionota,BAC_P::CK-2C2-2,BAC_P::Caldatribacteriota,BAC_P::Caldisericota,BAC_P::Calditrichota,BAC_P::Campilobacterota,BAC_P::Chloroflexi,BAC_P::Cloacimonadota,BAC_P::Coprothermobacterota,BAC_P::Cyanobacteria,BAC_P::Dadabacteria,BAC_P::Deinococcota,BAC_P::Dependentiae,BAC_P::Desulfobacterota,BAC_P::Elusimicrobiota,BAC_P::Fermentibacterota,BAC_P::Fibrobacterota,BAC_P::Firmicutes,BAC_P::Fusobacteriota,BAC_P::Gemmatimonadota,BAC_P::Halanaerobiaeota,BAC_P::Hydrogenedentes,BAC_P::Hydrothermae,BAC_P::LCP-89,BAC_P::Latescibacterota,BAC_P::MBNT15,BAC_P::Marinimicrobia_(SAR406_clade),BAC_P::Myxococcota,BAC_P::NB1-j,BAC_P::NKB15,BAC_P::Nitrospirota,BAC_P::Patescibacteria,BAC_P::Planctomycetota,BAC_P::Proteobacteria,BAC_P::Spirochaetota,BAC_P::Sumerlaeota,BAC_P::Sva0485,BAC_P::Synergistota,BAC_P::TA06,BAC_P::Thermotogota,BAC_P::Verrucomicrobiota,BAC_P::WPS-2,BAC_P::WS1,BAC_P::Zixibacteria,BAC_P::unidentified,ARC_P::Aenigmarchaeota,ARC_P::Asgardarchaeota,ARC_P::Crenarchaeota,ARC_P::Cryptomycota,ARC_P::Euryarchaeota,ARC_P::Halobacterota,ARC_P::Holozoa,ARC_P::Micrarchaeota,ARC_P::Mollusca,ARC_P::Nanoarchaeota,ARC_P::Thermoplasmatota,ARC_P::Vertebrata,ARC_P::unidentified
1-1,0.0,0.0,2.929,0.0,21.441,0.0,0.0,0.872,0.0,0.0,0.0,0.0,8.534,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.215,60.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.473,1.949,0.0,0.0,1.061,0.0,0.323,0.867,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.159,95.725,0.0,0.0,0.0,0.0,1.399,0.0,2.511
2-1,0.0,0.0,2.223,0.0,19.316,0.0,0.0,1.322,0.0,0.0,0.0,0.0,5.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,4.667,1.338,0.0,0.0,0.842,0.0,0.141,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674,91.614,0.0,0.0,0.0,0.0,1.742,0.0,5.971
3-1,0.0,0.0,2.66,0.0,19.81,0.0,0.0,0.223,0.0,0.0,0.0,0.0,8.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451,1.593,0.0,0.0,0.467,0.0,0.105,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.224,0.0,90.256
4-1,0.0,0.0,4.567,0.0,18.526,0.0,0.0,2.565,0.0,0.0,0.0,0.127,2.703,0.0,0.0,0.0,0.0,0.0,0.212,0.0,0.0,0.0,60.36799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.444,0.469,0.0,0.0,1.068,0.0,0.471,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.247,0.0,0.0,0.0,0.0,0.387,0.0,0.301
1-2,0.0,0.0,0.9410000000000001,0.0,33.63,0.0,0.0,0.424,0.246,0.0,0.0,1.965,11.439,0.0,0.0,0.0,0.0,0.0,3.026,0.0,0.0,0.0,33.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181,3.836,0.3,0.0,0.0,2.847,0.0,5.744,0.366,0.0,0.146,0.0,1.048,0.0,0.0,0.193,0.0,9.49,86.74900000000001,0.0,0.0,0.0,1.166,0.994,0.0,1.408
2-2,0.0,0.336,1.124,0.0,28.731,0.247,0.0,0.634,0.342,0.0,0.0,1.208,14.888,0.0,0.0,0.0,0.0,0.151,3.25,0.0,0.0,0.0,32.076,0.0,0.282,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.212,0.0,0.0,0.0,0.368,0.656,6.572,0.362,0.0,0.0,2.139,0.0,4.551,0.5690000000000001,0.0,0.187,0.0,0.8310000000000001,0.0,0.0,0.0,0.0,12.678,84.20100000000001,0.0,0.0,0.0,1.789,0.914,0.0,0.418
3-2,0.0,0.137,0.829,0.0,20.418,0.0,0.0,0.338,0.528,0.0,0.0,1.917,22.348,0.0,0.0,0.0,0.0,0.0,3.412,0.834,0.0,0.0,32.486,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.156,4.015,0.5589999999999999,0.0,0.0,2.853,0.0,6.63,0.9600000000000001,0.0,0.173,0.0,0.8290000000000001,0.0,0.0,0.607,0.0,12.028,85.156,0.0,0.0,0.0,0.663,1.464,0.0,0.0
4-2,0.0,0.471,2.108,0.0,25.538,0.0,0.0,0.5449999999999999,0.523,0.0,0.0,1.003,15.025,0.0,0.0,0.0,0.0,0.0,4.018,0.0,0.0,0.0,28.355,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.0,0.171,0.0,0.0,0.0,0.0,0.0,0.397,6.472,0.6869999999999999,0.0,0.0,2.741,0.0,9.699,0.698,0.0,0.273,0.0,0.823,0.0,0.0,0.163,0.0,8.225,91.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-3,0.0,0.414,1.963,0.156,25.081,0.0,0.0,0.333,0.742,0.0,0.0,1.923,17.62,0.0,0.0,0.0,0.0,2.1,5.519,0.0,0.0,0.0,15.366,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,1.175,11.596,2.915,0.0,0.0,6.313,0.0,2.699,1.824,0.0,0.0,0.0,1.07,0.0,0.0,0.663,0.0,21.419,53.749,0.0,0.0,0.0,0.348,0.5449999999999999,0.0,23.278
2-3,0.0,0.228,1.225,0.472,24.745,0.104,0.0,0.319,0.864,0.0,0.0,0.655,25.723,0.0,0.0,0.0,0.0,0.739,5.415,0.0,0.0,0.0,14.857,0.0,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.542,9.984,2.119,0.0,0.0,5.119,0.0,3.613,1.785,0.0,0.0,0.0,1.002,0.0,0.0,0.0,0.0,27.643,71.187,0.0,0.0,0.0,0.0,1.021,0.0,0.149
