Model,domain,feature,importance,taxonomic_level
RandomForest,Bacteria,BAC_P::Spirochaetota,0.0732541170989246,Phylum
RandomForest,Bacteria,BAC_P::Planctomycetota,0.0649841945827419,Phylum
RandomForest,Bacteria,BAC_P::Cloacimonadota,0.0581128377823243,Phylum
RandomForest,Bacteria,BAC_P::Caldatribacteriota,0.0562162212874943,Phylum
RandomForest,Bacteria,BAC_P::Firmicutes,0.055416432835869,Phylum
RandomForest,Bacteria,BAC_P::Chloroflexi,0.054793111523863,Phylum
RandomForest,Bacteria,BAC_P::Bacteroidota,0.0543595149754937,Phylum
RandomForest,Bacteria,BAC_P::Actinobacteriota,0.0532623666988456,Phylum
RandomForest,Bacteria,BAC_P::Synergistota,0.0496692907037803,Phylum
RandomForest,Bacteria,BAC_P::Thermotogota,0.047171734449081,Phylum
RandomForest,Archaea,ARC_P::Euryarchaeota,0.0470682214306214,Phylum
RandomForest,Bacteria,BAC_P::Desulfobacterota,0.0457136926060274,Phylum
RandomForest,Bacteria,BAC_P::Proteobacteria,0.0449927617592102,Phylum
RandomForest,Bacteria,BAC_P::Verrucomicrobiota,0.0449686230822924,Phylum
RandomForest,Archaea,ARC_P::Halobacterota,0.0330136385314107,Phylum
RandomForest,Bacteria,BAC_P::unidentified,0.0327086816456393,Phylum
RandomForest,Bacteria,BAC_P::Caldisericota,0.0281354549176312,Phylum
RandomForest,Archaea,ARC_P::Thermoplasmatota,0.0272405541895187,Phylum
RandomForest,Archaea,ARC_P::unidentified,0.0175702310581916,Phylum
RandomForest,Bacteria,BAC_P::Armatimonadota,0.0152616855658243,Phylum
RandomForest,Archaea,ARC_P::Crenarchaeota,0.0128165961041583,Phylum
RandomForest,Bacteria,BAC_P::Acidobacteriota,0.0123546586845346,Phylum
RandomForest,Archaea,ARC_P::Nanoarchaeota,0.0120238252740634,Phylum
RandomForest,Bacteria,BAC_P::Hydrogenedentes,0.0102971882443883,Phylum
RandomForest,Bacteria,BAC_P::Patescibacteria,0.0072867205146946,Phylum
RandomForest,Bacteria,BAC_P::WS1,0.0067131901735121,Phylum
RandomForest,Bacteria,BAC_P::Fibrobacterota,0.0065603318884688,Phylum
RandomForest,Bacteria,BAC_P::Marinimicrobia_(SAR406_clade),0.0064196145297289,Phylum
RandomForest,Bacteria,BAC_P::Fusobacteriota,0.0051588826746563,Phylum
RandomForest,Bacteria,BAC_P::Fermentibacterota,0.0048513320302352,Phylum
RandomForest,Bacteria,BAC_P::Campilobacterota,0.0027021291147074,Phylum
RandomForest,Bacteria,BAC_P::Myxococcota,0.002036417988066,Phylum
RandomForest,Bacteria,BAC_P::Dependentiae,0.0014820391108404,Phylum
RandomForest,Bacteria,BAC_P::Bdellovibrionota,0.001478223643987,Phylum
RandomForest,Bacteria,BAC_P::CK-2C2-2,0.0013585206819874,Phylum
RandomForest,Bacteria,BAC_P::Elusimicrobiota,0.0013427529108332,Phylum
RandomForest,Bacteria,BAC_P::Gemmatimonadota,0.000511701386288,Phylum
RandomForest,Bacteria,BAC_P::Sumerlaeota,0.0004053905426197,Phylum
RandomForest,Bacteria,BAC_P::Coprothermobacterota,0.0001799735886269,Phylum
RandomForest,Archaea,ARC_P::Micrarchaeota,0.0001071441888166,Phylum
RandomForest,Bacteria,BAC_P::Nitrospirota,1.545128450127201e-17,Phylum
RandomForest,Archaea,ARC_P::Aenigmarchaeota,0.0,Phylum
RandomForest,Archaea,ARC_P::Asgardarchaeota,0.0,Phylum
RandomForest,Archaea,ARC_P::Holozoa,0.0,Phylum
RandomForest,Archaea,ARC_P::Mollusca,0.0,Phylum
RandomForest,Archaea,ARC_P::Vertebrata,0.0,Phylum
RandomForest,Bacteria,BAC_P::Acetothermia,0.0,Phylum
RandomForest,Bacteria,BAC_P::Cyanobacteria,0.0,Phylum
RandomForest,Bacteria,BAC_P::Deinococcota,0.0,Phylum
RandomForest,Bacteria,BAC_P::Halanaerobiaeota,0.0,Phylum
RandomForest,Bacteria,BAC_P::Hydrothermae,0.0,Phylum
RandomForest,Bacteria,BAC_P::Latescibacterota,0.0,Phylum
RandomForest,Bacteria,BAC_P::NKB15,0.0,Phylum
RandomForest,Bacteria,BAC_P::Sva0485,0.0,Phylum
RandomForest,Bacteria,BAC_P::TA06,0.0,Phylum
RandomForest,Bacteria,BAC_P::WPS-2,0.0,Phylum
RandomForest,Bacteria,BAC_P::Zixibacteria,0.0,Phylum
XGBoost,Bacteria,BAC_P::Bacteroidota,0.0944099619984626,Phylum
XGBoost,Bacteria,BAC_P::Synergistota,0.0793511271476745,Phylum
XGBoost,Bacteria,BAC_P::Spirochaetota,0.0686547219753265,Phylum
XGBoost,Bacteria,BAC_P::Caldatribacteriota,0.0680185865610838,Phylum
XGBoost,Bacteria,BAC_P::Thermotogota,0.0675224535167217,Phylum
XGBoost,Bacteria,BAC_P::Actinobacteriota,0.0652537792921066,Phylum
XGBoost,Bacteria,BAC_P::Proteobacteria,0.0549210481345653,Phylum
XGBoost,Bacteria,BAC_P::Chloroflexi,0.0467067405581474,Phylum
XGBoost,Bacteria,BAC_P::Planctomycetota,0.0463643595576286,Phylum
XGBoost,Bacteria,BAC_P::Firmicutes,0.045326417684555,Phylum
XGBoost,Archaea,ARC_P::Euryarchaeota,0.0437307052314281,Phylum
XGBoost,Archaea,ARC_P::Thermoplasmatota,0.041833458840847,Phylum
XGBoost,Bacteria,BAC_P::Cloacimonadota,0.0358397744596004,Phylum
XGBoost,Bacteria,BAC_P::Fibrobacterota,0.0332693859934806,Phylum
XGBoost,Bacteria,BAC_P::Verrucomicrobiota,0.0258030608296394,Phylum
XGBoost,Bacteria,BAC_P::Caldisericota,0.0228290170431137,Phylum
XGBoost,Archaea,ARC_P::unidentified,0.0197607457637786,Phylum
XGBoost,Archaea,ARC_P::Halobacterota,0.0192888684570789,Phylum
XGBoost,Bacteria,BAC_P::Fusobacteriota,0.0175114527344703,Phylum
XGBoost,Bacteria,BAC_P::Armatimonadota,0.0173880651593208,Phylum
XGBoost,Bacteria,BAC_P::Marinimicrobia_(SAR406_clade),0.0164067670702934,Phylum
XGBoost,Bacteria,BAC_P::Desulfobacterota,0.0137002110481262,Phylum
XGBoost,Bacteria,BAC_P::Campilobacterota,0.0108570344746112,Phylum
XGBoost,Archaea,ARC_P::Nanoarchaeota,0.0101952761411666,Phylum
XGBoost,Bacteria,BAC_P::Fermentibacterota,0.009739451110363,Phylum
XGBoost,Bacteria,BAC_P::unidentified,0.0096982024610042,Phylum
XGBoost,Archaea,ARC_P::Crenarchaeota,0.0088653810322284,Phylum
XGBoost,Bacteria,BAC_P::Bdellovibrionota,0.0067539475858211,Phylum
XGBoost,Archaea,ARC_P::Aenigmarchaeota,0.0,Phylum
XGBoost,Archaea,ARC_P::Asgardarchaeota,0.0,Phylum
XGBoost,Archaea,ARC_P::Holozoa,0.0,Phylum
XGBoost,Archaea,ARC_P::Micrarchaeota,0.0,Phylum
XGBoost,Archaea,ARC_P::Mollusca,0.0,Phylum
XGBoost,Archaea,ARC_P::Vertebrata,0.0,Phylum
XGBoost,Bacteria,BAC_P::Acetothermia,0.0,Phylum
XGBoost,Bacteria,BAC_P::Acidobacteriota,0.0,Phylum
XGBoost,Bacteria,BAC_P::CK-2C2-2,0.0,Phylum
XGBoost,Bacteria,BAC_P::Coprothermobacterota,0.0,Phylum
XGBoost,Bacteria,BAC_P::Cyanobacteria,0.0,Phylum
XGBoost,Bacteria,BAC_P::Deinococcota,0.0,Phylum
XGBoost,Bacteria,BAC_P::Dependentiae,0.0,Phylum
XGBoost,Bacteria,BAC_P::Elusimicrobiota,0.0,Phylum
XGBoost,Bacteria,BAC_P::Gemmatimonadota,0.0,Phylum
XGBoost,Bacteria,BAC_P::Halanaerobiaeota,0.0,Phylum
XGBoost,Bacteria,BAC_P::Hydrogenedentes,0.0,Phylum
XGBoost,Bacteria,BAC_P::Hydrothermae,0.0,Phylum
XGBoost,Bacteria,BAC_P::Latescibacterota,0.0,Phylum
XGBoost,Bacteria,BAC_P::Myxococcota,0.0,Phylum
XGBoost,Bacteria,BAC_P::NKB15,0.0,Phylum
XGBoost,Bacteria,BAC_P::Nitrospirota,0.0,Phylum
XGBoost,Bacteria,BAC_P::Patescibacteria,0.0,Phylum
XGBoost,Bacteria,BAC_P::Sumerlaeota,0.0,Phylum
XGBoost,Bacteria,BAC_P::Sva0485,0.0,Phylum
XGBoost,Bacteria,BAC_P::TA06,0.0,Phylum
XGBoost,Bacteria,BAC_P::WPS-2,0.0,Phylum
XGBoost,Bacteria,BAC_P::WS1,0.0,Phylum
XGBoost,Bacteria,BAC_P::Zixibacteria,0.0,Phylum
