Model,target,feature,importance,domain,taxonomic_level
RandomForest,warning_acid_base_balance,BAC_P::Acetothermia,0.0,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Acidobacteriota,0.0199632812674786,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Actinobacteriota,0.0186158849023186,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Armatimonadota,0.011604760289094,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Bacteroidota,0.0271094949131795,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Bdellovibrionota,0.006030686090385,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::CK-2C2-2,7.025847849266023e-18,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Caldatribacteriota,0.0142830387445438,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Caldisericota,0.0462672712441017,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Campilobacterota,3.9841051287315604e-17,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Chloroflexi,0.0385405619983612,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Cloacimonadota,0.0569621620503395,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Coprothermobacterota,0.0008998679431348,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Cyanobacteria,0.0,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Deinococcota,0.0,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Dependentiae,0.0033096252600776,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Desulfobacterota,0.0632036874783074,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Elusimicrobiota,1.7214499629402706e-17,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Fermentibacterota,0.0011051326445617,Bacteria,Phylum
RandomForest,warning_acid_base_balance,BAC_P::Fibrobacterota,2.5223969778328727e-17,Bacteria,Phylum
